DATAFLOW,AUDST,FREQ,INVT_CAT_OLD_RN,INVT_CAT_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_RBI,N_A,2002,2001,0,2001-05-31,USD,112000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_DI_IND,N_A,2002,2001,0,2001-05-31,USD,258000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PI_FII,N_A,2002,2001,0,2001-05-31,USD,265000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PI_OFF_FND_OTH,N_A,2002,2001,0,2001-05-31,USD,15000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PORTF_INV,N_A,2002,2001,0,2001-05-31,USD,280000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_FII,N_A,2002,2001,0,2001-05-31,USD,538000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_ACQ_SHAR,N_A,2002,2001,0,2001-06-30,USD,14000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_GOVT_SIA_FIPB,N_A,2002,2001,0,2001-06-30,USD,103000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_NRI,N_A,2002,2001,0,2001-06-30,USD,5000000.0
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_RBI,N_A,2002,2001,0,2001-06-30,USD,37000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_DI_IND,N_A,2002,2001,0,2001-06-30,USD,159000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PI_FII,N_A,2002,2001,0,2001-06-30,USD,138000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PI_GDR_ADR,N_A,2002,2001,0,2001-06-30,USD,285000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PORTF_INV,N_A,2002,2001,0,2001-06-30,USD,423000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_FII,N_A,2002,2001,0,2001-06-30,USD,582000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_ACQ_SHAR,N_A,2002,2001,0,2001-07-31,USD,23000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_GOVT_SIA_FIPB,N_A,2002,2001,0,2001-07-31,USD,92000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_NRI,N_A,2002,2001,0,2001-07-31,USD,12000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_RBI,N_A,2002,2001,0,2001-07-31,USD,101000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_DI_IND,N_A,2002,2001,0,2001-07-31,USD,228000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PI_FII,N_A,2002,2001,0,2001-07-31,USD,125000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PI_OFF_FND_OTH,N_A,2002,2001,0,2001-07-31,USD,6000000.0
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PORTF_INV,N_A,2002,2001,0,2001-07-31,USD,131000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_FII,N_A,2002,2001,0,2001-07-31,USD,359000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_ACQ_SHAR,N_A,2002,2001,0,2001-08-31,USD,58000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_GOVT_SIA_FIPB,N_A,2002,2001,0,2001-08-31,USD,485000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_RBI,N_A,2002,2001,0,2001-08-31,USD,90000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_DI_IND,N_A,2002,2001,0,2001-08-31,USD,633000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PI_FII,N_A,2002,2001,0,2001-08-31,USD,116000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PI_GDR_ADR,N_A,2002,2001,0,2001-08-31,USD,173000000
