DATAFLOW,AUDST,FREQ,MOD_OUTW_REMT_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MANT_CLS_RELV,2026,2025,0,2025-08-31,USD,272054072.6
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DEP,2026,2025,0,2025-08-31,USD,42754259.1
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_OTH,2026,2025,0,2025-08-31,USD,6726332.26
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MED_TRT,2026,2025,0,2025-08-31,USD,3986489.55
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_GFT,2026,2025,0,2025-08-31,USD,190428154.89
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_INV_EQT_DEB,2026,2025,0,2025-08-31,USD,152180187.13
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_STD_ABD,2026,2025,0,2025-08-31,USD,319168863.74
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_PUR_IMV_PROP,2026,2025,0,2025-08-31,USD,36020829.99
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_OTH,2026,2025,0,2025-07-31,USD,7800074.28
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DON,2026,2025,0,2025-07-31,USD,734142.21
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_GFT,2026,2025,0,2025-07-31,USD,223529925.77
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MANT_CLS_RELV,2026,2025,0,2025-07-31,USD,298109164.64
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_STD_ABD,2026,2025,0,2025-07-31,USD,229250063.69
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_TRV,2026,2025,0,2025-07-31,USD,1445335778.67
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DEP,2026,2025,0,2025-07-31,USD,46241942.66
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_INV_EQT_DEB,2026,2025,0,2025-07-31,USD,156186687.17
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_LRS_TTL,2026,2025,0,2025-07-31,USD,2452928709.23
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_PUR_IMV_PROP,2026,2025,0,2025-07-31,USD,39482700.53
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MED_TRT,2026,2025,0,2025-07-31,USD,6258229.61
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_INV_EQT_DEB,2026,2025,0,2025-06-30,USD,206116565.95
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_OTH,2026,2025,0,2025-06-30,USD,7152019.1
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_TRV,2026,2025,0,2025-06-30,USD,1235173493.15
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_PUR_IMV_PROP,2026,2025,0,2025-06-30,USD,37753215.32
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DEP,2026,2025,0,2025-06-30,USD,42119565
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DON,2026,2025,0,2025-06-30,USD,1261406.99
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_STD_ABD,2026,2025,0,2025-06-30,USD,138757868.34
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MANT_CLS_RELV,2026,2025,0,2025-06-30,USD,262965536.1
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MED_TRT,2026,2025,0,2025-06-30,USD,5589199.97
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_LRS_TTL,2026,2025,0,2025-06-30,USD,2127394353.27
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_GFT,2026,2025,0,2025-06-30,USD,190505483.35
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DEP,2026,2025,0,2025-05-31,USD,54653791.84
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_STD_ABD,2026,2025,0,2025-05-31,USD,149779472.26
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MANT_CLS_RELV,2026,2025,0,2025-05-31,USD,322543753.88
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_OTH,2026,2025,0,2025-05-31,USD,8320617.76
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_PUR_IMV_PROP,2026,2025,0,2025-05-31,USD,41691763
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MED_TRT,2026,2025,0,2025-05-31,USD,6716825.58
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_GFT,2026,2025,0,2025-05-31,USD,233299197.73
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_TRV,2026,2025,0,2025-05-31,USD,1389232843.53
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_LRS_TTL,2026,2025,0,2025-05-31,USD,2313162053.8
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_INV_EQT_DEB,2026,2025,0,2025-05-31,USD,104943628.77
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DON,2026,2025,0,2025-05-31,USD,1980159.45
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_PUR_IMV_PROP,2026,2025,0,2025-04-30,USD,44686686.63
