DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_FD_OVRS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRI_DEP,0,2025-04-30,USD,165431660250
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_FCNRB_NRI,0,2025-03-31,USD,32809419176.097
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRERA_NRI,0,2025-03-31,USD,100732723670.112
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRI_DEP,0,2025-03-31,USD,164677084051.489
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRO_NRI,0,2025-03-31,USD,31134941205.28
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRI_DEP,0,2025-02-28,USD,160338673662.858
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRO_NRI,0,2025-02-28,USD,29908313765.801
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRERA_NRI,0,2025-02-28,USD,97938318160.446
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_FCNRB_NRI,0,2025-02-28,USD,32492041736.611
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRERA_NRI,0,2025-01-31,USD,98495113043.19
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_FCNRB_NRI,0,2025-01-31,USD,32754057224.658
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRI_DEP,0,2025-01-31,USD,161212118885.467
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRO_NRI,0,2025-01-31,USD,29962948617.619
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_FCNRB_NRI,0,2024-12-31,USD,32198078640.744
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRERA_NRI,0,2024-12-31,USD,99564813957.366
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRO_NRI,0,2024-12-31,USD,30040874782.776
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRI_DEP,0,2024-12-31,USD,161803767380.886
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRERA_NRI,0,2024-11-30,USD,100665541911.194
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRO_NRI,0,2024-11-30,USD,29991696475.386
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_FCNRB_NRI,0,2024-11-30,USD,32040002252.499
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRI_DEP,0,2024-11-30,USD,162697240639.079
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_FCNRB_NRI,0,2024-10-31,USD,31871036316.898
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRO_NRI,0,2024-10-31,USD,29948939683.058
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRERA_NRI,0,2024-10-31,USD,100873361259.411
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRI_DEP,0,2024-10-31,USD,162693337259.367
