DATAFLOW,AUDST,COUNTRYCODE,FREQ,FRG_LIB_ASS_RN,MEASURE_RN,REPYEAREND,REPYEARSTART,TYP_ENT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,LU,AFY,FLA_FR_LIB,MRKT_VAL,2009,2008,ASST_MGMT_COMP,0,2009-03-31,INR,0.0
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,MU,AFY,FLA_FR_ASS,MRKT_VAL,2009,2008,ASST_MGMT_COMP,0,2009-03-31,INR,30000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,MU,AFY,FLA_FR_LIB,FAC_VAL,2009,2008,MTL_FND_COMP,0,2009-03-31,INR,2630000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,MU,AFY,FLA_FR_LIB,MRKT_VAL,2009,2008,ASST_MGMT_COMP,0,2009-03-31,INR,8480000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,MU,AFY,FLA_FR_LIB,MRKT_VAL,2009,2008,MTL_FND_COMP,0,2009-03-31,INR,5910000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,MY,AFY,FLA_FR_ASS,MRKT_VAL,2009,2008,ASST_MGMT_COMP,0,2009-03-31,INR,0.0
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,OM,AFY,FLA_FR_LIB,FAC_VAL,2009,2008,MTL_FND_COMP,0,2009-03-31,INR,1050000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,OM,AFY,FLA_FR_LIB,MRKT_VAL,2009,2008,MTL_FND_COMP,0,2009-03-31,INR,1250000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,OTH,AFY,FLA_FR_ASS,MRKT_VAL,2009,2008,ASST_MGMT_COMP,0,2009-03-31,INR,1030000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,OTH,AFY,FLA_FR_EHA,MRKT_VAL,2009,2008,MTL_FND_COMP,0,2009-03-31,INR,4640000000
