DATAFLOW,AUDST,FREQ,INTER_INVS_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_CD_OS_NFCH_NPISH,2019,2018,0,2018-06-30,USD,2368380000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_CD_OS_NFCH_NPISH_SHT_TRM,2019,2018,0,2018-06-30,INR,154048900000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_CD_OS_NFCH_NPISH_SHT_TRM,2019,2018,0,2018-06-30,USD,2368380000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_CD_OS_OFC,2019,2018,0,2018-06-30,INR,2869300000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_CD_OS_OFC,2019,2018,0,2018-06-30,USD,44110000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_CD_OS_OFC_SHT_TRM,2019,2018,0,2018-06-30,INR,2869300000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_CD_OS_OFC_SHT_TRM,2019,2018,0,2018-06-30,USD,44110000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_CD_OS_SHT_TRM,2019,2018,0,2018-06-30,INR,156918200000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_CD_OS_SHT_TRM,2019,2018,0,2018-06-30,USD,2412490000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_CURR_DEP,2019,2018,0,2018-06-30,INR,1108834900000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_CURR_DEP,2019,2018,0,2018-06-30,USD,16293820000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_IPSGS,2019,2018,0,2018-06-30,INR,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_IPSGS_OS,2019,2018,0,2018-06-30,INR,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_LNS_CB,2019,2018,0,2018-06-30,INR,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_LNS_CB,2019,2018,0,2018-06-30,USD,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_LNS_CB_DTCECB,2019,2018,0,2018-06-30,INR,232508500000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_LNS_CB_DTCECB,2019,2018,0,2018-06-30,USD,3390560000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_LNS_CB_DTCECB_LNG_TRM,2019,2018,0,2018-06-30,INR,232508500000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_LNS_CB_DTCECB_LNG_TRM,2019,2018,0,2018-06-30,USD,3390560000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_LNS_CB_GG,2019,2018,0,2018-06-30,INR,137330200000
