DATAFLOW,AUDST,FREQ,NRI_DEP_OS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2020,2019,0,2020-03-31,USD,15969435982
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2020,2019,0,2020-03-31,USD,90367051964
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2020,2019,0,2020-03-31,USD,130580543266
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2020,2019,0,2020-03-31,USD,24244055320
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2020,2019,0,2020-03-31,INR,1195206885000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2020,2019,0,2020-03-31,INR,1814507530000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2020,2019,0,2020-03-31,INR,9773091832000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2020,2019,0,2020-03-31,INR,6763377417000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2019,2018,0,2019-03-31,USD,92016566914
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2019,2018,0,2019-03-31,INR,6364905555000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2019,2018,0,2019-03-31,INR,1053903108000.0001
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2019,2018,0,2019-03-31,INR,9021519924000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2019,2018,0,2019-03-31,USD,15236132731
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2019,2018,0,2019-03-31,USD,23170176952
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2019,2018,0,2019-03-31,USD,130422876597
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2019,2018,0,2019-03-31,INR,1602711261000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2018,2017,0,2018-03-31,INR,1432635392000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2018,2017,0,2018-03-31,INR,8207371694000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2018,2017,0,2018-03-31,INR,918481442000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2018,2017,0,2018-03-31,USD,90035143233
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2018,2017,0,2018-03-31,USD,126181647435
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2018,2017,0,2018-03-31,USD,22025600969
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2018,2017,0,2018-03-31,INR,5856254860000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2018,2017,0,2018-03-31,USD,14120903233
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2017,2016,0,2017-03-31,USD,116867238032
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2017,2016,0,2017-03-31,USD,21001852291
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2017,2016,0,2017-03-31,USD,83213433047
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2017,2016,0,2017-03-31,INR,5395442500000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2017,2016,0,2017-03-31,USD,12651952694
