DATAFLOW,AUDST,CAT_EXT_AST_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:EXTR_ASSIST_RN(1.0),N_A,LOANS,AFY,1988,1987,0,1988-03-31,USD,3528000000
RBI:EXTR_ASSIST_RN(1.0),N_A,NET_INFL_AID,AFY,1988,1987,0,1988-03-31,INR,24280000000
RBI:EXTR_ASSIST_RN(1.0),N_A,NET_INFL_AID,AFY,1988,1987,0,1988-03-31,USD,1873000000
RBI:EXTR_ASSIST_RN(1.0),N_A,TTL_AUTH,AFY,1988,1987,0,1988-03-31,INR,92650000000
RBI:EXTR_ASSIST_RN(1.0),N_A,TTL_AUTH,AFY,1988,1987,0,1988-03-31,USD,7146000000
RBI:EXTR_ASSIST_RN(1.0),N_A,UTL_TTL,AFY,1988,1987,0,1988-03-31,INR,50520000000
RBI:EXTR_ASSIST_RN(1.0),N_A,UTL_TTL,AFY,1988,1987,0,1988-03-31,USD,3896000000
RBI:EXTR_ASSIST_RN(1.0),N_A,AMORT,AFY,1989,1988,0,1989-03-31,INR,16460000000
RBI:EXTR_ASSIST_RN(1.0),N_A,AMORT,AFY,1989,1988,0,1989-03-31,USD,1137000000
RBI:EXTR_ASSIST_RN(1.0),N_A,DSP_TTL,AFY,1989,1988,0,1989-03-31,INR,29470000000
RBI:EXTR_ASSIST_RN(1.0),N_A,DSP_TTL,AFY,1989,1988,0,1989-03-31,USD,2035000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRANTS,AFY,1989,1988,0,1989-03-31,INR,5660000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRANTS,AFY,1989,1988,0,1989-03-31,USD,391000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRNT,AFY,1989,1988,0,1989-03-31,INR,2140000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRNT,AFY,1989,1988,0,1989-03-31,USD,148000000
RBI:EXTR_ASSIST_RN(1.0),N_A,INT,AFY,1989,1988,0,1989-03-31,INR,13010000000
RBI:EXTR_ASSIST_RN(1.0),N_A,INT,AFY,1989,1988,0,1989-03-31,USD,898000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LN,AFY,1989,1988,0,1989-03-31,INR,128560000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LN,AFY,1989,1988,0,1989-03-31,USD,8877000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LOANS,AFY,1989,1988,0,1989-03-31,INR,47390000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LOANS,AFY,1989,1988,0,1989-03-31,USD,3272000000
RBI:EXTR_ASSIST_RN(1.0),N_A,NET_INFL_AID,AFY,1989,1988,0,1989-03-31,INR,23580000000
RBI:EXTR_ASSIST_RN(1.0),N_A,NET_INFL_AID,AFY,1989,1988,0,1989-03-31,USD,1628000000
RBI:EXTR_ASSIST_RN(1.0),N_A,TTL_AUTH,AFY,1989,1988,0,1989-03-31,INR,130700000000
RBI:EXTR_ASSIST_RN(1.0),N_A,TTL_AUTH,AFY,1989,1988,0,1989-03-31,USD,9025000000
RBI:EXTR_ASSIST_RN(1.0),N_A,UTL_TTL,AFY,1989,1988,0,1989-03-31,INR,53050000000
RBI:EXTR_ASSIST_RN(1.0),N_A,UTL_TTL,AFY,1989,1988,0,1989-03-31,USD,3663000000
RBI:EXTR_ASSIST_RN(1.0),N_A,AMORT,AFY,1990,1989,0,1990-03-31,INR,19870000000
RBI:EXTR_ASSIST_RN(1.0),N_A,AMORT,AFY,1990,1989,0,1990-03-31,USD,1193000000
RBI:EXTR_ASSIST_RN(1.0),N_A,DSP_TTL,AFY,1990,1989,0,1990-03-31,INR,36860000000
RBI:EXTR_ASSIST_RN(1.0),N_A,DSP_TTL,AFY,1990,1989,0,1990-03-31,USD,2213000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRANTS,AFY,1990,1989,0,1990-03-31,INR,6650000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRANTS,AFY,1990,1989,0,1990-03-31,USD,399000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRNT,AFY,1990,1989,0,1990-03-31,INR,7200000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRNT,AFY,1990,1989,0,1990-03-31,USD,433000000
RBI:EXTR_ASSIST_RN(1.0),N_A,INT,AFY,1990,1989,0,1990-03-31,INR,16990000000
RBI:EXTR_ASSIST_RN(1.0),N_A,INT,AFY,1990,1989,0,1990-03-31,USD,1020000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LN,AFY,1990,1989,0,1990-03-31,INR,101060000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LN,AFY,1990,1989,0,1990-03-31,USD,6070000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LOANS,AFY,1990,1989,0,1990-03-31,INR,51380000000
