DATAFLOW,AUDST,FREQ,FRG_LIB_ASS_RN,MEASURE_RN,REPYEAREND,REPYEARSTART,TYP_ENT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,MRKT_VAL,2014,2013,MTL_FND_COMP,0,2014-03-31,INR,409210000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,MRKT_VAL,2014,2013,MTL_FND_COMP,0,2014-03-31,USD,6809000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FLA_OTH_FR_LIB,2015,2014,MTL_FND_COMP,0,2015-03-31,INR,490000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FLA_OTH_FR_LIB,2015,2014,MTL_FND_COMP,0,2015-03-31,USD,8000000.0
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,MRKT_VAL,2015,2014,MTL_FND_COMP,0,2015-03-31,INR,558060000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,MRKT_VAL,2015,2014,MTL_FND_COMP,0,2015-03-31,USD,8916000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FAC_VAL,2016,2015,MTL_FND_COMP,0,2016-03-31,INR,259440000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FAC_VAL,2016,2015,MTL_FND_COMP,0,2016-03-31,USD,3911000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FLA_OTH_FR_LIB,2016,2015,MTL_FND_COMP,0,2016-03-31,INR,460000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FLA_OTH_FR_LIB,2016,2015,MTL_FND_COMP,0,2016-03-31,USD,7000000.0
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,MRKT_VAL,2016,2015,MTL_FND_COMP,0,2016-03-31,INR,581210000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,MRKT_VAL,2016,2015,MTL_FND_COMP,0,2016-03-31,USD,8762000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FAC_VAL,2017,2016,MTL_FND_COMP,0,2017-03-31,INR,269800000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FAC_VAL,2017,2016,MTL_FND_COMP,0,2017-03-31,USD,4161000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FLA_OTH_FR_LIB,2017,2016,MTL_FND_COMP,0,2017-03-31,INR,1380000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FLA_OTH_FR_LIB,2017,2016,MTL_FND_COMP,0,2017-03-31,USD,21000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,MRKT_VAL,2017,2016,MTL_FND_COMP,0,2017-03-31,INR,718430000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,MRKT_VAL,2017,2016,MTL_FND_COMP,0,2017-03-31,USD,11080000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FAC_VAL,2018,2017,MTL_FND_COMP,0,2018-03-31,INR,318690000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FAC_VAL,2018,2017,MTL_FND_COMP,0,2018-03-31,USD,4900000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FLA_OTH_FR_LIB,2018,2017,MTL_FND_COMP,0,2018-03-31,INR,1770000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FLA_OTH_FR_LIB,2018,2017,MTL_FND_COMP,0,2018-03-31,USD,27000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,MRKT_VAL,2018,2017,MTL_FND_COMP,0,2018-03-31,INR,856700000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,MRKT_VAL,2018,2017,MTL_FND_COMP,0,2018-03-31,USD,13171000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FAC_VAL,2019,2018,MTL_FND_COMP,0,2019-03-31,INR,327580000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FAC_VAL,2019,2018,MTL_FND_COMP,0,2019-03-31,USD,4736000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FLA_OTH_FR_LIB,2019,2018,MTL_FND_COMP,0,2019-03-31,INR,1910000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FLA_OTH_FR_LIB,2019,2018,MTL_FND_COMP,0,2019-03-31,USD,28000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,MRKT_VAL,2019,2018,MTL_FND_COMP,0,2019-03-31,INR,859140000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,MRKT_VAL,2019,2018,MTL_FND_COMP,0,2019-03-31,USD,12420000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FAC_VAL,2020,2019,MTL_FND_COMP,0,2020-03-31,INR,311840000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FAC_VAL,2020,2019,MTL_FND_COMP,0,2020-03-31,USD,4137000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FLA_OTH_FR_LIB,2020,2019,MTL_FND_COMP,0,2020-03-31,INR,1980000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FLA_OTH_FR_LIB,2020,2019,MTL_FND_COMP,0,2020-03-31,USD,26000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,MRKT_VAL,2020,2019,MTL_FND_COMP,0,2020-03-31,INR,723660000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,MRKT_VAL,2020,2019,MTL_FND_COMP,0,2020-03-31,USD,9599000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FAC_VAL,2021,2020,MTL_FND_COMP,0,2021-03-31,INR,341390000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FAC_VAL,2021,2020,MTL_FND_COMP,0,2021-03-31,USD,4644000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FLA_OTH_FR_LIB,2021,2020,MTL_FND_COMP,0,2021-03-31,INR,1790000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FLA_OTH_FR_LIB,2021,2020,MTL_FND_COMP,0,2021-03-31,USD,24000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,MRKT_VAL,2021,2020,MTL_FND_COMP,0,2021-03-31,INR,1054780000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,MRKT_VAL,2021,2020,MTL_FND_COMP,0,2021-03-31,USD,14350000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FAC_VAL,2022,2021,MTL_FND_COMP,0,2022-03-31,INR,411290000000
