DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_MAJ_FR_EXC_RES_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_TTL,0,2025-11-30,INR,61528036960000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_GLD,0,2025-10-31,INR,9030615500000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_TTL,0,2025-10-31,USD,689732836000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_GLD,0,2025-10-31,USD,101725560000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_SDR,0,2025-10-31,INR,1655144400000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_FR_CURR_ASS,0,2025-10-31,INR,50121172500000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_FR_CURR_ASS,0,2025-10-31,USD,564591050000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_SDR,0,2025-10-31,USD,18644410000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_RES_TRN_POS,0,2025-10-31,USD,4771816000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_SDR,0,2025-10-31,SDR,13709024180
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_TTL,0,2025-10-31,INR,61230307440000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_RES_TRN_POS,0,2025-10-31,INR,423375040000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_SDR,0,2025-09-30,SDR,13709024180
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_SDR,0,2025-09-30,INR,1666979400000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_RES_TRN_POS,0,2025-09-30,USD,4668354000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_TTL,0,2025-09-30,INR,62158728260000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_TTL,0,2025-09-30,USD,700088694000
