DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_MAJ_FR_EXC_RES_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2026-02-27,USD,18865930000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2026-02-27,USD,4873228000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2026-02-27,USD,728493828000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2026-02-27,INR,11975165800000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2026-02-27,SDR,13714400000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2026-02-27,INR,52140719400000.01
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2026-02-27,INR,1716350600000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2026-02-20,INR,1714189800000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2026-02-20,INR,428893700000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2026-02-20,INR,65838988199999.99
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2026-02-20,USD,723608380000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2026-02-20,INR,11599876600000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2026-02-20,USD,4715620000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2026-02-20,USD,572563920000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2026-02-20,INR,52096028099999.99
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2026-02-20,USD,18839880000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2026-02-20,USD,127488960000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2026-02-20,SDR,13714400000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2026-02-13,USD,128465870000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2026-02-13,INR,429578780000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2026-02-13,USD,4734094000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2026-02-13,SDR,13714400000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2026-02-13,INR,65784249380000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2026-02-13,USD,725726964000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2026-02-13,INR,1715393500000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2026-02-13,USD,18924220000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2026-02-13,USD,573602780000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2026-02-13,INR,11644839800000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2026-02-13,INR,51994437300000.01
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2026-02-06,USD,4714619000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2026-02-06,INR,11194090700000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2026-02-06,USD,123475630000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2026-02-06,INR,51679990300000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2026-02-06,USD,18820890000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2026-02-06,INR,426278390000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2026-02-06,USD,717063829000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2026-02-06,USD,570052690000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2026-02-06,INR,65006629289999.99
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2026-02-06,INR,1706269900000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2026-02-06,SDR,13711660000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2026-01-30,INR,436185210000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2026-01-30,INR,1743333299999.9998
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2026-01-30,USD,18952530000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2026-01-30,USD,562392160000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2026-01-30,INR,66575404110000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2026-01-30,INR,12664695900000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2026-01-30,USD,723774460000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2026-01-30,SDR,13711660000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2026-01-30,USD,137683380000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2026-01-30,INR,51731189700000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2026-01-30,USD,4746390000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2026-01-23,USD,562885370000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2026-01-23,INR,1723026200000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2026-01-23,SDR,13711660000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2026-01-23,USD,709413070000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2026-01-23,USD,4702700000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2026-01-23,INR,430859040000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2026-01-23,USD,123088430000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2026-01-23,INR,11319286299999.998
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2026-01-23,INR,65236445840000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2026-01-23,INR,51763274300000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2026-01-23,USD,18736570000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2026-01-16,USD,117453730000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2026-01-16,USD,18703930000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2026-01-16,USD,701360032000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2026-01-16,INR,1699665400000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2026-01-16,INR,50935438000000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2026-01-16,USD,4684462000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2026-01-16,INR,63733015840000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2026-01-16,INR,10673267400000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2026-01-16,SDR,13711660000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2026-01-16,INR,424645040000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2026-01-16,USD,560517910000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2026-01-09,USD,112830240000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2026-01-09,SDR,13711660000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2026-01-09,USD,4757720000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2026-01-09,USD,687192570000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2026-01-09,INR,49667470400000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2026-01-09,INR,61958957690000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2026-01-09,USD,550865570000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2026-01-09,USD,18739040000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2026-01-09,INR,10173068200000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2026-01-09,INR,1689560600000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2026-01-09,INR,428858490000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2026-01-02,SDR,13711660000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2026-01-02,INR,10035130700000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2026-01-02,USD,18778110000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2026-01-02,USD,4770514000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2026-01-02,USD,551990000000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2026-01-02,INR,49785852900000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2026-01-02,INR,429938740000.00006
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2026-01-02,INR,61944583940000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2026-01-02,USD,686800984000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2026-01-02,INR,1693661600000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2026-01-02,USD,111262360000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2025-12-26,USD,559611810000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2025-12-26,INR,1689429300000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2025-12-26,USD,18803340000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2025-12-26,USD,696610434000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2025-12-26,USD,4875114000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2025-12-26,INR,437929520000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2025-12-26,INR,10181511100000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2025-12-26,USD,113320170000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2025-12-26,INR,62588477720000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2025-12-26,INR,50279607800000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2025-12-26,SDR,13711660000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2025-12-19,INR,1675052000000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2025-12-19,USD,110364530000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2025-12-19,SDR,13711660000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2025-12-19,INR,431294300000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2025-12-19,INR,61963555100000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2025-12-19,USD,559427950000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2025-12-19,INR,49994283800000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2025-12-19,USD,18743560000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2025-12-19,USD,4781666000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2025-12-19,USD,693317706000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2025-12-19,INR,9862925000000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2025-12-12,USD,18735200000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2025-12-12,INR,1694014300000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2025-12-12,USD,4686339000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2025-12-12,SDR,13711660000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2025-12-12,USD,107741250000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2025-12-12,USD,688949389000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2025-12-12,INR,9741834900000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2025-12-12,INR,423590260000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2025-12-12,USD,557786600000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2025-12-12,INR,62293832860000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2025-12-12,INR,50434393400000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2025-12-05,USD,106983560000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2025-12-05,USD,687260372000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2025-12-05,USD,18721210000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2025-12-05,INR,9628798700000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2025-12-05,INR,1684957600000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2025-12-05,USD,556880440000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2025-12-05,INR,50120686300000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2025-12-05,USD,4675162000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2025-12-05,SDR,13711660000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2025-12-05,INR,420408340000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2025-12-05,INR,61854850939999.99
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2025-11-28,USD,105795450000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2025-11-28,INR,1666097600000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2025-11-28,INR,61375749300000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2025-11-28,SDR,13711660000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2025-11-28,USD,557030970000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2025-11-28,INR,426922699999.99994
