DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_DEF_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1999,1998,DEF9,0,1999-03-31,INR,-33110000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2000,1999,DEF1,0,2000-03-31,INR,1848260000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2000,1999,DEF4,0,2000-03-31,INR,743750000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2000,1999,DEF6,0,2000-03-31,INR,1213930000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2000,1999,DEF9,0,2000-03-31,INR,-39770000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2001,2000,DEF1,0,2001-03-31,INR,1998520000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2001,2000,DEF4,0,2001-03-31,INR,750350000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2001,2000,DEF6,0,2001-03-31,INR,1388030000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2001,2000,DEF9,0,2001-03-31,INR,35460000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2002,2001,DEF1,0,2002-03-31,INR,2264250000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2002,2001,DEF4,0,2002-03-31,INR,840390000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2002,2001,DEF6,0,2002-03-31,INR,1593500000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2002,2001,DEF9,0,2002-03-31,INR,-19280000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2003,2002,DEF1,0,2003-03-31,INR,2349870000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2003,2002,DEF4,0,2003-03-31,INR,759270000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2003,2002,DEF6,0,2003-03-31,INR,1629900000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2003,2002,DEF9,0,2003-03-31,INR,27300000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2004,2003,DEF1,0,2004-03-31,INR,2345010000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2004,2003,DEF4,0,2004-03-31,INR,569280000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2004,2003,DEF6,0,2004-03-31,INR,1594080000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2004,2003,DEF9,0,2004-03-31,INR,27790000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2005,2004,DEF1,0,2005-03-31,INR,2347210000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2005,2004,DEF4,0,2005-03-31,INR,424090000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2005,2004,DEF6,0,2005-03-31,INR,1147610000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2005,2004,DEF9,0,2005-03-31,INR,185880000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2006,2005,DEF1,0,2006-03-31,INR,2395600000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2006,2005,DEF4,0,2006-03-31,INR,355830000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2006,2005,DEF6,0,2006-03-31,INR,993120000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2006,2005,DEF9,0,2006-03-31,INR,548340000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2007,2006,DEF1,0,2007-03-31,INR,2191280000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2007,2006,DEF4,0,2007-03-31,INR,-117030000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2007,2006,DEF6,0,2007-03-31,INR,553660000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2007,2006,DEF9,0,2007-03-31,INR,115600000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2008,2007,DEF1,0,2008-03-31,INR,1991100000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2008,2007,DEF4,0,2008-03-31,INR,-596750000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2008,2007,DEF6,0,2008-03-31,INR,96260000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2008,2007,DEF9,0,2008-03-31,INR,405790000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2009,2008,DEF1,0,2009-03-31,INR,4671350000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2009,2008,DEF4,0,2009-03-31,INR,1836810000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2009,2008,DEF6,0,2009-03-31,INR,2408650000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2009,2008,DEF9,0,2009-03-31,INR,-348740000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2010,2009,DEF1,0,2010-03-31,INR,6046680000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2010,2009,DEF4,0,2010-03-31,INR,2900980000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2010,2009,DEF6,0,2010-03-31,INR,3700150000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2010,2009,DEF9,0,2010-03-31,INR,-63110000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2011,2010,DEF1,0,2011-03-31,INR,5340320000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2011,2010,DEF4,0,2011-03-31,INR,1854710000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2011,2010,DEF6,0,2011-03-31,INR,2492000000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2011,2010,DEF9,0,2011-03-31,INR,84160000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2012,2011,DEF1,0,2012-03-31,INR,6849660000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2012,2011,DEF4,0,2012-03-31,INR,2849630000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2012,2011,DEF6,0,2012-03-31,INR,3703880000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2012,2011,DEF9,0,2012-03-31,INR,322930000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2013,2012,DEF1,0,2013-03-31,INR,6843950000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2013,2012,DEF4,0,2013-03-31,INR,2300900000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2013,2012,DEF6,0,2013-03-31,INR,3439600000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2013,2012,DEF9,0,2013-03-31,INR,740970000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2014,2013,DEF1,0,2014-03-31,INR,7497110000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2014,2013,DEF4,0,2014-03-31,INR,2154800000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2014,2013,DEF6,0,2014-03-31,INR,3676110000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2014,2013,DEF9,0,2014-03-31,INR,10730000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2015,2014,DEF1,0,2015-03-31,INR,8365630000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2015,2014,DEF4,0,2015-03-31,INR,2520200000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2015,2014,DEF6,0,2015-03-31,INR,4112240000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2015,2014,DEF9,0,2015-03-31,INR,-954730000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2016,2015,DEF1,0,2016-03-31,INR,9524100000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2016,2015,DEF4,0,2016-03-31,INR,3043200000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2016,2015,DEF6,0,2016-03-31,INR,3481180000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2016,2015,DEF9,0,2016-03-31,INR,174377800000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2017,2016,DEF1,0,2017-03-31,INR,10647040000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2017,2016,DEF4,0,2017-03-31,INR,3402560000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2017,2016,DEF6,0,2017-03-31,INR,3568720000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2017,2016,DEF9,0,2017-03-31,INR,224630000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2018,2017,DEF1,0,2018-03-31,INR,9970970000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2018,2017,DEF4,0,2018-03-31,INR,1823410000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2018,2017,DEF6,0,2018-03-31,INR,4624400000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2018,2017,DEF9,0,2018-03-31,INR,124760000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2019,2018,DEF1,0,2019-03-31,INR,11027290000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2019,2018,DEF4,0,2019-03-31,INR,2082090000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2019,2018,DEF6,0,2019-03-31,INR,4722560000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2019,2018,DEF9,0,2019-03-31,INR,-173946475030
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2020,2019,DEF1,0,2020-03-31,INR,14492302669480
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2020,2019,DEF4,0,2020-03-31,INR,4934295978820
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2020,2019,DEF6,0,2020-03-31,INR,7880398974890
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2020,2019,DEF9,0,2020-03-31,INR,3232792844540
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2021,2020,DEF1,0,2021-03-31,INR,26003350000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2021,2020,DEF4,0,2021-03-31,INR,15397330000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2021,2020,DEF6,0,2021-03-31,INR,18208230000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2021,2020,DEF9,0,2021-03-31,INR,438030000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2022,2021,DEF1,0,2022-03-31,INR,22305533781496
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2022,2021,DEF4,0,2022-03-31,INR,10038815394544
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2022,2021,DEF6,0,2022-03-31,INR,11330529968584
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2022,2021,DEF9,0,2022-03-31,INR,578908440720.979
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2023,2022,DEF1,0,2023-03-31,INR,23698920038253
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2023,2022,DEF4,0,2023-03-31,INR,9920850473977.99
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2023,2022,DEF6,0,2023-03-31,INR,11314677831858
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2023,2022,DEF9,0,2023-03-31,INR,-251517625638.004
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2024,2023,DEF1,0,2024-03-31,INR,24117778945116
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2024,2023,DEF4,0,2024-03-31,INR,8542859602051.01
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2024,2023,DEF6,0,2024-03-31,INR,8586530060030.99
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2024,2023,DEF9,0,2024-03-31,INR,581461333481
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2025,2024,DEF1,0,2025-03-31,INR,25915606883000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2025,2024,DEF4,0,2025-03-31,INR,9060576456000.02
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2025,2024,DEF6,0,2025-03-31,INR,8003184612000.01
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2025,2024,DEF9,0,2025-03-31,INR,-2619459535999.99
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2026,2025,DEF1,0,2026-03-31,INR,25727868343000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2026,2025,DEF4,0,2026-03-31,INR,6892112812999.99
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2026,2025,DEF6,0,2026-03-31,INR,6054202500300
RBI:CCSG_DEF_RN(1.0),N_A,AFY,2026,2025,DEF9,0,2026-03-31,INR,-1002074566000.03
