DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_DEF_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:DG_GDP_RN(1.0),N_A,AFY,2005,2004,DEF4,0,2005-03-31,RO,1.3
RBI:DG_GDP_RN(1.0),N_A,AFY,2005,2004,DEF6,0,2005-03-31,RO,3.5
RBI:DG_GDP_RN(1.0),N_A,AFY,2006,2005,DEF1,0,2006-03-31,RO,6.5
RBI:DG_GDP_RN(1.0),N_A,AFY,2006,2005,DEF4,0,2006-03-31,RO,1.0
RBI:DG_GDP_RN(1.0),N_A,AFY,2006,2005,DEF6,0,2006-03-31,RO,2.7
RBI:DG_GDP_RN(1.0),N_A,AFY,2007,2006,DEF1,0,2007-03-31,RO,5.1
RBI:DG_GDP_RN(1.0),N_A,AFY,2007,2006,DEF4,0,2007-03-31,RO,-0.3
RBI:DG_GDP_RN(1.0),N_A,AFY,2007,2006,DEF6,0,2007-03-31,RO,1.3
RBI:DG_GDP_RN(1.0),N_A,AFY,2008,2007,DEF1,0,2008-03-31,RO,4.0
RBI:DG_GDP_RN(1.0),N_A,AFY,2008,2007,DEF4,0,2008-03-31,RO,-1.2
RBI:DG_GDP_RN(1.0),N_A,AFY,2008,2007,DEF6,0,2008-03-31,RO,0.2
RBI:DG_GDP_RN(1.0),N_A,AFY,2009,2008,DEF1,0,2009-03-31,RO,8.3
RBI:DG_GDP_RN(1.0),N_A,AFY,2009,2008,DEF4,0,2009-03-31,RO,3.3
RBI:DG_GDP_RN(1.0),N_A,AFY,2009,2008,DEF6,0,2009-03-31,RO,4.3
RBI:DG_GDP_RN(1.0),N_A,AFY,2010,2009,DEF1,0,2010-03-31,RO,9.3
RBI:DG_GDP_RN(1.0),N_A,AFY,2010,2009,DEF4,0,2010-03-31,RO,4.5
RBI:DG_GDP_RN(1.0),N_A,AFY,2010,2009,DEF6,0,2010-03-31,RO,5.7
RBI:DG_GDP_RN(1.0),N_A,AFY,2011,2010,DEF1,0,2011-03-31,RO,6.9
RBI:DG_GDP_RN(1.0),N_A,AFY,2011,2010,DEF4,0,2011-03-31,RO,2.4
RBI:DG_GDP_RN(1.0),N_A,AFY,2011,2010,DEF6,0,2011-03-31,RO,3.2
RBI:DG_GDP_RN(1.0),N_A,AFY,2012,2011,DEF1,0,2012-03-31,RO,7.8404
RBI:DG_GDP_RN(1.0),N_A,AFY,2012,2011,DEF4,0,2012-03-31,RO,3.2618
RBI:DG_GDP_RN(1.0),N_A,AFY,2012,2011,DEF6,0,2012-03-31,RO,4.2396
RBI:DG_GDP_RN(1.0),N_A,AFY,2013,2012,DEF1,0,2013-03-31,RO,6.8825
RBI:DG_GDP_RN(1.0),N_A,AFY,2013,2012,DEF4,0,2013-03-31,RO,2.3139
RBI:DG_GDP_RN(1.0),N_A,AFY,2013,2012,DEF6,0,2013-03-31,RO,3.459
RBI:DG_GDP_RN(1.0),N_A,AFY,2014,2013,DEF1,0,2014-03-31,RO,6.6739
RBI:DG_GDP_RN(1.0),N_A,AFY,2014,2013,DEF4,0,2014-03-31,RO,1.9182
RBI:DG_GDP_RN(1.0),N_A,AFY,2014,2013,DEF6,0,2014-03-31,RO,3.2724
RBI:DG_GDP_RN(1.0),N_A,AFY,2015,2014,DEF1,0,2015-03-31,RO,6.7097
RBI:DG_GDP_RN(1.0),N_A,AFY,2015,2014,DEF4,0,2015-03-31,RO,2.0213
RBI:DG_GDP_RN(1.0),N_A,AFY,2015,2014,DEF6,0,2015-03-31,RO,3.2982
RBI:DG_GDP_RN(1.0),N_A,AFY,2016,2015,DEF1,0,2016-03-31,RO,6.9156
RBI:DG_GDP_RN(1.0),N_A,AFY,2016,2015,DEF4,0,2016-03-31,RO,2.2097
RBI:DG_GDP_RN(1.0),N_A,AFY,2016,2015,DEF6,0,2016-03-31,RO,2.5277
RBI:DG_GDP_RN(1.0),N_A,AFY,2017,2016,DEF1,0,2017-03-31,RO,6.9306
RBI:DG_GDP_RN(1.0),N_A,AFY,2017,2016,DEF4,0,2017-03-31,RO,2.2
RBI:DG_GDP_RN(1.0),N_A,AFY,2017,2016,DEF6,0,2017-03-31,RO,2.3
RBI:DG_GDP_RN(1.0),N_A,AFY,2018,2017,DEF1,0,2018-03-31,RO,5.8327
RBI:DG_GDP_RN(1.0),N_A,AFY,2018,2017,DEF4,0,2018-03-31,RO,1.0666
RBI:DG_GDP_RN(1.0),N_A,AFY,2018,2017,DEF6,0,2018-03-31,RO,2.7051
RBI:DG_GDP_RN(1.0),N_A,AFY,2019,2018,DEF1,0,2019-03-31,RO,5.8
RBI:DG_GDP_RN(1.0),N_A,AFY,2019,2018,DEF4,0,2019-03-31,RO,1.1
RBI:DG_GDP_RN(1.0),N_A,AFY,2019,2018,DEF6,0,2019-03-31,RO,2.5
RBI:DG_GDP_RN(1.0),N_A,AFY,2020,2019,DEF1,0,2020-03-31,RO,7.2191
RBI:DG_GDP_RN(1.0),N_A,AFY,2020,2019,DEF4,0,2020-03-31,RO,2.4579
RBI:DG_GDP_RN(1.0),N_A,AFY,2020,2019,DEF6,0,2020-03-31,RO,3.9255
RBI:DG_GDP_RN(1.0),N_A,AFY,2021,2020,DEF1,0,2021-03-31,RO,13.1
