DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_SGEXP_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SG_EXP_RN(1.0),N_A,AFY,2017,2016,SE22,0,2017-03-31,INR,9288670000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2017,2016,SE3,0,2017-03-31,INR,7103650000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2017,2016,SE21,0,2017-03-31,INR,9022960000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2017,2016,SE2,0,2017-03-31,INR,18311640000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2017,2016,SE31,0,2017-03-31,INR,2513030000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2017,2016,SE32,0,2017-03-31,INR,1455770000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2016,2015,SE21,0,2016-03-31,INR,7656580000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2016,2015,SE32,0,2016-03-31,INR,1302140000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2016,2015,SE2,0,2016-03-31,INR,15840060000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2016,2015,SE3,0,2016-03-31,INR,6293490000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2016,2015,SE33,0,2016-03-31,INR,2106510000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2016,2015,SE22,0,2016-03-31,INR,8183480000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2016,2015,SE31,0,2016-03-31,INR,2142470000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2015,2014,SE32,0,2015-03-31,INR,1199500000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2015,2014,SE2,0,2015-03-31,INR,13259890000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2015,2014,SE3,0,2015-03-31,INR,5664670000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2015,2014,SE22,0,2015-03-31,INR,7021300000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2015,2014,SE21,0,2015-03-31,INR,6238700000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2015,2014,SE31,0,2015-03-31,INR,1904150000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2015,2014,SE33,0,2015-03-31,INR,1908520000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2014,2013,SE32,0,2014-03-31,INR,1073030000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2014,2013,SE21,0,2014-03-31,INR,4695520000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2014,2013,SE2,0,2014-03-31,INR,10764520000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2014,2013,SE22,0,2014-03-31,INR,6069000000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2014,2013,SE31,0,2014-03-31,INR,1688970000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2014,2013,SE33,0,2014-03-31,INR,1680580000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2014,2013,SE3,0,2014-03-31,INR,5045480000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2013,2012,SE31,0,2013-03-31,INR,1504720000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2013,2012,SE32,0,2013-03-31,INR,960900000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2013,2012,SE2,0,2013-03-31,INR,9722560000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2013,2012,SE22,0,2013-03-31,INR,5361640000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2013,2012,SE33,0,2013-03-31,INR,1487840000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2013,2012,SE3,0,2013-03-31,INR,4468790000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2013,2012,SE21,0,2013-03-31,INR,4360930000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2012,2011,SE33,0,2012-03-31,INR,1304720000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2012,2011,SE3,0,2012-03-31,INR,4010590000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2012,2011,SE31,0,2012-03-31,INR,1368170000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2012,2011,SE32,0,2012-03-31,INR,859810000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2012,2011,SE2,0,2012-03-31,INR,8524060000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2012,2011,SE22,0,2012-03-31,INR,4672560000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2012,2011,SE21,0,2012-03-31,INR,3851500000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2011,2010,SE22,0,2011-03-31,INR,4044080000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2011,2010,SE21,0,2011-03-31,INR,3159460000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2011,2010,SE31,0,2011-03-31,INR,1248200000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2011,2010,SE2,0,2011-03-31,INR,7203550000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2011,2010,SE33,0,2011-03-31,INR,1140720000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2011,2010,SE32,0,2011-03-31,INR,751580000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2011,2010,SE3,0,2011-03-31,INR,3572870000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2010,2009,SE22,0,2010-03-31,INR,3437530000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2010,2009,SE2,0,2010-03-31,INR,6377310000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2010,2009,SE21,0,2010-03-31,INR,2939780000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2010,2009,SE3,0,2010-03-31,INR,3075470000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2010,2009,SE31,0,2010-03-31,INR,1128070000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2010,2009,SE32,0,2010-03-31,INR,674980000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2010,2009,SE33,0,2010-03-31,INR,904630000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2009,2008,SE2,0,2009-03-31,INR,5670860000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2009,2008,SE31,0,2009-03-31,INR,1029550000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2009,2008,SE22,0,2009-03-31,INR,2908310000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2009,2008,SE33,0,2009-03-31,INR,706360000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2009,2008,SE21,0,2009-03-31,INR,2762570000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2009,2008,SE32,0,2009-03-31,INR,524310000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2009,2008,SE3,0,2009-03-31,INR,2549810000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2008,2007,SE3,0,2008-03-31,INR,2332330000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2008,2007,SE31,0,2008-03-31,INR,998310000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2008,2007,SE32,0,2008-03-31,INR,448660000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2008,2007,SE21,0,2008-03-31,INR,2315280000000
