DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_SGEXP_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2017,2016,SE11,0,2017-03-31,INR,20868920000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2017,2016,SE1,0,2017-03-31,INR,27082150000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2017,2016,SE1202,0,2017-03-31,INR,1178660000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2017,2016,SE1203,0,2017-03-31,INR,1112690000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2016,2015,SE1,0,2016-03-31,INR,23602290000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2016,2015,SE12,0,2016-03-31,INR,5219620000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2016,2015,SE1203,0,2016-03-31,INR,983590000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2016,2015,SE1202,0,2016-03-31,INR,902190000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2016,2015,SE11,0,2016-03-31,INR,18382670000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2016,2015,SE1201,0,2016-03-31,INR,3333840000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2015,2014,SE1201,0,2015-03-31,INR,2719100000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2015,2014,SE1203,0,2015-03-31,INR,869470000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2015,2014,SE1,0,2015-03-31,INR,20257830000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2015,2014,SE1202,0,2015-03-31,INR,296380000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2015,2014,SE12,0,2015-03-31,INR,3884950000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2015,2014,SE11,0,2015-03-31,INR,16372880000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2014,2013,SE1202,0,2014-03-31,INR,239920000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2014,2013,SE12,0,2014-03-31,INR,3263940000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2014,2013,SE1203,0,2014-03-31,INR,818490000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2014,2013,SE1201,0,2014-03-31,INR,2205530000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2014,2013,SE1,0,2014-03-31,INR,17061450000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2014,2013,SE11,0,2014-03-31,INR,13797500000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2013,2012,SE1201,0,2013-03-31,INR,1931810000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2013,2012,SE11,0,2013-03-31,INR,12317020000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2013,2012,SE12,0,2013-03-31,INR,3025530000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2013,2012,SE1,0,2013-03-31,INR,15342550000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2013,2012,SE1203,0,2013-03-31,INR,793950000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2013,2012,SE1202,0,2013-03-31,INR,299770000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2012,2011,SE1203,0,2012-03-31,INR,669050000000
