DATAFLOW,AUDST,FREQ,INDICATORS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND1,1991,1990,0,1991-03-31,RO,0.9056
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND2,1991,1990,0,1991-03-31,RO,3.2048
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND3,1991,1990,0,1991-03-31,RO,1.7284
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND4,1991,1990,0,1991-03-31,RO,-0.5708
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND5,1991,1990,0,1991-03-31,RO,-0.0123
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND6,1991,1990,0,1991-03-31,RO,15.5384
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND7,1991,1990,0,1991-03-31,RO,11.3384
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND71,1991,1990,0,1991-03-31,RO,7.6058
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND72,1991,1990,0,1991-03-31,RO,3.7326
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND8,1991,1990,0,1991-03-31,RO,15.5507
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND1,1992,1991,0,1992-03-31,RO,0.8386
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND2,1992,1991,0,1992-03-31,RO,2.8047
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND3,1992,1991,0,1992-03-31,RO,1.1806
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND4,1992,1991,0,1992-03-31,RO,-0.7855
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND5,1992,1991,0,1992-03-31,RO,0.0231
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND6,1992,1991,0,1992-03-31,RO,16.0162
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND7,1992,1991,0,1992-03-31,RO,11.9512
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND71,1992,1991,0,1992-03-31,RO,7.8062
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND72,1992,1991,0,1992-03-31,RO,4.14
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND8,1992,1991,0,1992-03-31,RO,15.9932
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND1,1993,1992,0,1993-03-31,RO,0.6603
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND2,1993,1992,0,1993-03-31,RO,2.6973
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND3,1993,1992,0,1993-03-31,RO,0.9917
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND4,1993,1992,0,1993-03-31,RO,-1.0453
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND5,1993,1992,0,1993-03-31,RO,-0.2361
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND6,1993,1992,0,1993-03-31,RO,15.407
