DATAFLOW,AUDST,ESTIMATE_STATUS,FOOTNOTE,FREQ,REPYEAREND,REPYEARSTART,STATE_CODE,ST_FIN_BDGT_LI,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:ST_FIN_STD_BUDGETS_RN(1.0),N_A,REVISED_EST,RE:RevisedEstimates.BE:BudgetEstimates.‘-’:Notavailable/Notapplicable.Note:See‘ExplanatorynotesonDataSourcesandMethodology’.Source:SameasinStatement18.,AFY,2024,2023,N_A,N_A,0,2024-03-31,PT,974.8999999999999
RBI:ST_FIN_STD_BUDGETS_RN(1.0),N_A,REVISED_EST,RE:RevisedEstimates.BE:BudgetEstimates.GFD:GrossFiscalDeficit.Note:Negative(-)signindeficitindicatorsindicatessurplus.Source:BudgetdocumentsofStategovernments.,AFY,2024,2023,N_A,N_A,0,2024-03-31,PT,130.8
RBI:ST_FIN_STD_BUDGETS_RN(1.0),N_A,REVISED_EST,Source:StateFinances:AStudyofBudgets:e-STATESDatabase(https://www.rbi.org.in/Scripts/AnnualPublications.aspx?head=State+Finances+%3a+A+Study+of+Budgets)Calculatedas:(AgricultureandAlliedActivities(itoxi)/TotalExpenditure)*100Dataisavailableform1990-91to2024-25DataisinPercentoftotalexpenditure.AgricultureandAlliedActivities(itoxi)includesrevenueexpenditureandcapitaloutlay,AFY,2024,2023,N_A,N_A,0,2024-03-31,PT,232.034765847406
RBI:ST_FIN_STD_BUDGETS_RN(1.0),N_A,REVISED_EST,RE:RevisedEstimates.BE:BudgetEstimates.OTR:OwnTaxRevenueGSDP:GrossStateDomesticProduct.#:DataforAllStatesareaspercentofGDP.Source:BudgetdocumentsoftheStategovernments.Detailsinmethodology,AFY,2024,2023,N_A,N_A,0,2024-03-31,PT,190.0
RBI:ST_FIN_STD_BUDGETS_RN(1.0),N_A,REVISED_EST,RE:RevisedEstimates.BE:BudgetEstimates.‘-’:Notapplicable/Notavailable.*:Itincludesrevenueexpenditureandcapitaloutlay.Note:Datafrom2017-18onwardsincludeDelhiandPuducherryalso.Source:BudgetdocumentsoftheStategovernments.Detailsinmethodology.nannannanSource:StateFinances:AStudyofBudgets:Statement27:ExpenditureonMedicalandPublicHealthandFamilyWelfare-AspercentofAggregateExpenditure(https://www.rbi.org.in/Scripts/AnnualPublications.aspx?head=State%20Finances%20:%20A%20Study%20of%20Budgets)OriginalSource:BudgetdocumentsoftheStategovernments.Detailsinmethodology.Dataisavailableform2007-08to2024-25asperpublisheddateDec19,2024Dataisinpercent.,AFY,2024,2023,N_A,N_A,0,2024-03-31,PT,187.49999999999997
RBI:ST_FIN_STD_BUDGETS_RN(1.0),N_A,REVISED_EST,Source:StateFinances:AStudyofBudgets:e-STATESDatabase(https://www.rbi.org.in/Scripts/AnnualPublications.aspx?head=State+Finances+%3a+A+Study+of+Budgets)Dataisavailableform1990-91to2024-25DataisinCroreCapitalexpenditureincludescapitaloutlayandloansandadvancesbytheStategovernments.(ReferTableII.3)DataisprovidedonlyforCapitalExpenditureasGSDPdataisnotavailable,AFY,2024,2023,N_A,N_A,0,2024-03-31,INR,934761.1554500001
RBI:ST_FIN_STD_BUDGETS_RN(1.0),N_A,REVISED_EST,Source:StateFinances:AStudyofBudgets:e-STATESDatabase(https://www.rbi.org.in/Scripts/AnnualPublications.aspx?head=State+Finances+%3a+A+Study+of+Budgets)Dataisavailableform1990-91to2024-25DataisinRsCroreHealthSectorincludesMedicalandPublicHealth:Includesrevenueexpenditure,capitaloutlayandloansandadvancesbyStategovernments.DataisprovidedonlyforExpenditureonhealthsectorasStatewisepouplationdataisnotavailable,AFY,2024,2023,N_A,N_A,0,2024-03-31,INR,278661.6790999999
RBI:ST_FIN_STD_BUDGETS_RN(1.0),N_A,BUG_EST,Source:StateFinances:AStudyofBudgets:e-STATESDatabase(https://www.rbi.org.in/Scripts/AnnualPublications.aspx?head=State+Finances+%3a+A+Study+of+Budgets)Dataisavailableform1990-91to2024-25DataisinCroreExpenditureonEducation,Sports,ArtandCulture:Includesrevenueexpenditure,capitaloutlayandloansandadvancesbyStategovernmentsDataisprovidedonlyforEducationExpenditureasGSDPdataisnotavailable,AFY,2024,2023,N_A,N_A,0,2024-03-31,INR,768541.7185000001
RBI:ST_FIN_STD_BUDGETS_RN(1.0),N_A,REVISED_EST,RE:RevisedEstimates.BE:BudgetEstimates.RR:RevenueReceipts.OTR:OwnTaxRevenue.ONTR:OwnNon-TaxRevenueGSDP:GrossStateDomesticProduct.#:DataforallStates/UTsareaspercentofGDP.Source:BudgetdocumentsoftheStategovernments.Detailsinmethodology,AFY,2024,2023,N_A,N_A,0,2024-03-31,PT,55.2
RBI:ST_FIN_STD_BUDGETS_RN(1.0),N_A,BUG_EST,Source:StateFinances:AStudyofBudgets:e-STATESDatabase(https://www.rbi.org.in/Scripts/AnnualPublications.aspx?head=State+Finances+%3a+A+Study+of+Budgets)Calculatedas:(AgricultureandAlliedActivities(itoxi)/TotalExpenditure)*100Dataisavailableform1990-91to2024-25DataisinPercentoftotalexpenditure.AgricultureandAlliedActivities(itoxi)includesrevenueexpenditureandcapitaloutlay,AFY,2024,2023,N_A,N_A,0,2024-03-31,PT,225.00545106566702
