DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_FINANCE_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SG_BOR_RN(1.0),N_A,AFY,2014,2013,SGB2,0,2014-03-31,INR,1635729622199.9998
RBI:SG_BOR_RN(1.0),N_A,AFY,2014,2013,SGB3,0,2014-03-31,INR,25570814000
RBI:SG_BOR_RN(1.0),N_A,AFY,2014,2013,SGB4,0,2014-03-31,INR,811207503510
RBI:SG_BOR_RN(1.0),N_A,AFY,2013,2012,SGB4,0,2013-03-31,INR,476650000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2013,2012,SGB,0,2013-03-31,INR,1954708142680
RBI:SG_BOR_RN(1.0),N_A,AFY,2013,2012,SGB2,0,2013-03-31,INR,1462487011000
RBI:SG_BOR_RN(1.0),N_A,AFY,2013,2012,SGB1,0,2013-03-31,INR,17304376680
RBI:SG_BOR_RN(1.0),N_A,AFY,2013,2012,SGB3,0,2013-03-31,INR,-1733245000
RBI:SG_BOR_RN(1.0),N_A,AFY,2012,2011,SGB1,0,2012-03-31,INR,1799300000
RBI:SG_BOR_RN(1.0),N_A,AFY,2012,2011,SGB,0,2012-03-31,INR,1683536045000
RBI:SG_BOR_RN(1.0),N_A,AFY,2012,2011,SGB2,0,2012-03-31,INR,1353960749000
RBI:SG_BOR_RN(1.0),N_A,AFY,2012,2011,SGB3,0,2012-03-31,INR,-80644004000
RBI:SG_BOR_RN(1.0),N_A,AFY,2012,2011,SGB4,0,2012-03-31,INR,408420000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2011,2010,SGB4,0,2011-03-31,INR,333490000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2011,2010,SGB3,0,2011-03-31,INR,386260000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2011,2010,SGB,0,2011-03-31,INR,1614610000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2011,2010,SGB2,0,2011-03-31,INR,887760000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2011,2010,SGB1,0,2011-03-31,INR,7100000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2010,2009,SGB3,0,2010-03-31,INR,241580000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2010,2009,SGB,0,2010-03-31,INR,1888190000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2010,2009,SGB4,0,2010-03-31,INR,537130000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2010,2009,SGB2,0,2010-03-31,INR,1126480000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2010,2009,SGB1,0,2010-03-31,INR,-17000000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2009,2008,SGB4,0,2009-03-31,INR,298300000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2009,2008,SGB2,0,2009-03-31,INR,1040410000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2009,2008,SGB3,0,2009-03-31,INR,14790000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2009,2008,SGB,0,2009-03-31,INR,1345890000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2009,2008,SGB1,0,2009-03-31,INR,-7610000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2008,2007,SGB4,0,2008-03-31,INR,166100000000
