DATAFLOW,AUDST,COMP_COUNT,FREQ,IND_CLASF_RN,PERF_IND_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PRF_LNGNFC_QTR_IND_RN(1.0),N_A,186,QFY,ICC_SRV_IT,EBT_BEFORE_NOP,2015,2014,0,2014-06-30,INR,166778100000
RBI:PRF_LNGNFC_QTR_IND_RN(1.0),N_A,186,QFY,ICC_SRV_IT,EBT_BEFORE_NOP,2015,2014,0,2014-06-30,PT,27.334466361879
RBI:PRF_LNGNFC_QTR_IND_RN(1.0),N_A,186,QFY,ICC_SRV_IT,EXPD,2015,2014,0,2014-06-30,INR,421548700000
RBI:PRF_LNGNFC_QTR_IND_RN(1.0),N_A,186,QFY,ICC_SRV_IT,EXPD,2015,2014,0,2014-06-30,PT,13.484308804261
RBI:PRF_LNGNFC_QTR_IND_RN(1.0),N_A,186,QFY,ICC_SRV_IT,EXPD_OTH,2015,2014,0,2014-06-30,PT,170644000000
RBI:PRF_LNGNFC_QTR_IND_RN(1.0),N_A,186,QFY,ICC_SRV_IT,EXPD_RAW_MATR,2015,2014,0,2014-06-30,INR,6964500000
RBI:PRF_LNGNFC_QTR_IND_RN(1.0),N_A,186,QFY,ICC_SRV_IT,EXPD_RAW_MATR,2015,2014,0,2014-06-30,PT,13.437576349866
RBI:PRF_LNGNFC_QTR_IND_RN(1.0),N_A,186,QFY,ICC_SRV_IT,EXPD_STAFF_COST,2015,2014,0,2014-06-30,INR,243940200000
RBI:PRF_LNGNFC_QTR_IND_RN(1.0),N_A,186,QFY,ICC_SRV_IT,EXPD_STAFF_COST,2015,2014,0,2014-06-30,PT,9.300676082868
RBI:PRF_LNGNFC_QTR_IND_RN(1.0),N_A,186,QFY,ICC_SRV_IT,GROSS_PFT_EBIT,2015,2014,0,2014-06-30,INR,170725099999.99997
RBI:PRF_LNGNFC_QTR_IND_RN(1.0),N_A,186,QFY,ICC_SRV_IT,GROSS_PFT_EBIT,2015,2014,0,2014-06-30,PT,25.05858283382
RBI:PRF_LNGNFC_QTR_IND_RN(1.0),N_A,186,QFY,ICC_SRV_IT,INT,2015,2014,0,2014-06-30,INR,3947000000
RBI:PRF_LNGNFC_QTR_IND_RN(1.0),N_A,186,QFY,ICC_SRV_IT,INT,2015,2014,0,2014-06-30,PT,-28.750654367565
RBI:PRF_LNGNFC_QTR_IND_RN(1.0),N_A,186,QFY,ICC_SRV_IT,NET_PFT,2015,2014,0,2014-06-30,INR,126512400000
RBI:PRF_LNGNFC_QTR_IND_RN(1.0),N_A,186,QFY,ICC_SRV_IT,NET_PFT,2015,2014,0,2014-06-30,PT,30.141794361144
RBI:PRF_LNGNFC_QTR_IND_RN(1.0),N_A,186,QFY,ICC_SRV_IT,OPR_PFT,2015,2014,0,2014-06-30,INR,156983200000
RBI:PRF_LNGNFC_QTR_IND_RN(1.0),N_A,186,QFY,ICC_SRV_IT,OPR_PFT,2015,2014,0,2014-06-30,PT,20.2208624664
RBI:PRF_LNGNFC_QTR_IND_RN(1.0),N_A,186,QFY,ICC_SRV_IT,OTH_INC,2015,2014,0,2014-06-30,INR,29004500000
RBI:PRF_LNGNFC_QTR_IND_RN(1.0),N_A,186,QFY,ICC_SRV_IT,OTH_INC,2015,2014,0,2014-06-30,PT,39.285336970198
RBI:PRF_LNGNFC_QTR_IND_RN(1.0),N_A,186,QFY,ICC_SRV_IT,SALES,2015,2014,0,2014-06-30,INR,579382500000
RBI:PRF_LNGNFC_QTR_IND_RN(1.0),N_A,186,QFY,ICC_SRV_IT,SALES,2015,2014,0,2014-06-30,PT,15.355692121211
RBI:PRF_LNGNFC_QTR_IND_RN(1.0),N_A,186,QFY,ICC_SRV_IT,TAX_PROV,2015,2014,0,2014-06-30,INR,42902200000
RBI:PRF_LNGNFC_QTR_IND_RN(1.0),N_A,186,QFY,ICC_SRV_IT,TAX_PROV,2015,2014,0,2014-06-30,PT,32.303944243994
RBI:PRF_LNGNFC_QTR_IND_RN(1.0),N_A,433,QFY,ICC_SRV_NON_IT,DEPRC,2015,2014,0,2014-06-30,INR,59160800000
RBI:PRF_LNGNFC_QTR_IND_RN(1.0),N_A,433,QFY,ICC_SRV_NON_IT,DEPRC,2015,2014,0,2014-06-30,PT,6.263841863723
RBI:PRF_LNGNFC_QTR_IND_RN(1.0),N_A,433,QFY,ICC_SRV_NON_IT,EBITDA,2015,2014,0,2014-06-30,INR,154486700000
RBI:PRF_LNGNFC_QTR_IND_RN(1.0),N_A,433,QFY,ICC_SRV_NON_IT,EBITDA,2015,2014,0,2014-06-30,PT,6.689341542329
