DATAFLOW,AUDST,COMP_COUNT,FREQ,INDS_GRP_RN,REPYEAREND,REPYEARSTART,TYP_RATIO_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,26,QFY,ELC_GAS_SPLY,2021,2020,INT_TO_SAL,0,2021-03-31,RPT,9.5078
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,26,QFY,ELC_GAS_SPLY,2021,2020,NET_PFT_TO_SAL,0,2021-03-31,RPT,12.3147
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,26,QFY,ELC_GAS_SPLY,2021,2020,OPR_PFTS_TO_SAL,0,2021-03-31,RPT,21.0182
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,26,QFY,ELC_GAS_SPLY,2021,2020,TAX_PROV_TO_EBT,0,2021-03-31,RPT,16.2183
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,2608,QFY,INDS_GRP_ALL_COMP,2021,2020,CSH_CVG_RATIO,0,2021-03-31,RPT,6.190002
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,2608,QFY,INDS_GRP_ALL_COMP,2021,2020,EBITDA_TO_SAL,0,2021-03-31,RPT,20.6398
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,2608,QFY,INDS_GRP_ALL_COMP,2021,2020,INT_BURDEN,0,2021-03-31,RPT,20.7142
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,2608,QFY,INDS_GRP_ALL_COMP,2021,2020,INT_CVG,0,2021-03-31,RPT,4.827617
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,2608,QFY,INDS_GRP_ALL_COMP,2021,2020,INT_TO_SAL,0,2021-03-31,RPT,3.3344
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,2608,QFY,INDS_GRP_ALL_COMP,2021,2020,NET_PFT_TO_SAL,0,2021-03-31,RPT,9.0637
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,2608,QFY,INDS_GRP_ALL_COMP,2021,2020,OPR_PFTS_TO_SAL,0,2021-03-31,RPT,18.065
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,2608,QFY,INDS_GRP_ALL_COMP,2021,2020,TAX_PROV_TO_EBT,0,2021-03-31,RPT,20.1361
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,161,QFY,IT_CSRS,2021,2020,CSH_CVG_RATIO,0,2021-03-31,RPT,69.241468
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,161,QFY,IT_CSRS,2021,2020,EBITDA_TO_SAL,0,2021-03-31,RPT,29.8188
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,161,QFY,IT_CSRS,2021,2020,INT_BURDEN,0,2021-03-31,RPT,1.6071
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,161,QFY,IT_CSRS,2021,2020,INT_CVG,0,2021-03-31,RPT,62.223882
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,161,QFY,IT_CSRS,2021,2020,INT_TO_SAL,0,2021-03-31,RPT,0.4306
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,161,QFY,IT_CSRS,2021,2020,NET_PFT_TO_SAL,0,2021-03-31,RPT,18.8447
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,161,QFY,IT_CSRS,2021,2020,OPR_PFTS_TO_SAL,0,2021-03-31,RPT,26.9756
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,161,QFY,IT_CSRS,2021,2020,TAX_PROV_TO_EBT,0,2021-03-31,RPT,23.5838
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,33,QFY,MIN_N_QUARY,2021,2020,CSH_CVG_RATIO,0,2021-03-31,RPT,9.678701
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,33,QFY,MIN_N_QUARY,2021,2020,EBITDA_TO_SAL,0,2021-03-31,RPT,13.6468
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,33,QFY,MIN_N_QUARY,2021,2020,INT_BURDEN,0,2021-03-31,RPT,13.2292
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,33,QFY,MIN_N_QUARY,2021,2020,INT_CVG,0,2021-03-31,RPT,7.559022
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,33,QFY,MIN_N_QUARY,2021,2020,INT_TO_SAL,0,2021-03-31,RPT,1.41
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,33,QFY,MIN_N_QUARY,2021,2020,NET_PFT_TO_SAL,0,2021-03-31,RPT,6.8254
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,33,QFY,MIN_N_QUARY,2021,2020,OPR_PFTS_TO_SAL,0,2021-03-31,RPT,12.1159
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,33,QFY,MIN_N_QUARY,2021,2020,TAX_PROV_TO_EBT,0,2021-03-31,RPT,25.1621
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,1633,QFY,MNF,2021,2020,CSH_CVG_RATIO,0,2021-03-31,RPT,8.878773
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,1633,QFY,MNF,2021,2020,EBITDA_TO_SAL,0,2021-03-31,RPT,19.3277
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,1633,QFY,MNF,2021,2020,INT_BURDEN,0,2021-03-31,RPT,13.7202
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,1633,QFY,MNF,2021,2020,INT_CVG,0,2021-03-31,RPT,7.288539
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,1633,QFY,MNF,2021,2020,INT_TO_SAL,0,2021-03-31,RPT,2.1768
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,1633,QFY,MNF,2021,2020,NET_PFT_TO_SAL,0,2021-03-31,RPT,10.6814
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,1633,QFY,MNF,2021,2020,OPR_PFTS_TO_SAL,0,2021-03-31,RPT,17.2464
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,1633,QFY,MNF,2021,2020,TAX_PROV_TO_EBT,0,2021-03-31,RPT,18.5128
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,39,QFY,MNF_CCP,2021,2020,CSH_CVG_RATIO,0,2021-03-31,RPT,12.582038
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,39,QFY,MNF_CCP,2021,2020,EBITDA_TO_SAL,0,2021-03-31,RPT,23.9852
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,39,QFY,MNF_CCP,2021,2020,INT_BURDEN,0,2021-03-31,RPT,9.7085
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,39,QFY,MNF_CCP,2021,2020,INT_CVG,0,2021-03-31,RPT,10.300258
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,39,QFY,MNF_CCP,2021,2020,INT_TO_SAL,0,2021-03-31,RPT,1.9063
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,39,QFY,MNF_CCP,2021,2020,NET_PFT_TO_SAL,0,2021-03-31,RPT,12.6656
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,39,QFY,MNF_CCP,2021,2020,OPR_PFTS_TO_SAL,0,2021-03-31,RPT,22.671
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,39,QFY,MNF_CCP,2021,2020,TAX_PROV_TO_EBT,0,2021-03-31,RPT,21.6026
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,45,QFY,MNF_CEE,2021,2020,CSH_CVG_RATIO,0,2021-03-31,RPT,5.079146
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,45,QFY,MNF_CEE,2021,2020,EBITDA_TO_SAL,0,2021-03-31,RPT,9.3583
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,45,QFY,MNF_CEE,2021,2020,INT_BURDEN,0,2021-03-31,RPT,22.4931
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,45,QFY,MNF_CEE,2021,2020,INT_CVG,0,2021-03-31,RPT,4.445816
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,45,QFY,MNF_CEE,2021,2020,INT_TO_SAL,0,2021-03-31,RPT,1.8425
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,45,QFY,MNF_CEE,2021,2020,NET_PFT_TO_SAL,0,2021-03-31,RPT,3.9119
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,45,QFY,MNF_CEE,2021,2020,OPR_PFTS_TO_SAL,0,2021-03-31,RPT,8.4861
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,45,QFY,MNF_CEE,2021,2020,TAX_PROV_TO_EBT,0,2021-03-31,RPT,23.3477
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,237,QFY,MNF_CHM_PRD,2021,2020,CSH_CVG_RATIO,0,2021-03-31,RPT,15.729787
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,237,QFY,MNF_CHM_PRD,2021,2020,EBITDA_TO_SAL,0,2021-03-31,RPT,18.8132
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,237,QFY,MNF_CHM_PRD,2021,2020,INT_BURDEN,0,2021-03-31,RPT,7.7411
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,237,QFY,MNF_CHM_PRD,2021,2020,INT_CVG,0,2021-03-31,RPT,12.917985
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,237,QFY,MNF_CHM_PRD,2021,2020,INT_TO_SAL,0,2021-03-31,RPT,1.196
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,237,QFY,MNF_CHM_PRD,2021,2020,NET_PFT_TO_SAL,0,2021-03-31,RPT,11.0126
