DATAFLOW,AUDST,COMP_COUNT,FREQ,PERF_IND_RN,PUC_CLS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,611,AFY,OPR_PFT,5_TO_10,2016,2015,0,2016-03-31,PT,16.5144
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,2932,AFY,OPR_PFT,ALL_COMP,2016,2015,0,2016-03-31,PT,10.2238
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,610,AFY,OPR_PFT,LES_THN_5,2016,2015,0,2016-03-31,PT,3.5966
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,483,AFY,OTH_INC,10_TO_15,2016,2015,0,2016-03-31,PT,11.7431
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,436,AFY,OTH_INC,15_TO_25,2016,2015,0,2016-03-31,PT,1.0127
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,792,AFY,OTH_INC,25_N_ABOVE,2016,2015,0,2016-03-31,PT,-2.6616
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,611,AFY,OTH_INC,5_TO_10,2016,2015,0,2016-03-31,PT,-9.7135
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,2932,AFY,OTH_INC,ALL_COMP,2016,2015,0,2016-03-31,PT,-2.4146
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,610,AFY,OTH_INC,LES_THN_5,2016,2015,0,2016-03-31,PT,-12.0651
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,483,AFY,PUC_SHARE,10_TO_15,2016,2015,0,2016-03-31,PT,3.9899
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,436,AFY,PUC_SHARE,15_TO_25,2016,2015,0,2016-03-31,PT,5.7379
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,792,AFY,PUC_SHARE,25_N_ABOVE,2016,2015,0,2016-03-31,PT,86.0438
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,611,AFY,PUC_SHARE,5_TO_10,2016,2015,0,2016-03-31,PT,2.9359
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,2932,AFY,PUC_SHARE,ALL_COMP,2016,2015,0,2016-03-31,PT,100.0
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,610,AFY,PUC_SHARE,LES_THN_5,2016,2015,0,2016-03-31,PT,1.2925
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,483,AFY,SALES,10_TO_15,2016,2015,0,2016-03-31,PT,3.7374
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,436,AFY,SALES,15_TO_25,2016,2015,0,2016-03-31,PT,3.0983
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,792,AFY,SALES,25_N_ABOVE,2016,2015,0,2016-03-31,PT,-2.547
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,611,AFY,SALES,5_TO_10,2016,2015,0,2016-03-31,PT,2.6548
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,2932,AFY,SALES,ALL_COMP,2016,2015,0,2016-03-31,PT,-1.6035
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,610,AFY,SALES,LES_THN_5,2016,2015,0,2016-03-31,PT,-0.4205
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,483,AFY,SAL_SHARE,10_TO_15,2016,2015,0,2016-03-31,PT,4.6522
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,436,AFY,SAL_SHARE,15_TO_25,2016,2015,0,2016-03-31,PT,8.4223
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,792,AFY,SAL_SHARE,25_N_ABOVE,2016,2015,0,2016-03-31,PT,81.7649
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,611,AFY,SAL_SHARE,5_TO_10,2016,2015,0,2016-03-31,PT,3.606
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,2932,AFY,SAL_SHARE,ALL_COMP,2016,2015,0,2016-03-31,PT,100.0
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,610,AFY,SAL_SHARE,LES_THN_5,2016,2015,0,2016-03-31,PT,1.5546
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,483,AFY,TAX_PROV,10_TO_15,2016,2015,0,2016-03-31,PT,45.9105
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,436,AFY,TAX_PROV,15_TO_25,2016,2015,0,2016-03-31,PT,21.7434
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,792,AFY,TAX_PROV,25_N_ABOVE,2016,2015,0,2016-03-31,PT,-1.0093
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,611,AFY,TAX_PROV,5_TO_10,2016,2015,0,2016-03-31,PT,24.7795
