DATAFLOW,AUDST,COMP_COUNT,FREQ,REPYEAREND,REPYEARSTART,SALE_SZ_CLS_RN,TYP_RATIO_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,247,AFY,2016,2015,500_TO_1000,INT_CVG,0,2016-03-31,RPT,1.710747
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,247,AFY,2016,2015,500_TO_1000,INT_TO_SAL,0,2016-03-31,RPT,5.2887
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,247,AFY,2016,2015,500_TO_1000,NET_PFT_TO_SAL,0,2016-03-31,RPT,0.1853
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,247,AFY,2016,2015,500_TO_1000,OPR_PFTS_TO_SAL,0,2016-03-31,RPT,10.8592
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,247,AFY,2016,2015,500_TO_1000,SC_TO_SAL,0,2016-03-31,RPT,9.3698
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,247,AFY,2016,2015,500_TO_1000,TAX_PROV_TO_EBT,0,2016-03-31,RPT,26.4059
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,315,AFY,2016,2015,50_TO_100,CORM_TO_SAL,0,2016-03-31,RPT,53.9707
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,315,AFY,2016,2015,50_TO_100,CSH_CVG_RATIO,0,2016-03-31,RPT,0.778839
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,315,AFY,2016,2015,50_TO_100,EBITDA_TO_SAL,0,2016-03-31,RPT,8.1001
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,315,AFY,2016,2015,50_TO_100,EBIT_TO_SAL,0,2016-03-31,RPT,2.8517
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,315,AFY,2016,2015,50_TO_100,INT_CVG,0,2016-03-31,RPT,0.274197
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,315,AFY,2016,2015,50_TO_100,INT_TO_SAL,0,2016-03-31,RPT,10.4002
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,315,AFY,2016,2015,50_TO_100,NET_PFT_TO_SAL,0,2016-03-31,RPT,-16.4779
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,315,AFY,2016,2015,50_TO_100,OPR_PFTS_TO_SAL,0,2016-03-31,RPT,2.0252
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,315,AFY,2016,2015,50_TO_100,SC_TO_SAL,0,2016-03-31,RPT,10.2716
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,315,AFY,2016,2015,50_TO_100,TAX_PROV_TO_EBT,0,2016-03-31,RPT,22.1202
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,2932,AFY,2016,2015,ALL_COMP,CORM_TO_SAL,0,2016-03-31,RPT,48.9741
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,2932,AFY,2016,2015,ALL_COMP,CSH_CVG_RATIO,0,2016-03-31,RPT,4.169731
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,2932,AFY,2016,2015,ALL_COMP,EBITDA_TO_SAL,0,2016-03-31,RPT,18.2724
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,2932,AFY,2016,2015,ALL_COMP,EBIT_TO_SAL,0,2016-03-31,RPT,14.1734
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,2932,AFY,2016,2015,ALL_COMP,INT_BURDEN,0,2016-03-31,RPT,30.9181
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,2932,AFY,2016,2015,ALL_COMP,INT_CVG,0,2016-03-31,RPT,3.234353
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,2932,AFY,2016,2015,ALL_COMP,INT_TO_SAL,0,2016-03-31,RPT,4.3822
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,2932,AFY,2016,2015,ALL_COMP,NET_PFT_TO_SAL,0,2016-03-31,RPT,6.5759
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,2932,AFY,2016,2015,ALL_COMP,OPR_PFTS_TO_SAL,0,2016-03-31,RPT,15.2024
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,2932,AFY,2016,2015,ALL_COMP,OTH_INC_NET_PFT,0,2016-03-31,RPT,46.686
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,2932,AFY,2016,2015,ALL_COMP,SC_TO_SAL,0,2016-03-31,RPT,9.7215
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,2932,AFY,2016,2015,ALL_COMP,TAX_PROV_TO_EBT,0,2016-03-31,RPT,23.1535
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,864,AFY,2016,2015,LES_CLS_THAN_25,CORM_TO_SAL,0,2016-03-31,RPT,47.8715
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,864,AFY,2016,2015,LES_CLS_THAN_25,EBITDA_TO_SAL,0,2016-03-31,RPT,-2.506
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,864,AFY,2016,2015,LES_CLS_THAN_25,EBIT_TO_SAL,0,2016-03-31,RPT,-18.6247
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,864,AFY,2016,2015,LES_CLS_THAN_25,INT_TO_SAL,0,2016-03-31,RPT,35.9717
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,864,AFY,2016,2015,LES_CLS_THAN_25,NET_PFT_TO_SAL,0,2016-03-31,RPT,-78.9457
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,864,AFY,2016,2015,LES_CLS_THAN_25,OPR_PFTS_TO_SAL,0,2016-03-31,RPT,-27.2139
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,864,AFY,2016,2015,LES_CLS_THAN_25,SC_TO_SAL,0,2016-03-31,RPT,18.8492
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,864,AFY,2016,2015,LES_CLS_THAN_25,TAX_PROV_TO_EBT,0,2016-03-31,RPT,22.909
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,500,AFY,2017,2016,100_N_ABOVE,CORM_TO_SAL,0,2017-03-31,RPT,49.357
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,500,AFY,2017,2016,100_N_ABOVE,CSH_CVG_RATIO,0,2017-03-31,RPT,4.739723
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,500,AFY,2017,2016,100_N_ABOVE,EBITDA_TO_SAL,0,2017-03-31,RPT,19.9122
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,500,AFY,2017,2016,100_N_ABOVE,EBIT_TO_SAL,0,2017-03-31,RPT,15.5257
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,500,AFY,2017,2016,100_N_ABOVE,INT_BURDEN,0,2017-03-31,RPT,27.0592
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,500,AFY,2017,2016,100_N_ABOVE,INT_CVG,0,2017-03-31,RPT,3.695603
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,500,AFY,2017,2016,100_N_ABOVE,INT_TO_SAL,0,2017-03-31,RPT,4.2011
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,500,AFY,2017,2016,100_N_ABOVE,NET_PFT_TO_SAL,0,2017-03-31,RPT,7.7039
