DATAFLOW,AUDST,COMP_COUNT,FREQ,IND_CLASF_RN,REPYEAREND,REPYEARSTART,TYP_RATIO_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,433,QFY,ICC_SRV_NON_IT,2015,2014,NET_PFT_TO_SAL,0,2014-06-30,RPT,6.504852409771
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,433,QFY,ICC_SRV_NON_IT,2015,2014,OPR_PFTS_TO_SAL,0,2014-06-30,RPT,19.300133401527
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,433,QFY,ICC_SRV_NON_IT,2015,2014,OTH_INC_NET_PFT,0,2014-06-30,RPT,48.079648447003
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,433,QFY,ICC_SRV_NON_IT,2015,2014,SC_TO_SAL,0,2014-06-30,RPT,6.813924030383
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,433,QFY,ICC_SRV_NON_IT,2015,2014,TAX_PROV_TO_EBT,0,2014-06-30,RPT,25.339561926932
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,1910,QFY,ICC_MANF,2015,2014,CORM_TO_SAL,0,2014-09-30,RPT,58.679031609213
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,1910,QFY,ICC_MANF,2015,2014,CSH_CVG_RATIO,0,2014-09-30,RPT,4.12025465667
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,1910,QFY,ICC_MANF,2015,2014,EBITDA_TO_SAL,0,2014-09-30,RPT,13.159943410479
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,1910,QFY,ICC_MANF,2015,2014,EBIT_TO_SAL,0,2014-09-30,RPT,10.037654553601
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,1910,QFY,ICC_MANF,2015,2014,INT_BURDEN,0,2014-09-30,RPT,31.819819923324
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,1910,QFY,ICC_MANF,2015,2014,INT_CVG,0,2014-09-30,RPT,3.142695346516
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,1910,QFY,ICC_MANF,2015,2014,INT_TO_SAL,0,2014-09-30,RPT,3.193963603481
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,1910,QFY,ICC_MANF,2015,2014,NET_PFT_TO_SAL,0,2014-09-30,RPT,4.771898506537
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,1910,QFY,ICC_MANF,2015,2014,OPR_PFTS_TO_SAL,0,2014-09-30,RPT,10.998429915519
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,1910,QFY,ICC_MANF,2015,2014,OTH_INC_NET_PFT,0,2014-09-30,RPT,45.296719785596
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,1910,QFY,ICC_MANF,2015,2014,SC_TO_SAL,0,2014-09-30,RPT,4.966549808547
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,1910,QFY,ICC_MANF,2015,2014,TAX_PROV_TO_EBT,0,2014-09-30,RPT,25.323158679941
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,192,QFY,ICC_SRV_IT,2015,2014,CSH_CVG_RATIO,0,2014-09-30,RPT,38.894779410349
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,192,QFY,ICC_SRV_IT,2015,2014,EBITDA_TO_SAL,0,2014-09-30,RPT,33.707192559531
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,192,QFY,ICC_SRV_IT,2015,2014,EBIT_TO_SAL,0,2014-09-30,RPT,30.925127188404
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,192,QFY,ICC_SRV_IT,2015,2014,INT_BURDEN,0,2014-09-30,RPT,2.802333218029
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,192,QFY,ICC_SRV_IT,2015,2014,INT_CVG,0,2014-09-30,RPT,35.684550058734
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,192,QFY,ICC_SRV_IT,2015,2014,INT_TO_SAL,0,2014-09-30,RPT,0.866625111918
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,192,QFY,ICC_SRV_IT,2015,2014,NET_PFT_TO_SAL,0,2014-09-30,RPT,23.564663110315
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,192,QFY,ICC_SRV_IT,2015,2014,OPR_PFTS_TO_SAL,0,2014-09-30,RPT,26.891362703695
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,192,QFY,ICC_SRV_IT,2015,2014,OTH_INC_NET_PFT,0,2014-09-30,RPT,28.923943550255
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,192,QFY,ICC_SRV_IT,2015,2014,SC_TO_SAL,0,2014-09-30,RPT,42.32265773189
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,192,QFY,ICC_SRV_IT,2015,2014,TAX_PROV_TO_EBT,0,2014-09-30,RPT,24.436894268465
