DATAFLOW,AUDST,COMP_COUNT,FREQ,PERF_IND_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2863.000000000000,QFY,EBT_BEFORE_NOP,2015,2014,0,2014-09-30,PT,22.1
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2863.000000000000,QFY,EXPD,2015,2014,0,2014-09-30,INR,7075677400000.001
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2863.000000000000,QFY,EXPD,2015,2014,0,2014-09-30,PT,3.6
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2863.000000000000,QFY,EXPD_OTH,2015,2014,0,2014-09-30,INR,2369713400000.001
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2863.000000000000,QFY,EXPD_PNF,2015,2014,0,2014-09-30,INR,296707700000
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2863.000000000000,QFY,EXPD_PNF,2015,2014,0,2014-09-30,PT,3.7
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2863.000000000000,QFY,EXPD_RAW_MATR,2015,2014,0,2014-09-30,INR,3760223700000
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2863.000000000000,QFY,EXPD_RAW_MATR,2015,2014,0,2014-09-30,PT,3.4
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2863.000000000000,QFY,EXPD_STAFF_COST,2015,2014,0,2014-09-30,INR,649032600000
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2863.000000000000,QFY,EXPD_STAFF_COST,2015,2014,0,2014-09-30,PT,7.7
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2863.000000000000,QFY,GROSS_PFT_EBIT,2015,2014,0,2014-09-30,INR,1051052300000.0001
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2863.000000000000,QFY,GROSS_PFT_EBIT,2015,2014,0,2014-09-30,PT,14.1
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2863.000000000000,QFY,INT,2015,2014,0,2014-09-30,INR,325887700000
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2863.000000000000,QFY,INT,2015,2014,0,2014-09-30,PT,-0.6
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2863.000000000000,QFY,NET_PFT,2015,2014,0,2014-09-30,INR,537465500000
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2863.000000000000,QFY,NET_PFT,2015,2014,0,2014-09-30,PT,25.6
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2863.000000000000,QFY,OPR_PFT,2015,2014,0,2014-09-30,INR,1072812400000
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2863.000000000000,QFY,OPR_PFT,2015,2014,0,2014-09-30,PT,8.3
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2863.000000000000,QFY,OTH_INC,2015,2014,0,2014-09-30,INR,275376000000
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2863.000000000000,QFY,OTH_INC,2015,2014,0,2014-09-30,PT,26.1
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2863.000000000000,QFY,SALES,2015,2014,0,2014-09-30,INR,8106616200000.001
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2863.000000000000,QFY,SALES,2015,2014,0,2014-09-30,PT,4.2
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2863.000000000000,QFY,TAX_PROV,2015,2014,0,2014-09-30,INR,203629300000
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2863.000000000000,QFY,TAX_PROV,2015,2014,0,2014-09-30,PT,29.0
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2863.000000000000,QFY,VAL_OF_PROD,2015,2014,0,2014-09-30,INR,8148489800000
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2863.000000000000,QFY,VAL_OF_PROD,2015,2014,0,2014-09-30,PT,4.2
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2845.000000000000,QFY,DEPRC,2015,2014,0,2014-12-31,INR,301479900000
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2845.000000000000,QFY,DEPRC,2015,2014,0,2014-12-31,PT,6.1
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2845.000000000000,QFY,EBITDA,2015,2014,0,2014-12-31,INR,1227334799999.9998
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2845.000000000000,QFY,EBITDA,2015,2014,0,2014-12-31,PT,-1.5
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2845.000000000000,QFY,EBT_BEFORE_NOP,2015,2014,0,2014-12-31,INR,594367000000
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2845.000000000000,QFY,EBT_BEFORE_NOP,2015,2014,0,2014-12-31,PT,-8.7
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2845.000000000000,QFY,EXPD,2015,2014,0,2014-12-31,INR,6844833700000
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2845.000000000000,QFY,EXPD,2015,2014,0,2014-12-31,PT,1.2
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2845.000000000000,QFY,EXPD_OTH,2015,2014,0,2014-12-31,INR,2368271800000.0005
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2845.000000000000,QFY,EXPD_PNF,2015,2014,0,2014-12-31,INR,295530300000
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2845.000000000000,QFY,EXPD_PNF,2015,2014,0,2014-12-31,PT,5.7
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2845.000000000000,QFY,EXPD_RAW_MATR,2015,2014,0,2014-12-31,INR,3528057699999.9995
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2845.000000000000,QFY,EXPD_RAW_MATR,2015,2014,0,2014-12-31,PT,-4.0
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2845.000000000000,QFY,EXPD_STAFF_COST,2015,2014,0,2014-12-31,INR,652973900000
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2845.000000000000,QFY,EXPD_STAFF_COST,2015,2014,0,2014-12-31,PT,9.1
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2845.000000000000,QFY,GROSS_PFT_EBIT,2015,2014,0,2014-12-31,INR,925854900000
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2845.000000000000,QFY,GROSS_PFT_EBIT,2015,2014,0,2014-12-31,PT,-3.8
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2845.000000000000,QFY,INT,2015,2014,0,2014-12-31,INR,331487900000
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2845.000000000000,QFY,INT,2015,2014,0,2014-12-31,PT,6.6
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2845.000000000000,QFY,NET_PFT,2015,2014,0,2014-12-31,INR,338747700000.00006
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2845.000000000000,QFY,NET_PFT,2015,2014,0,2014-12-31,PT,-31.5
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2845.000000000000,QFY,OPR_PFT,2015,2014,0,2014-12-31,INR,1033346500000
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2845.000000000000,QFY,OPR_PFT,2015,2014,0,2014-12-31,PT,0.0
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2845.000000000000,QFY,OTH_INC,2015,2014,0,2014-12-31,INR,193988300000.00003
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2845.000000000000,QFY,OTH_INC,2015,2014,0,2014-12-31,PT,-8.7
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2845.000000000000,QFY,SALES,2015,2014,0,2014-12-31,INR,7866178300000.001
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2845.000000000000,QFY,SALES,2015,2014,0,2014-12-31,PT,0.4
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2845.000000000000,QFY,TAX_PROV,2015,2014,0,2014-12-31,INR,186963599999.99997
RBI:PRF_LNGNFC_QTR_RN(1.0),N_A,2845.000000000000,QFY,TAX_PROV,2015,2014,0,2014-12-31,PT,6.3
