DATAFLOW,AUDST,COMP_COUNT,FREQ,PUC_CLS_RN,REPYEAREND,REPYEARSTART,TYP_RATIO_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,611,AFY,5_TO_10,2016,2015,CORM_TO_SAL,0,2016-03-31,RPT,50.5808
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,611,AFY,5_TO_10,2016,2015,CSH_CVG_RATIO,0,2016-03-31,RPT,3.347604
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,611,AFY,5_TO_10,2016,2015,EBITDA_TO_SAL,0,2016-03-31,RPT,11.7988
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,611,AFY,5_TO_10,2016,2015,EBIT_TO_SAL,0,2016-03-31,RPT,9.1578
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,611,AFY,5_TO_10,2016,2015,INT_BURDEN,0,2016-03-31,RPT,38.4867
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,611,AFY,5_TO_10,2016,2015,INT_CVG,0,2016-03-31,RPT,2.598303
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,611,AFY,5_TO_10,2016,2015,INT_TO_SAL,0,2016-03-31,RPT,3.5245
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,611,AFY,5_TO_10,2016,2015,NET_PFT_TO_SAL,0,2016-03-31,RPT,4.0134
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,611,AFY,5_TO_10,2016,2015,OPR_PFTS_TO_SAL,0,2016-03-31,RPT,10.0479
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,611,AFY,5_TO_10,2016,2015,OTH_INC_NET_PFT,0,2016-03-31,RPT,43.6261
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,611,AFY,5_TO_10,2016,2015,SC_TO_SAL,0,2016-03-31,RPT,8.323
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,611,AFY,5_TO_10,2016,2015,TAX_PROV_TO_EBT,0,2016-03-31,RPT,30.6199
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,2932,AFY,ALL_COMP,2016,2015,CORM_TO_SAL,0,2016-03-31,RPT,48.9741
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,2932,AFY,ALL_COMP,2016,2015,CSH_CVG_RATIO,0,2016-03-31,RPT,4.169731
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,2932,AFY,ALL_COMP,2016,2015,EBITDA_TO_SAL,0,2016-03-31,RPT,18.2724
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,2932,AFY,ALL_COMP,2016,2015,EBIT_TO_SAL,0,2016-03-31,RPT,14.1734
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,2932,AFY,ALL_COMP,2016,2015,INT_BURDEN,0,2016-03-31,RPT,30.9181
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,2932,AFY,ALL_COMP,2016,2015,INT_CVG,0,2016-03-31,RPT,3.234353
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,2932,AFY,ALL_COMP,2016,2015,INT_TO_SAL,0,2016-03-31,RPT,4.3822
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,2932,AFY,ALL_COMP,2016,2015,NET_PFT_TO_SAL,0,2016-03-31,RPT,6.5759
