DATAFLOW,AUDST,COMP_COUNT,FREQ,INDS_GRP_RN,PERF_IND_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PRF_LNGNFC_IND_QTR_RN(1.0),N_A,23,QFY,ARA_TCP,TAX_PROV,2015,2014,0,2014-06-30,PT,-47.3684
RBI:PRF_LNGNFC_IND_QTR_RN(1.0),N_A,146,QFY,CONSTRN,DEPRC,2015,2014,0,2014-06-30,PT,25.1093
RBI:PRF_LNGNFC_IND_QTR_RN(1.0),N_A,146,QFY,CONSTRN,EBITDA,2015,2014,0,2014-06-30,PT,-6.8828
RBI:PRF_LNGNFC_IND_QTR_RN(1.0),N_A,146,QFY,CONSTRN,EXPD,2015,2014,0,2014-06-30,PT,-6.5998
RBI:PRF_LNGNFC_IND_QTR_RN(1.0),N_A,146,QFY,CONSTRN,GROSS_PFT_EBIT,2015,2014,0,2014-06-30,PT,-12.2657
RBI:PRF_LNGNFC_IND_QTR_RN(1.0),N_A,146,QFY,CONSTRN,INT,2015,2014,0,2014-06-30,PT,15.3808
RBI:PRF_LNGNFC_IND_QTR_RN(1.0),N_A,146,QFY,CONSTRN,NET_PFT,2015,2014,0,2014-06-30,PT,-76.402
RBI:PRF_LNGNFC_IND_QTR_RN(1.0),N_A,146,QFY,CONSTRN,OPR_PFT,2015,2014,0,2014-06-30,PT,-11.2463
RBI:PRF_LNGNFC_IND_QTR_RN(1.0),N_A,146,QFY,CONSTRN,OTH_INC,2015,2014,0,2014-06-30,PT,10.8377
RBI:PRF_LNGNFC_IND_QTR_RN(1.0),N_A,146,QFY,CONSTRN,PC_SHARE_SAL,2015,2014,0,2014-06-30,PT,4.720016
RBI:PRF_LNGNFC_IND_QTR_RN(1.0),N_A,146,QFY,CONSTRN,SALES,2015,2014,0,2014-06-30,INR,360436700000
RBI:PRF_LNGNFC_IND_QTR_RN(1.0),N_A,146,QFY,CONSTRN,SALES,2015,2014,0,2014-06-30,PT,-5.5881
RBI:PRF_LNGNFC_IND_QTR_RN(1.0),N_A,146,QFY,CONSTRN,TAX_PROV,2015,2014,0,2014-06-30,PT,-39.3849
RBI:PRF_LNGNFC_IND_QTR_RN(1.0),N_A,22,QFY,ELC_GAS_SPLY,DEPRC,2015,2014,0,2014-06-30,PT,6.3083
RBI:PRF_LNGNFC_IND_QTR_RN(1.0),N_A,22,QFY,ELC_GAS_SPLY,EBITDA,2015,2014,0,2014-06-30,PT,9.2514
RBI:PRF_LNGNFC_IND_QTR_RN(1.0),N_A,22,QFY,ELC_GAS_SPLY,EXPD,2015,2014,0,2014-06-30,PT,10.659
RBI:PRF_LNGNFC_IND_QTR_RN(1.0),N_A,22,QFY,ELC_GAS_SPLY,GROSS_PFT_EBIT,2015,2014,0,2014-06-30,PT,10.1681
RBI:PRF_LNGNFC_IND_QTR_RN(1.0),N_A,22,QFY,ELC_GAS_SPLY,INT,2015,2014,0,2014-06-30,PT,1.591
RBI:PRF_LNGNFC_IND_QTR_RN(1.0),N_A,22,QFY,ELC_GAS_SPLY,NET_PFT,2015,2014,0,2014-06-30,PT,118.3995
RBI:PRF_LNGNFC_IND_QTR_RN(1.0),N_A,22,QFY,ELC_GAS_SPLY,OPR_PFT,2015,2014,0,2014-06-30,PT,9.0033
RBI:PRF_LNGNFC_IND_QTR_RN(1.0),N_A,22,QFY,ELC_GAS_SPLY,OTH_INC,2015,2014,0,2014-06-30,PT,10.3244
RBI:PRF_LNGNFC_IND_QTR_RN(1.0),N_A,22,QFY,ELC_GAS_SPLY,PC_SHARE_SAL,2015,2014,0,2014-06-30,PT,3.458644
RBI:PRF_LNGNFC_IND_QTR_RN(1.0),N_A,22,QFY,ELC_GAS_SPLY,SALES,2015,2014,0,2014-06-30,INR,264114000000
