DATAFLOW,AUDST,COMP_COUNT,FREQ,IND_CLASF_RN,PERF_IND_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,203,AFY,ICC_SRV_IT,EXPD_RAW_MATR,2016,2015,0,2016-03-31,INR,29090300000.000004
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,203,AFY,ICC_SRV_IT,EXPD_RAW_MATR,2016,2015,0,2016-03-31,PT,6.347906514245
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,203,AFY,ICC_SRV_IT,EXPD_STAFF_COST,2016,2015,0,2016-03-31,INR,1250779900000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,203,AFY,ICC_SRV_IT,EXPD_STAFF_COST,2016,2015,0,2016-03-31,PT,21.373489053843
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,203,AFY,ICC_SRV_IT,GROSS_PFT_EBIT,2016,2015,0,2016-03-31,INR,782800399999.9999
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,203,AFY,ICC_SRV_IT,GROSS_PFT_EBIT,2016,2015,0,2016-03-31,PT,10.457332349547
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,203,AFY,ICC_SRV_IT,INT,2016,2015,0,2016-03-31,INR,17052800000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,203,AFY,ICC_SRV_IT,INT,2016,2015,0,2016-03-31,PT,0.551912826077
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,203,AFY,ICC_SRV_IT,NET_PFT,2016,2015,0,2016-03-31,INR,602026800000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,203,AFY,ICC_SRV_IT,NET_PFT,2016,2015,0,2016-03-31,PT,14.453002689146
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,203,AFY,ICC_SRV_IT,OPR_PFT,2016,2015,0,2016-03-31,INR,712529800000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,203,AFY,ICC_SRV_IT,OPR_PFT,2016,2015,0,2016-03-31,PT,11.889501450655
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,203,AFY,ICC_SRV_IT,OTH_INC,2016,2015,0,2016-03-31,INR,134919400000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,203,AFY,ICC_SRV_IT,OTH_INC,2016,2015,0,2016-03-31,PT,-1.096940383739
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,203,AFY,ICC_SRV_IT,SALES,2016,2015,0,2016-03-31,INR,2675021400000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,203,AFY,ICC_SRV_IT,SALES,2016,2015,0,2016-03-31,PT,11.289911311179
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,203,AFY,ICC_SRV_IT,TAX_PROV,2016,2015,0,2016-03-31,INR,180320500000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,203,AFY,ICC_SRV_IT,TAX_PROV,2016,2015,0,2016-03-31,PT,8.158013909591
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,547,AFY,ICC_SRV_NON_IT,DEPRC,2016,2015,0,2016-03-31,INR,289235500000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,547,AFY,ICC_SRV_NON_IT,DEPRC,2016,2015,0,2016-03-31,PT,13.333552762793
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,547,AFY,ICC_SRV_NON_IT,EBITDA,2016,2015,0,2016-03-31,INR,777849100000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,547,AFY,ICC_SRV_NON_IT,EBITDA,2016,2015,0,2016-03-31,PT,8.186674629712
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,547,AFY,ICC_SRV_NON_IT,EBT_BEFORE_NOP,2016,2015,0,2016-03-31,INR,287964400000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,547,AFY,ICC_SRV_NON_IT,EBT_BEFORE_NOP,2016,2015,0,2016-03-31,PT,2.760935311488
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,547,AFY,ICC_SRV_NON_IT,EXPD,2016,2015,0,2016-03-31,INR,2568970900000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,547,AFY,ICC_SRV_NON_IT,EXPD,2016,2015,0,2016-03-31,PT,0.265356892512
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,547,AFY,ICC_SRV_NON_IT,EXPD_OTH,2016,2015,0,2016-03-31,INR,2075914900000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,547,AFY,ICC_SRV_NON_IT,EXPD_PNF,2016,2015,0,2016-03-31,INR,75965500000
