DATAFLOW,AUDST,COMP_COUNT,FREQ,REPYEAREND,REPYEARSTART,TYP_RATIO_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2845.000000000000,QFY,2015,2014,OTH_INC_NET_PFT,0,2014-12-31,RPT,57.266307638399
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2845.000000000000,QFY,2015,2014,SC_TO_SAL,0,2014-12-31,RPT,8.305131365221
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2845.000000000000,QFY,2015,2014,TAX_PROV_TO_EBT,0,2014-12-31,RPT,23.636966903577
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2712.000000000000,QFY,2015,2014,CORM_TO_SAL,0,2015-03-31,RPT,51.517411488617
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2712.000000000000,QFY,2015,2014,CSH_CVG_RATIO,0,2015-03-31,RPT,4.025830307085
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2712.000000000000,QFY,2015,2014,EBITDA_TO_SAL,0,2015-03-31,RPT,17.011918466575
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2712.000000000000,QFY,2015,2014,EBIT_TO_SAL,0,2015-03-31,RPT,13.167327850987
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2712.000000000000,QFY,2015,2014,INT_BURDEN,0,2015-03-31,RPT,32.092250870446
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2712.000000000000,QFY,2015,2014,INT_CVG,0,2015-03-31,RPT,3.116017022417
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2712.000000000000,QFY,2015,2014,INT_TO_SAL,0,2015-03-31,RPT,4.225691886873
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2712.000000000000,QFY,2015,2014,NET_PFT_TO_SAL,0,2015-03-31,RPT,5.411726134801
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2712.000000000000,QFY,2015,2014,OPR_PFTS_TO_SAL,0,2015-03-31,RPT,13.8062070168
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2712.000000000000,QFY,2015,2014,OTH_INC_NET_PFT,0,2015-03-31,RPT,59.236394634986
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2712.000000000000,QFY,2015,2014,SC_TO_SAL,0,2015-03-31,RPT,8.907087555329
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2712.000000000000,QFY,2015,2014,TAX_PROV_TO_EBT,0,2015-03-31,RPT,23.068174834629
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2723.000000000000,QFY,2016,2015,CORM_TO_SAL,0,2015-06-30,RPT,51.594525682551
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2723.000000000000,QFY,2016,2015,CSH_CVG_RATIO,0,2015-06-30,RPT,4.022750862165
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2723.000000000000,QFY,2016,2015,EBITDA_TO_SAL,0,2015-06-30,RPT,17.992050847347
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2723.000000000000,QFY,2016,2015,EBIT_TO_SAL,0,2015-06-30,RPT,14.010862009151
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2723.000000000000,QFY,2016,2015,INT_BURDEN,0,2015-06-30,RPT,31.922189943495
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2723.000000000000,QFY,2016,2015,INT_CVG,0,2015-06-30,RPT,3.132617159944
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2723.000000000000,QFY,2016,2015,INT_TO_SAL,0,2015-06-30,RPT,4.472573983282
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2723.000000000000,QFY,2016,2015,NET_PFT_TO_SAL,0,2015-06-30,RPT,6.732616792454
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2723.000000000000,QFY,2016,2015,OPR_PFTS_TO_SAL,0,2015-06-30,RPT,15.181220257771
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2723.000000000000,QFY,2016,2015,OTH_INC_NET_PFT,0,2015-06-30,RPT,41.749451605884
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2723.000000000000,QFY,2016,2015,SC_TO_SAL,0,2015-06-30,RPT,8.91607360756
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2723.000000000000,QFY,2016,2015,TAX_PROV_TO_EBT,0,2015-06-30,RPT,24.843316792119
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2711.000000000000,QFY,2016,2015,CORM_TO_SAL,0,2015-09-30,RPT,50.778483465801
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2711.000000000000,QFY,2016,2015,CSH_CVG_RATIO,0,2015-09-30,RPT,4.204092491461
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2711.000000000000,QFY,2016,2015,EBITDA_TO_SAL,0,2015-09-30,RPT,18.615855021754
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2711.000000000000,QFY,2016,2015,EBIT_TO_SAL,0,2015-09-30,RPT,14.615325004857
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2711.000000000000,QFY,2016,2015,INT_BURDEN,0,2015-09-30,RPT,30.297182895772
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2711.000000000000,QFY,2016,2015,INT_CVG,0,2015-09-30,RPT,3.300636905551
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2711.000000000000,QFY,2016,2015,INT_TO_SAL,0,2015-09-30,RPT,4.428031747533
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2711.000000000000,QFY,2016,2015,NET_PFT_TO_SAL,0,2015-09-30,RPT,7.674606077647
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2711.000000000000,QFY,2016,2015,OPR_PFTS_TO_SAL,0,2015-09-30,RPT,15.284380871685
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2711.000000000000,QFY,2016,2015,OTH_INC_NET_PFT,0,2015-09-30,RPT,43.409057303569
RBI:RATIO_LNGNFC_QTR_RN(1.0),N_A,2711.000000000000,QFY,2016,2015,SC_TO_SAL,0,2015-09-30,RPT,9.308809081253
