DATAFLOW,AUDST,COMP_COUNT,FREQ,IND_CLASF_RN,REPYEAREND,REPYEARSTART,TYP_RATIO_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,547,AFY,ICC_SRV_NON_IT,2016,2015,TAX_PROV_TO_EBT,0,2016-03-31,RPT,23.897301313095
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,2017,2016,CORM_TO_SAL,0,2017-03-31,RPT,52.344668306025
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,2017,2016,CSH_CVG_RATIO,0,2017-03-31,RPT,4.697975922965
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,2017,2016,EBITDA_TO_SAL,0,2017-03-31,RPT,16.462608200312
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,2017,2016,EBIT_TO_SAL,0,2017-03-31,RPT,12.71785307732
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,2017,2016,INT_BURDEN,0,2017-03-31,RPT,27.55332736656
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,2017,2016,INT_CVG,0,2017-03-31,RPT,3.629325731504
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,2017,2016,INT_TO_SAL,0,2017-03-31,RPT,3.504191692392
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,2017,2016,NET_PFT_TO_SAL,0,2017-03-31,RPT,6.499223249354
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,2017,2016,OPR_PFTS_TO_SAL,0,2017-03-31,RPT,14.059241026298
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,2017,2016,OTH_INC_NET_PFT,0,2017-03-31,RPT,36.979298630082
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,2017,2016,SC_TO_SAL,0,2017-03-31,RPT,6.271132273551
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,2017,2016,TAX_PROV_TO_EBT,0,2017-03-31,RPT,24.059778990873
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,2017,2016,CSH_CVG_RATIO,0,2017-03-31,RPT,61.685807781041
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,2017,2016,EBITDA_TO_SAL,0,2017-03-31,RPT,30.235742413004
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,2017,2016,EBIT_TO_SAL,0,2017-03-31,RPT,27.986911021468
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,2017,2016,INT_BURDEN,0,2017-03-31,RPT,1.751380111219
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,2017,2016,INT_CVG,0,2017-03-31,RPT,57.09782779843
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,2017,2016,INT_TO_SAL,0,2017-03-31,RPT,0.490157193375
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,2017,2016,NET_PFT_TO_SAL,0,2017-03-31,RPT,21.006352886603
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,2017,2016,OPR_PFTS_TO_SAL,0,2017-03-31,RPT,25.521598821204
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,2017,2016,OTH_INC_NET_PFT,0,2017-03-31,RPT,22.441513847017
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,2017,2016,SC_TO_SAL,0,2017-03-31,RPT,47.767995958592
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,2017,2016,TAX_PROV_TO_EBT,0,2017-03-31,RPT,22.725918249467
