DATAFLOW,AUDST,COMP_COUNT,FREQ,INDS_GRP_RN,PERF_IND_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,14,AFY,ARA_TCP,PC_SHARE_SAL,2016,2015,0,2016-03-31,PT,0.124045
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,14,AFY,ARA_TCP,SALES,2016,2015,0,2016-03-31,INR,37087500000
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,14,AFY,ARA_TCP,SALES,2016,2015,0,2016-03-31,PT,4.1371
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,14,AFY,ARA_TCP,TAX_PROV,2016,2015,0,2016-03-31,PT,-38.4562
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,167,AFY,CONSTRN,DEPRC,2016,2015,0,2016-03-31,PT,-3.2168
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,167,AFY,CONSTRN,EBITDA,2016,2015,0,2016-03-31,PT,-11.8178
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,167,AFY,CONSTRN,EXPD,2016,2015,0,2016-03-31,PT,2.9927
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,167,AFY,CONSTRN,GROSS_PFT_EBIT,2016,2015,0,2016-03-31,PT,-13.6109
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,167,AFY,CONSTRN,INT,2016,2015,0,2016-03-31,PT,6.9793
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,167,AFY,CONSTRN,OPR_PFT,2016,2015,0,2016-03-31,PT,-16.1315
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,167,AFY,CONSTRN,OTH_INC,2016,2015,0,2016-03-31,PT,1.7151
