DATAFLOW,AUDST,COMP_COUNT,FREQ,REPYEAREND,REPYEARSTART,SALE_SZ_CLS_RN,TYP_RATIO_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,279,QFY,2015,2014,25_TO_50,SC_TO_SAL,0,2014-06-30,RPT,14.1056
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,279,QFY,2015,2014,25_TO_50,TAX_PROV_TO_EBT,0,2014-06-30,RPT,23.849
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,262,QFY,2015,2014,500_TO_1000,CORM_TO_SAL,0,2014-06-30,RPT,51.7425
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,262,QFY,2015,2014,500_TO_1000,CSH_CVG_RATIO,0,2014-06-30,RPT,2.34156
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,262,QFY,2015,2014,500_TO_1000,EBITDA_TO_SAL,0,2014-06-30,RPT,14.4498
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,262,QFY,2015,2014,500_TO_1000,EBIT_TO_SAL,0,2014-06-30,RPT,10.5223
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,262,QFY,2015,2014,500_TO_1000,INT_BURDEN,0,2014-06-30,RPT,58.6472
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,262,QFY,2015,2014,500_TO_1000,INT_CVG,0,2014-06-30,RPT,1.70511
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,262,QFY,2015,2014,500_TO_1000,INT_TO_SAL,0,2014-06-30,RPT,6.171
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,262,QFY,2015,2014,500_TO_1000,NET_PFT_TO_SAL,0,2014-06-30,RPT,1.6946
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,262,QFY,2015,2014,500_TO_1000,OPR_PFTS_TO_SAL,0,2014-06-30,RPT,12.5644
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,262,QFY,2015,2014,500_TO_1000,OTH_INC_NET_PFT,0,2014-06-30,RPT,111.2622
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,262,QFY,2015,2014,500_TO_1000,SC_TO_SAL,0,2014-06-30,RPT,9.5768
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,262,QFY,2015,2014,500_TO_1000,TAX_PROV_TO_EBT,0,2014-06-30,RPT,26.0399
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,280,QFY,2015,2014,50_TO_100,CORM_TO_SAL,0,2014-06-30,RPT,53.6698
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,280,QFY,2015,2014,50_TO_100,CSH_CVG_RATIO,0,2014-06-30,RPT,1.607131
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,280,QFY,2015,2014,50_TO_100,EBITDA_TO_SAL,0,2014-06-30,RPT,9.4965
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,280,QFY,2015,2014,50_TO_100,EBIT_TO_SAL,0,2014-06-30,RPT,4.1856
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,280,QFY,2015,2014,50_TO_100,INT_BURDEN,0,2014-06-30,RPT,141.1759
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,280,QFY,2015,2014,50_TO_100,INT_CVG,0,2014-06-30,RPT,0.708336
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,280,QFY,2015,2014,50_TO_100,INT_TO_SAL,0,2014-06-30,RPT,5.909
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,280,QFY,2015,2014,50_TO_100,NET_PFT_TO_SAL,0,2014-06-30,RPT,-4.8668
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,280,QFY,2015,2014,50_TO_100,OPR_PFTS_TO_SAL,0,2014-06-30,RPT,7.2036
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,280,QFY,2015,2014,50_TO_100,SC_TO_SAL,0,2014-06-30,RPT,13.2884
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,280,QFY,2015,2014,50_TO_100,TAX_PROV_TO_EBT,0,2014-06-30,RPT,23.0601
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,2755,QFY,2015,2014,ALL_COMP,CORM_TO_SAL,0,2014-06-30,RPT,55.938
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,2755,QFY,2015,2014,ALL_COMP,CSH_CVG_RATIO,0,2014-06-30,RPT,4.400337
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,2755,QFY,2015,2014,ALL_COMP,EBITDA_TO_SAL,0,2014-06-30,RPT,16.6032
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,2755,QFY,2015,2014,ALL_COMP,EBIT_TO_SAL,0,2014-06-30,RPT,12.9108
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,2755,QFY,2015,2014,ALL_COMP,INT_BURDEN,0,2014-06-30,RPT,29.2249
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,2755,QFY,2015,2014,ALL_COMP,INT_CVG,0,2014-06-30,RPT,3.421745
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,2755,QFY,2015,2014,ALL_COMP,INT_TO_SAL,0,2014-06-30,RPT,3.7732
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,2755,QFY,2015,2014,ALL_COMP,NET_PFT_TO_SAL,0,2014-06-30,RPT,6.7067
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,2755,QFY,2015,2014,ALL_COMP,OPR_PFTS_TO_SAL,0,2014-06-30,RPT,14.1152
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,2755,QFY,2015,2014,ALL_COMP,OTH_INC_NET_PFT,0,2014-06-30,RPT,37.0971
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,2755,QFY,2015,2014,ALL_COMP,SC_TO_SAL,0,2014-06-30,RPT,8.043
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,2755,QFY,2015,2014,ALL_COMP,TAX_PROV_TO_EBT,0,2014-06-30,RPT,24.9426
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,742,QFY,2015,2014,LES_CLS_THAN_25,CORM_TO_SAL,0,2014-06-30,RPT,50.8946
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,742,QFY,2015,2014,LES_CLS_THAN_25,CSH_CVG_RATIO,0,2014-06-30,RPT,0.234834
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,742,QFY,2015,2014,LES_CLS_THAN_25,EBITDA_TO_SAL,0,2014-06-30,RPT,8.8857
