DATAFLOW,AUDST,COMP_COUNT,FREQ,PERF_IND_RN,PUC_CLS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,2755,QFY,NET_PFT,ALL_COMP,2015,2014,0,2014-06-30,PT,27.3166
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,566,QFY,NET_PFT,LES_THN_5,2015,2014,0,2014-06-30,PT,22.089
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,430,QFY,OPR_PFT,10_TO_15,2015,2014,0,2014-06-30,PT,18.9668
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,418,QFY,OPR_PFT,15_TO_25,2015,2014,0,2014-06-30,PT,15.9358
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,739,QFY,OPR_PFT,25_N_ABOVE,2015,2014,0,2014-06-30,PT,16.9947
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,602,QFY,OPR_PFT,5_TO_10,2015,2014,0,2014-06-30,PT,0.1351
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,2755,QFY,OPR_PFT,ALL_COMP,2015,2014,0,2014-06-30,PT,16.5481
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,566,QFY,OPR_PFT,LES_THN_5,2015,2014,0,2014-06-30,PT,12.6802
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,430,QFY,OTH_INC,10_TO_15,2015,2014,0,2014-06-30,PT,-19.5293
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,418,QFY,OTH_INC,15_TO_25,2015,2014,0,2014-06-30,PT,-18.5157
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,739,QFY,OTH_INC,25_N_ABOVE,2015,2014,0,2014-06-30,PT,-2.5064
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,602,QFY,OTH_INC,5_TO_10,2015,2014,0,2014-06-30,PT,28.5677
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,2755,QFY,OTH_INC,ALL_COMP,2015,2014,0,2014-06-30,PT,-2.7857
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,566,QFY,OTH_INC,LES_THN_5,2015,2014,0,2014-06-30,PT,27.7515
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,430,QFY,PUC_SHARE,10_TO_15,2015,2014,0,2014-06-30,PT,4.3496
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,418,QFY,PUC_SHARE,15_TO_25,2015,2014,0,2014-06-30,PT,6.693
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,739,QFY,PUC_SHARE,25_N_ABOVE,2015,2014,0,2014-06-30,PT,83.9904
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,602,QFY,PUC_SHARE,5_TO_10,2015,2014,0,2014-06-30,PT,3.5632
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,2755,QFY,PUC_SHARE,ALL_COMP,2015,2014,0,2014-06-30,PT,100.0
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,566,QFY,PUC_SHARE,LES_THN_5,2015,2014,0,2014-06-30,PT,1.4039
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,430,QFY,SALES,10_TO_15,2015,2014,0,2014-06-30,PT,8.31
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,418,QFY,SALES,15_TO_25,2015,2014,0,2014-06-30,PT,6.6083
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,739,QFY,SALES,25_N_ABOVE,2015,2014,0,2014-06-30,PT,7.1732
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,602,QFY,SALES,5_TO_10,2015,2014,0,2014-06-30,PT,4.8912
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,2755,QFY,SALES,ALL_COMP,2015,2014,0,2014-06-30,PT,7.1385
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,566,QFY,SALES,LES_THN_5,2015,2014,0,2014-06-30,PT,9.4456
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,430,QFY,SAL_SHARE,10_TO_15,2015,2014,0,2014-06-30,PT,4.6821
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,418,QFY,SAL_SHARE,15_TO_25,2015,2014,0,2014-06-30,PT,7.8943
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,739,QFY,SAL_SHARE,25_N_ABOVE,2015,2014,0,2014-06-30,PT,81.7194
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,602,QFY,SAL_SHARE,5_TO_10,2015,2014,0,2014-06-30,PT,3.7189
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,2755,QFY,SAL_SHARE,ALL_COMP,2015,2014,0,2014-06-30,PT,100.0
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,566,QFY,SAL_SHARE,LES_THN_5,2015,2014,0,2014-06-30,PT,1.9854
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,430,QFY,TAX_PROV,10_TO_15,2015,2014,0,2014-06-30,PT,19.611
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,418,QFY,TAX_PROV,15_TO_25,2015,2014,0,2014-06-30,PT,1.674
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,739,QFY,TAX_PROV,25_N_ABOVE,2015,2014,0,2014-06-30,PT,25.36
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,602,QFY,TAX_PROV,5_TO_10,2015,2014,0,2014-06-30,PT,20.7437
