DATAFLOW,AUDST,COMP_COUNT,FREQ,PUC_CLS_RN,REPYEAREND,REPYEARSTART,TYP_RATIO_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,739,QFY,25_N_ABOVE,2015,2014,NET_PFT_TO_SAL,0,2014-06-30,RPT,7.5664
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,739,QFY,25_N_ABOVE,2015,2014,OPR_PFTS_TO_SAL,0,2014-06-30,RPT,15.0976
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,739,QFY,25_N_ABOVE,2015,2014,OTH_INC_NET_PFT,0,2014-06-30,RPT,36.1375
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,739,QFY,25_N_ABOVE,2015,2014,SC_TO_SAL,0,2014-06-30,RPT,8.1205
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,739,QFY,25_N_ABOVE,2015,2014,TAX_PROV_TO_EBT,0,2014-06-30,RPT,24.855
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,602,QFY,5_TO_10,2015,2014,CORM_TO_SAL,0,2014-06-30,RPT,53.4506
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,602,QFY,5_TO_10,2015,2014,CSH_CVG_RATIO,0,2014-06-30,RPT,2.866593
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,602,QFY,5_TO_10,2015,2014,EBITDA_TO_SAL,0,2014-06-30,RPT,9.6238
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,602,QFY,5_TO_10,2015,2014,EBIT_TO_SAL,0,2014-06-30,RPT,6.8877
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,602,QFY,5_TO_10,2015,2014,INT_BURDEN,0,2014-06-30,RPT,48.7426
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,602,QFY,5_TO_10,2015,2014,INT_CVG,0,2014-06-30,RPT,2.051594
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,602,QFY,5_TO_10,2015,2014,INT_TO_SAL,0,2014-06-30,RPT,3.3572
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,602,QFY,5_TO_10,2015,2014,NET_PFT_TO_SAL,0,2014-06-30,RPT,1.9516
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,602,QFY,5_TO_10,2015,2014,OPR_PFTS_TO_SAL,0,2014-06-30,RPT,7.702
