DATAFLOW,AUDST,FREQ,MEASURE_RN,REPYEAREND,REPYEARSTART,TYPE_BID_RN,TYPE_LAF_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:AUC_LAF_RN(1.0),N_A,D,CUT_OFF_RT,2011,2010,N_A,N_A,0,2011-01-31,INR,240000000
RBI:AUC_LAF_RN(1.0),N_A,D,PERIOD_DAYS,2011,2010,N_A,N_A,0,2011-01-31,INR,2.0
RBI:AUC_LAF_RN(1.0),N_A,D,AMT,2011,2010,N_A,N_A,0,2011-01-31,INR,2312500000000
RBI:AUC_LAF_RN(1.0),N_A,D,NUM,2011,2010,N_A,N_A,0,2011-01-31,INR,146.0
RBI:AUC_LAF_RN(1.0),N_A,D,NUM,2011,2010,N_A,N_A,0,2011-01-28,INR,132.0
RBI:AUC_LAF_RN(1.0),N_A,D,PERIOD_DAYS,2011,2010,N_A,N_A,0,2011-01-28,INR,6.0
RBI:AUC_LAF_RN(1.0),N_A,D,AMT,2011,2010,N_A,N_A,0,2011-01-28,INR,1812600000000
RBI:AUC_LAF_RN(1.0),N_A,D,CUT_OFF_RT,2011,2010,N_A,N_A,0,2011-01-28,INR,240000000
RBI:AUC_LAF_RN(1.0),N_A,D,PERIOD_DAYS,2011,2010,N_A,N_A,0,2011-01-27,INR,2.0
RBI:AUC_LAF_RN(1.0),N_A,D,CUT_OFF_RT,2011,2010,N_A,N_A,0,2011-01-27,INR,240000000
RBI:AUC_LAF_RN(1.0),N_A,D,AMT,2011,2010,N_A,N_A,0,2011-01-27,INR,1866700000000
RBI:AUC_LAF_RN(1.0),N_A,D,NUM,2011,2010,N_A,N_A,0,2011-01-27,INR,136.0
RBI:AUC_LAF_RN(1.0),N_A,D,PERIOD_DAYS,2011,2010,N_A,N_A,0,2011-01-25,INR,4.0
RBI:AUC_LAF_RN(1.0),N_A,D,AMT,2011,2010,N_A,N_A,0,2011-01-25,INR,2345400000000
RBI:AUC_LAF_RN(1.0),N_A,D,CUT_OFF_RT,2011,2010,N_A,N_A,0,2011-01-25,INR,182500000
RBI:AUC_LAF_RN(1.0),N_A,D,NUM,2011,2010,N_A,N_A,0,2011-01-25,INR,124.0
RBI:AUC_LAF_RN(1.0),N_A,D,AMT,2011,2010,N_A,N_A,0,2011-01-24,INR,2297300000000
RBI:AUC_LAF_RN(1.0),N_A,D,PERIOD_DAYS,2011,2010,N_A,N_A,0,2011-01-24,INR,2.0
RBI:AUC_LAF_RN(1.0),N_A,D,NUM,2011,2010,N_A,N_A,0,2011-01-24,INR,144.0
RBI:AUC_LAF_RN(1.0),N_A,D,CUT_OFF_RT,2011,2010,N_A,N_A,0,2011-01-24,INR,230000000
RBI:AUC_LAF_RN(1.0),N_A,D,NUM,2011,2010,N_A,N_A,0,2011-01-21,INR,146.0
RBI:AUC_LAF_RN(1.0),N_A,D,PERIOD_DAYS,2011,2010,N_A,N_A,0,2011-01-21,INR,6.0
RBI:AUC_LAF_RN(1.0),N_A,D,AMT,2011,2010,N_A,N_A,0,2011-01-21,INR,2328900000000
RBI:AUC_LAF_RN(1.0),N_A,D,CUT_OFF_RT,2011,2010,N_A,N_A,0,2011-01-21,INR,230000000
RBI:AUC_LAF_RN(1.0),N_A,D,PERIOD_DAYS,2011,2010,N_A,N_A,0,2011-01-20,INR,2.0
RBI:AUC_LAF_RN(1.0),N_A,D,NUM,2011,2010,N_A,N_A,0,2011-01-20,INR,128.0
RBI:AUC_LAF_RN(1.0),N_A,D,AMT,2011,2010,N_A,N_A,0,2011-01-20,INR,2288900000000
RBI:AUC_LAF_RN(1.0),N_A,D,CUT_OFF_RT,2011,2010,N_A,N_A,0,2011-01-20,INR,230000000
RBI:AUC_LAF_RN(1.0),N_A,D,PERIOD_DAYS,2011,2010,N_A,N_A,0,2011-01-19,INR,2.0
RBI:AUC_LAF_RN(1.0),N_A,D,AMT,2011,2010,N_A,N_A,0,2011-01-19,INR,2313500000000
RBI:AUC_LAF_RN(1.0),N_A,D,NUM,2011,2010,N_A,N_A,0,2011-01-19,INR,136.0
RBI:AUC_LAF_RN(1.0),N_A,D,CUT_OFF_RT,2011,2010,N_A,N_A,0,2011-01-19,INR,230000000
RBI:AUC_LAF_RN(1.0),N_A,D,NUM,2011,2010,N_A,N_A,0,2011-01-18,INR,138.0
RBI:AUC_LAF_RN(1.0),N_A,D,PERIOD_DAYS,2011,2010,N_A,N_A,0,2011-01-18,INR,2.0
RBI:AUC_LAF_RN(1.0),N_A,D,AMT,2011,2010,N_A,N_A,0,2011-01-18,INR,2219400000000
RBI:AUC_LAF_RN(1.0),N_A,D,CUT_OFF_RT,2011,2010,N_A,N_A,0,2011-01-18,INR,230000000
RBI:AUC_LAF_RN(1.0),N_A,D,PERIOD_DAYS,2011,2010,N_A,N_A,0,2011-01-17,INR,2.0
RBI:AUC_LAF_RN(1.0),N_A,D,AMT,2011,2010,N_A,N_A,0,2011-01-17,INR,2140900000000
RBI:AUC_LAF_RN(1.0),N_A,D,CUT_OFF_RT,2011,2010,N_A,N_A,0,2011-01-17,INR,230000000
RBI:AUC_LAF_RN(1.0),N_A,D,NUM,2011,2010,N_A,N_A,0,2011-01-17,INR,136.0
RBI:AUC_LAF_RN(1.0),N_A,D,CUT_OFF_RT,2011,2010,N_A,N_A,0,2011-01-14,INR,230000000
RBI:AUC_LAF_RN(1.0),N_A,D,PERIOD_DAYS,2011,2010,N_A,N_A,0,2011-01-14,INR,6.0
RBI:AUC_LAF_RN(1.0),N_A,D,AMT,2011,2010,N_A,N_A,0,2011-01-14,INR,1707000000000
RBI:AUC_LAF_RN(1.0),N_A,D,NUM,2011,2010,N_A,N_A,0,2011-01-14,INR,142.0
RBI:AUC_LAF_RN(1.0),N_A,D,AMT,2011,2010,N_A,N_A,0,2011-01-13,INR,1575500000000
RBI:AUC_LAF_RN(1.0),N_A,D,NUM,2011,2010,N_A,N_A,0,2011-01-13,INR,104.0
RBI:AUC_LAF_RN(1.0),N_A,D,PERIOD_DAYS,2011,2010,N_A,N_A,0,2011-01-13,INR,2.0
RBI:AUC_LAF_RN(1.0),N_A,D,CUT_OFF_RT,2011,2010,N_A,N_A,0,2011-01-13,INR,230000000
RBI:AUC_LAF_RN(1.0),N_A,D,AMT,2011,2010,N_A,N_A,0,2011-01-12,INR,1650100000000
RBI:AUC_LAF_RN(1.0),N_A,D,PERIOD_DAYS,2011,2010,N_A,N_A,0,2011-01-12,INR,2.0
RBI:AUC_LAF_RN(1.0),N_A,D,CUT_OFF_RT,2011,2010,N_A,N_A,0,2011-01-12,INR,230000000
RBI:AUC_LAF_RN(1.0),N_A,D,NUM,2011,2010,N_A,N_A,0,2011-01-12,INR,104.0
RBI:AUC_LAF_RN(1.0),N_A,D,CUT_OFF_RT,2011,2010,N_A,N_A,0,2011-01-11,INR,230000000
RBI:AUC_LAF_RN(1.0),N_A,D,NUM,2011,2010,N_A,N_A,0,2011-01-11,INR,106.0
RBI:AUC_LAF_RN(1.0),N_A,D,AMT,2011,2010,N_A,N_A,0,2011-01-11,INR,1574100000000
RBI:AUC_LAF_RN(1.0),N_A,D,PERIOD_DAYS,2011,2010,N_A,N_A,0,2011-01-11,INR,2.0
RBI:AUC_LAF_RN(1.0),N_A,D,CUT_OFF_RT,2011,2010,N_A,N_A,0,2011-01-10,INR,230000000
RBI:AUC_LAF_RN(1.0),N_A,D,AMT,2011,2010,N_A,N_A,0,2011-01-10,INR,1699200000000
RBI:AUC_LAF_RN(1.0),N_A,D,PERIOD_DAYS,2011,2010,N_A,N_A,0,2011-01-10,INR,2.0
RBI:AUC_LAF_RN(1.0),N_A,D,NUM,2011,2010,N_A,N_A,0,2011-01-10,INR,104.0
RBI:AUC_LAF_RN(1.0),N_A,D,PERIOD_DAYS,2011,2010,N_A,N_A,0,2011-01-07,INR,6.0
RBI:AUC_LAF_RN(1.0),N_A,D,NUM,2011,2010,N_A,N_A,0,2011-01-07,INR,120.0
RBI:AUC_LAF_RN(1.0),N_A,D,CUT_OFF_RT,2011,2010,N_A,N_A,0,2011-01-07,INR,230000000
RBI:AUC_LAF_RN(1.0),N_A,D,AMT,2011,2010,N_A,N_A,0,2011-01-07,INR,1709700000000
RBI:AUC_LAF_RN(1.0),N_A,D,PERIOD_DAYS,2011,2010,N_A,N_A,0,2011-01-06,INR,2.0
RBI:AUC_LAF_RN(1.0),N_A,D,AMT,2011,2010,N_A,N_A,0,2011-01-06,INR,1243400000000
RBI:AUC_LAF_RN(1.0),N_A,D,CUT_OFF_RT,2011,2010,N_A,N_A,0,2011-01-06,INR,230000000
RBI:AUC_LAF_RN(1.0),N_A,D,NUM,2011,2010,N_A,N_A,0,2011-01-06,INR,104.0
