DATAFLOW,AUDST,DAILY_AVG_TO_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_364_DAY,W,2026,2025,0,2026-03-06,INR,46848055000.00001
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_91_DAY,W,2026,2025,0,2026-03-06,INR,66840145000
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_182_DAY,W,2026,2025,0,2026-03-06,INR,43376950000
RBI:AVG_TURNOVER_RN(1.0),N_A,GOVT_SEC,W,2026,2025,0,2026-03-06,INR,1533179849999.9998
RBI:AVG_TURNOVER_RN(1.0),N_A,CALL_MONEY,W,2026,2025,0,2026-03-06,INR,175471800000
RBI:AVG_TURNOVER_RN(1.0),N_A,STATE_GOVT_SEC,W,2026,2025,0,2026-03-06,INR,103932430000
RBI:AVG_TURNOVER_RN(1.0),N_A,MKT_REPO,W,2026,2025,0,2026-03-06,INR,7697495100000
RBI:AVG_TURNOVER_RN(1.0),N_A,CORPO_REPO,W,2026,2025,0,2026-03-06,INR,216664000000
RBI:AVG_TURNOVER_RN(1.0),N_A,GOVT_SEC,W,2026,2025,0,2026-02-27,INR,959792519999.9999
RBI:AVG_TURNOVER_RN(1.0),N_A,MKT_REPO,W,2026,2025,0,2026-02-27,INR,6193535427000
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_91_DAY,W,2026,2025,0,2026-02-27,INR,35869000000
RBI:AVG_TURNOVER_RN(1.0),N_A,GOVT_SEC_RBI,W,2026,2025,0,2026-02-27,INR,25367629149.999996
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_364_DAY,W,2026,2025,0,2026-02-27,INR,45366640000
RBI:AVG_TURNOVER_RN(1.0),N_A,TRI_REPO,W,2026,2025,0,2026-02-27,INR,7989502500000
RBI:AVG_TURNOVER_RN(1.0),N_A,FOREX,W,2026,2025,0,2026-02-27,INR,137674000000
RBI:AVG_TURNOVER_RN(1.0),N_A,TERM_MONEY,W,2026,2025,0,2026-02-27,INR,14879330000
RBI:AVG_TURNOVER_RN(1.0),N_A,NOTICE_MONEY,W,2026,2025,0,2026-02-27,INR,5869600000
RBI:AVG_TURNOVER_RN(1.0),N_A,CORPO_REPO,W,2026,2025,0,2026-02-27,INR,212217200000
RBI:AVG_TURNOVER_RN(1.0),N_A,STATE_GOVT_SEC,W,2026,2025,0,2026-02-27,INR,106264040000
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_182_DAY,W,2026,2025,0,2026-02-27,INR,49990000000
RBI:AVG_TURNOVER_RN(1.0),N_A,CALL_MONEY,W,2026,2025,0,2026-02-27,INR,230352769999.99997
RBI:AVG_TURNOVER_RN(1.0),N_A,TRI_REPO,W,2026,2025,0,2026-02-20,INR,9856519500000
RBI:AVG_TURNOVER_RN(1.0),N_A,NOTICE_MONEY,W,2026,2025,0,2026-02-20,INR,67707000000
RBI:AVG_TURNOVER_RN(1.0),N_A,MKT_REPO,W,2026,2025,0,2026-02-20,INR,6859172200000
RBI:AVG_TURNOVER_RN(1.0),N_A,GOVT_SEC,W,2026,2025,0,2026-02-20,INR,1039116450000
RBI:AVG_TURNOVER_RN(1.0),N_A,STATE_GOVT_SEC,W,2026,2025,0,2026-02-20,INR,94422099999.99998
RBI:AVG_TURNOVER_RN(1.0),N_A,CORPO_REPO,W,2026,2025,0,2026-02-20,INR,209378000000
RBI:AVG_TURNOVER_RN(1.0),N_A,TERM_MONEY,W,2026,2025,0,2026-02-20,INR,24862500000
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_91_DAY,W,2026,2025,0,2026-02-20,INR,29234600000
RBI:AVG_TURNOVER_RN(1.0),N_A,FOREX,W,2026,2025,0,2026-02-20,INR,108328000000
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_182_DAY,W,2026,2025,0,2026-02-20,INR,51953000000
RBI:AVG_TURNOVER_RN(1.0),N_A,CALL_MONEY,W,2026,2025,0,2026-02-20,INR,218638200000
RBI:AVG_TURNOVER_RN(1.0),N_A,GOVT_SEC_RBI,W,2026,2025,0,2026-02-20,INR,18364207320
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_364_DAY,W,2026,2025,0,2026-02-20,INR,54872450000
RBI:AVG_TURNOVER_RN(1.0),N_A,FOREX,W,2026,2025,0,2026-02-13,INR,130093000000
RBI:AVG_TURNOVER_RN(1.0),N_A,NOTICE_MONEY,W,2026,2025,0,2026-02-13,INR,6519333333.33
RBI:AVG_TURNOVER_RN(1.0),N_A,MKT_REPO,W,2026,2025,0,2026-02-13,INR,5704887200000
RBI:AVG_TURNOVER_RN(1.0),N_A,TRI_REPO,W,2026,2025,0,2026-02-13,INR,8087984166999.999
RBI:AVG_TURNOVER_RN(1.0),N_A,STATE_GOVT_SEC,W,2026,2025,0,2026-02-13,INR,93307240000
RBI:AVG_TURNOVER_RN(1.0),N_A,GOVT_SEC,W,2026,2025,0,2026-02-13,INR,1260407160000
RBI:AVG_TURNOVER_RN(1.0),N_A,CORPO_REPO,W,2026,2025,0,2026-02-13,INR,228466400000
RBI:AVG_TURNOVER_RN(1.0),N_A,CALL_MONEY,W,2026,2025,0,2026-02-13,INR,216237070000
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_364_DAY,W,2026,2025,0,2026-02-13,INR,55343200000
RBI:AVG_TURNOVER_RN(1.0),N_A,GOVT_SEC_RBI,W,2026,2025,0,2026-02-13,INR,24493653200
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_91_DAY,W,2026,2025,0,2026-02-13,INR,31282520000
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_182_DAY,W,2026,2025,0,2026-02-13,INR,89300360000
RBI:AVG_TURNOVER_RN(1.0),N_A,TERM_MONEY,W,2026,2025,0,2026-02-13,INR,14194500000
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_182_DAY,W,2026,2025,0,2026-02-06,INR,37932360000
RBI:AVG_TURNOVER_RN(1.0),N_A,MKT_REPO,W,2026,2025,0,2026-02-06,INR,5811839013000
RBI:AVG_TURNOVER_RN(1.0),N_A,GOVT_SEC,W,2026,2025,0,2026-02-06,INR,1403328320000
RBI:AVG_TURNOVER_RN(1.0),N_A,CORPO_REPO,W,2026,2025,0,2026-02-06,INR,206879600000
RBI:AVG_TURNOVER_RN(1.0),N_A,FOREX,W,2026,2025,0,2026-02-06,INR,157068000000
RBI:AVG_TURNOVER_RN(1.0),N_A,TRI_REPO,W,2026,2025,0,2026-02-06,INR,8055502333000
RBI:AVG_TURNOVER_RN(1.0),N_A,NOTICE_MONEY,W,2026,2025,0,2026-02-06,INR,49213570000
RBI:AVG_TURNOVER_RN(1.0),N_A,STATE_GOVT_SEC,W,2026,2025,0,2026-02-06,INR,80198640000
RBI:AVG_TURNOVER_RN(1.0),N_A,GOVT_SEC_RBI,W,2026,2025,0,2026-02-06,INR,115669800000
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_364_DAY,W,2026,2025,0,2026-02-06,INR,56025000000
RBI:AVG_TURNOVER_RN(1.0),N_A,CALL_MONEY,W,2026,2025,0,2026-02-06,INR,196560733300
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_91_DAY,W,2026,2025,0,2026-02-06,INR,37644560000
RBI:AVG_TURNOVER_RN(1.0),N_A,TERM_MONEY,W,2026,2025,0,2026-02-06,INR,13869330000
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_364_DAY,W,2026,2025,0,2026-01-30,INR,63527655000.00001
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_182_DAY,W,2026,2025,0,2026-01-30,INR,25187399999.999996
RBI:AVG_TURNOVER_RN(1.0),N_A,GOVT_SEC,W,2026,2025,0,2026-01-30,INR,978761749500
RBI:AVG_TURNOVER_RN(1.0),N_A,MKT_REPO,W,2026,2025,0,2026-01-30,INR,7718477400000
RBI:AVG_TURNOVER_RN(1.0),N_A,STATE_GOVT_SEC,W,2026,2025,0,2026-01-30,INR,64602895000
RBI:AVG_TURNOVER_RN(1.0),N_A,FOREX,W,2026,2025,0,2026-01-30,INR,182645000000
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_CASH_MNG_BILLS,W,2026,2025,0,2026-01-30,INR,0.0
RBI:AVG_TURNOVER_RN(1.0),N_A,TRI_REPO,W,2026,2025,0,2026-01-30,INR,10385851500000
RBI:AVG_TURNOVER_RN(1.0),N_A,GOVT_SEC_RBI,W,2026,2025,0,2026-01-30,INR,143350343800
RBI:AVG_TURNOVER_RN(1.0),N_A,CORPO_REPO,W,2026,2025,0,2026-01-30,INR,178518000000
RBI:AVG_TURNOVER_RN(1.0),N_A,NOTICE_MONEY,W,2026,2025,0,2026-01-30,INR,78509300000
RBI:AVG_TURNOVER_RN(1.0),N_A,CALL_MONEY,W,2026,2025,0,2026-01-30,INR,281200100000
RBI:AVG_TURNOVER_RN(1.0),N_A,TERM_MONEY,W,2026,2025,0,2026-01-30,INR,15209000000
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_91_DAY,W,2026,2025,0,2026-01-30,INR,25921755000
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_182_DAY,W,2026,2025,0,2026-01-23,INR,39277008000
RBI:AVG_TURNOVER_RN(1.0),N_A,MKT_REPO,W,2026,2025,0,2026-01-23,INR,6313177000000
RBI:AVG_TURNOVER_RN(1.0),N_A,GOVT_SEC_RBI,W,2026,2025,0,2026-01-23,INR,135973325000
RBI:AVG_TURNOVER_RN(1.0),N_A,CALL_MONEY,W,2026,2025,0,2026-01-23,INR,273029466700
RBI:AVG_TURNOVER_RN(1.0),N_A,CORPO_REPO,W,2026,2025,0,2026-01-23,INR,182558000000
RBI:AVG_TURNOVER_RN(1.0),N_A,FOREX,W,2026,2025,0,2026-01-23,INR,147647000000
RBI:AVG_TURNOVER_RN(1.0),N_A,GOVT_SEC,W,2026,2025,0,2026-01-23,INR,1096980693999.9999
RBI:AVG_TURNOVER_RN(1.0),N_A,STATE_GOVT_SEC,W,2026,2025,0,2026-01-23,INR,42199736000
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_CASH_MNG_BILLS,W,2026,2025,0,2026-01-23,INR,0.0
RBI:AVG_TURNOVER_RN(1.0),N_A,TRI_REPO,W,2026,2025,0,2026-01-23,INR,8259076500000
RBI:AVG_TURNOVER_RN(1.0),N_A,NOTICE_MONEY,W,2026,2025,0,2026-01-23,INR,7132100000
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_91_DAY,W,2026,2025,0,2026-01-23,INR,27151924000
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_364_DAY,W,2026,2025,0,2026-01-23,INR,37337680000
RBI:AVG_TURNOVER_RN(1.0),N_A,TERM_MONEY,W,2026,2025,0,2026-01-23,INR,13422666666.67
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_CASH_MNG_BILLS,W,2026,2025,0,2026-01-16,INR,0.0
RBI:AVG_TURNOVER_RN(1.0),N_A,TERM_MONEY,W,2026,2025,0,2026-01-16,INR,17011500000
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_91_DAY,W,2026,2025,0,2026-01-16,INR,25325652000
RBI:AVG_TURNOVER_RN(1.0),N_A,TRI_REPO,W,2026,2025,0,2026-01-16,INR,9583610250000
RBI:AVG_TURNOVER_RN(1.0),N_A,MKT_REPO,W,2026,2025,0,2026-01-16,INR,7964140000000
RBI:AVG_TURNOVER_RN(1.0),N_A,CALL_MONEY,W,2026,2025,0,2026-01-16,INR,251764750000
RBI:AVG_TURNOVER_RN(1.0),N_A,CORPO_REPO,W,2026,2025,0,2026-01-16,INR,172349000000
RBI:AVG_TURNOVER_RN(1.0),N_A,GOVT_SEC,W,2026,2025,0,2026-01-16,INR,928180294800
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_182_DAY,W,2026,2025,0,2026-01-16,INR,34218392000
RBI:AVG_TURNOVER_RN(1.0),N_A,STATE_GOVT_SEC,W,2026,2025,0,2026-01-16,INR,38152224000
RBI:AVG_TURNOVER_RN(1.0),N_A,GOVT_SEC_RBI,W,2026,2025,0,2026-01-16,INR,135521440000
RBI:AVG_TURNOVER_RN(1.0),N_A,NOTICE_MONEY,W,2026,2025,0,2026-01-16,INR,92617050000
