DATAFLOW,AUDST,FREQ,HI_LW_AVG_RATES_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2025,2024,0,2024-09-30,INR,6.564606
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2025,2024,0,2024-08-31,INR,5.1
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2025,2024,0,2024-08-31,INR,7.0
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2025,2024,0,2024-08-31,INR,6.510575
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2025,2024,0,2024-07-31,INR,6.8
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2025,2024,0,2024-07-31,INR,6.508
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2025,2024,0,2024-07-31,INR,4.5
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2025,2024,0,2024-06-30,INR,5.0
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2025,2024,0,2024-06-30,INR,7.1
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2025,2024,0,2024-06-30,INR,6.594
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2025,2024,0,2024-05-31,INR,4.75
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2025,2024,0,2024-05-31,INR,6.602
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2025,2024,0,2024-05-31,INR,7.0
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2025,2024,0,2024-04-30,INR,5.0
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2025,2024,0,2024-04-30,INR,6.87
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2025,2024,0,2024-04-30,INR,6.549
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2024,2023,0,2024-03-31,INR,9.0
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2024,2023,0,2024-03-31,INR,5.0
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2024,2023,0,2024-03-31,INR,6.586
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2024,2023,0,2024-02-29,INR,7.13
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2024,2023,0,2024-02-29,INR,5.0
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2024,2023,0,2024-02-29,INR,6.629
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2024,2023,0,2024-01-31,INR,7.1
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2024,2023,0,2024-01-31,INR,5.0
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2024,2023,0,2024-01-31,INR,6.757
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2024,2023,0,2023-12-31,INR,5.0
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2024,2023,0,2023-12-31,INR,6.759
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2024,2023,0,2023-12-31,INR,7.25
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2024,2023,0,2023-11-30,INR,7.0
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2024,2023,0,2023-11-30,INR,5.0
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2024,2023,0,2023-11-30,INR,6.777
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2024,2023,0,2023-10-31,INR,6.95
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2024,2023,0,2023-10-31,INR,6.73
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2024,2023,0,2023-10-31,INR,5.0
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2024,2023,0,2023-09-30,INR,6.95
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2024,2023,0,2023-09-30,INR,6.64
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2024,2023,0,2023-09-30,INR,5.0
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2024,2023,0,2023-08-31,INR,5.0
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2024,2023,0,2023-08-31,INR,6.58
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2024,2023,0,2023-08-31,INR,6.96
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2024,2023,0,2023-07-31,INR,6.85
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2024,2023,0,2023-07-31,INR,6.48
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2024,2023,0,2023-07-31,INR,5.0
