DATAFLOW,AUDST,CURRENCY,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:LIBOOR_RN(1.0),N_A,JPY,D,2011,2010,0,2011-01-11,PT,0.09375
RBI:LIBOOR_RN(1.0),N_A,GBP,D,2011,2010,0,2011-01-11,PT,0.55813
RBI:LIBOOR_RN(1.0),N_A,EUR,D,2011,2010,0,2011-01-11,PT,0.3375
RBI:LIBOOR_RN(1.0),N_A,GBP,D,2011,2010,0,2011-01-10,PT,0.55813
RBI:LIBOOR_RN(1.0),N_A,EUR,D,2011,2010,0,2011-01-10,PT,0.34
RBI:LIBOOR_RN(1.0),N_A,JPY,D,2011,2010,0,2011-01-10,PT,0.09375
RBI:LIBOOR_RN(1.0),N_A,USD,D,2011,2010,0,2011-01-10,PT,0.24125
RBI:LIBOOR_RN(1.0),N_A,GBP,D,2011,2010,0,2011-01-07,PT,0.55813
RBI:LIBOOR_RN(1.0),N_A,EUR,D,2011,2010,0,2011-01-07,PT,0.34125
RBI:LIBOOR_RN(1.0),N_A,JPY,D,2011,2010,0,2011-01-07,PT,0.09375
RBI:LIBOOR_RN(1.0),N_A,USD,D,2011,2010,0,2011-01-07,PT,0.24125
RBI:LIBOOR_RN(1.0),N_A,USD,D,2011,2010,0,2011-01-06,PT,0.24375
RBI:LIBOOR_RN(1.0),N_A,GBP,D,2011,2010,0,2011-01-06,PT,0.55813
RBI:LIBOOR_RN(1.0),N_A,JPY,D,2011,2010,0,2011-01-06,PT,0.09438
RBI:LIBOOR_RN(1.0),N_A,EUR,D,2011,2010,0,2011-01-06,PT,0.3425
RBI:LIBOOR_RN(1.0),N_A,GBP,D,2011,2010,0,2011-01-05,PT,0.55813
RBI:LIBOOR_RN(1.0),N_A,EUR,D,2011,2010,0,2011-01-05,PT,0.3475
RBI:LIBOOR_RN(1.0),N_A,USD,D,2011,2010,0,2011-01-05,PT,0.24375
RBI:LIBOOR_RN(1.0),N_A,JPY,D,2011,2010,0,2011-01-05,PT,0.09438
RBI:LIBOOR_RN(1.0),N_A,USD,D,2011,2010,0,2011-01-04,PT,0.24688
RBI:LIBOOR_RN(1.0),N_A,GBP,D,2011,2010,0,2011-01-04,PT,0.55938
RBI:LIBOOR_RN(1.0),N_A,JPY,D,2011,2010,0,2011-01-04,PT,0.09438
RBI:LIBOOR_RN(1.0),N_A,EUR,D,2011,2010,0,2011-01-04,PT,0.34875
RBI:LIBOOR_RN(1.0),N_A,EUR,D,2011,2010,0,2011-01-03,PT,0.36625
RBI:LIBOOR_RN(1.0),N_A,USD,D,2011,2010,0,2011-01-03,PT,0.25188
RBI:LIBOOR_RN(1.0),N_A,GBP,D,2011,2010,0,2011-01-03,PT,0.565
RBI:LIBOOR_RN(1.0),N_A,JPY,D,2011,2010,0,2011-01-03,PT,0.1
