DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,WEEKLY_CALL_MONEY_RN,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2025-11-07,PT,4.7
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2025-11-07,PT,5.407279
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2025-11-07,PT,5.6
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2025-10-31,PT,5.578767
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2025-10-31,PT,4.75
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2025-10-31,PT,5.8
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2025-10-24,PT,6.0
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2025-10-24,PT,5.548802
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2025-10-24,PT,4.4
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2025-10-17,PT,6.1
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2025-10-17,PT,5.431173
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2025-10-17,PT,4.75
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2025-10-10,PT,4.75
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2025-10-10,PT,5.4250778
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2025-10-10,PT,6.0
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2025-10-03,PT,4.75
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2025-10-03,PT,5.95
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2025-10-03,PT,5.480621
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2025-09-26,PT,5.8
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2025-09-26,PT,4.75
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2025-09-26,PT,5.5687348
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2025-09-19,PT,5.4784358
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2025-09-19,PT,4.75
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2025-09-19,PT,5.65
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2025-09-12,PT,5.6
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2025-09-12,PT,4.75
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2025-09-12,PT,5.3680795
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2025-09-05,PT,4.75
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2025-09-05,PT,5.6
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2025-09-05,PT,5.3183602
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2025-08-29,PT,4.0
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2025-08-29,PT,5.6
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2025-08-29,PT,5.453099
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2025-08-22,PT,5.75
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2025-08-22,PT,4.0
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2025-08-22,PT,5.4657762
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2025-08-15,PT,4.75
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2025-08-15,PT,5.68
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2025-08-15,PT,5.43242925
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2025-08-08,PT,4.75
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2025-08-08,PT,5.4088442
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2025-08-08,PT,6.0
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2025-08-01,PT,5.55
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2025-08-01,PT,5.404551
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2025-08-01,PT,4.75
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2025-07-25,PT,5.5526286
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2025-07-25,PT,4.75
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2025-07-25,PT,5.85
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2025-07-18,PT,5.3454338
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2025-07-18,PT,5.5
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2025-07-18,PT,4.75
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2025-07-11,PT,5.55
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2025-07-11,PT,4.5
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2025-07-11,PT,5.326513
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2025-07-04,PT,5.3191952
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2025-07-04,PT,4.7
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2025-07-04,PT,5.7
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2025-06-27,PT,5.2950292
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2025-06-27,PT,5.6
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2025-06-27,PT,4.75
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2025-06-20,PT,5.2713368
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2025-06-20,PT,4.5
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2025-06-20,PT,5.35
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2025-06-13,PT,4.35
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2025-06-13,PT,5.3012164
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2025-06-13,PT,5.4
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2025-06-06,PT,5.6950614
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2025-06-06,PT,6.65
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2025-06-06,PT,4.85
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2025-05-30,PT,5.8013952
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2025-05-30,PT,6.0
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2025-05-30,PT,4.85
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2025-05-23,PT,5.9
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2025-05-23,PT,5.8166856
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2025-05-23,PT,4.85
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2025-05-16,PT,4.9
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2025-05-16,PT,5.9
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2025-05-16,PT,5.82710375
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2025-05-09,PT,6.16
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2025-05-09,PT,5.8437002
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2025-05-09,PT,4.9
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2025-05-02,PT,5.89375675
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2025-05-02,PT,4.95
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2025-05-02,PT,6.1
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2025-04-25,PT,4.95
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2025-04-25,PT,5.8700924
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2025-04-25,PT,6.15
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2025-04-18,PT,5.95
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2025-04-18,PT,4.95
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2025-04-18,PT,5.847461333333
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2025-04-11,PT,5.0
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2025-04-11,PT,6.00224175
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2025-04-11,PT,6.35
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2025-04-04,PT,5.0
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2025-04-04,PT,6.4
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2025-04-04,PT,6.088157
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,WAR_CALL,2025-03-28,PT,6.3743018
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MIN_BORR_LEND_AMT,2025-03-28,PT,5.15
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MAX_BORR_LEND_AMT,2025-03-28,PT,7.5
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MAX_BORR_LEND_AMT,2025-03-21,PT,6.5
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MIN_BORR_LEND_AMT,2025-03-21,PT,5.15
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,WAR_CALL,2025-03-21,PT,6.3477818
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MIN_BORR_LEND_AMT,2025-03-14,PT,5.15
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MAX_BORR_LEND_AMT,2025-03-14,PT,6.45
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,WAR_CALL,2025-03-14,PT,6.29197
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MAX_BORR_LEND_AMT,2025-03-07,PT,6.45
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MIN_BORR_LEND_AMT,2025-03-07,PT,5.15
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,WAR_CALL,2025-03-07,PT,6.2547108
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,WAR_CALL,2025-02-28,PT,6.3268155
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MAX_BORR_LEND_AMT,2025-02-28,PT,6.65
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MIN_BORR_LEND_AMT,2025-02-28,PT,5.15
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MAX_BORR_LEND_AMT,2025-02-21,PT,6.65
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,WAR_CALL,2025-02-21,PT,6.3330045
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MIN_BORR_LEND_AMT,2025-02-21,PT,5.15
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MIN_BORR_LEND_AMT,2025-02-14,PT,5.15
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,WAR_CALL,2025-02-14,PT,6.3188126
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MAX_BORR_LEND_AMT,2025-02-14,PT,6.5
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,WAR_CALL,2025-02-07,PT,6.4430788
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MIN_BORR_LEND_AMT,2025-02-07,PT,5.1
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MAX_BORR_LEND_AMT,2025-02-07,PT,6.65
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MAX_BORR_LEND_AMT,2025-01-31,PT,6.7
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,WAR_CALL,2025-01-31,PT,6.5741974
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MIN_BORR_LEND_AMT,2025-01-31,PT,5.1
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,WAR_CALL,2025-01-24,PT,6.5778156
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MAX_BORR_LEND_AMT,2025-01-24,PT,6.9
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MIN_BORR_LEND_AMT,2025-01-24,PT,5.1
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MAX_BORR_LEND_AMT,2025-01-17,PT,7.1
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MIN_BORR_LEND_AMT,2025-01-17,PT,5.1
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,WAR_CALL,2025-01-17,PT,6.5740344
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MIN_BORR_LEND_AMT,2025-01-10,PT,5.1
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MAX_BORR_LEND_AMT,2025-01-10,PT,7.1
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,WAR_CALL,2025-01-10,PT,6.7623330184
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,WAR_CALL,2025-01-03,PT,6.6202132
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MIN_BORR_LEND_AMT,2025-01-03,PT,5.1
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MAX_BORR_LEND_AMT,2025-01-03,PT,7.25
