DATAFLOW,AUDST,BASE_PER,BASE_WEIGHT,CORE_INF_INDS_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,3.22,INF_COAL,AFY,2000,1999,0,2000-03-31,PT,3.2258064516129
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,26.68,INF_COMP_INDX,AFY,2000,1999,0,2000-03-31,PT,9.11062906724512
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,4.17,INF_CRD_OIL,AFY,2000,1999,0,2000-03-31,PT,-2.39471511147812
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,10.17,INF_ELECTY,AFY,2000,1999,0,2000-03-31,PT,7.21500721500722
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,2.0,INF_REF_PRD,AFY,2000,1999,0,2000-03-31,PT,25.38940809968847
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,5.13,INF_STL,AFY,2000,1999,0,2000-03-31,PT,15.04914004914005
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,1.99,INF_CEMENT,AFY,2001,2000,0,2001-03-31,PT,-0.91324200913242
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,3.22,INF_COAL,AFY,2001,2000,0,2001-03-31,PT,3.53618421052632
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,26.68,INF_COMP_INDX,AFY,2001,2000,0,2001-03-31,PT,5.10271703114645
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,4.17,INF_CRD_OIL,AFY,2001,2000,0,2001-03-31,PT,1.52284263959391
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,10.17,INF_ELECTY,AFY,2001,2000,0,2001-03-31,PT,3.90309555854643
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,2.0,INF_REF_PRD,AFY,2001,2000,0,2001-03-31,PT,20.37267080745342
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,5.13,INF_STL,AFY,2001,2000,0,2001-03-31,PT,6.40683395621997
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,1.99,INF_CEMENT,AFY,2002,2001,0,2002-03-31,PT,7.43087557603687
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,3.22,INF_COAL,AFY,2002,2001,0,2002-03-31,PT,4.20969023034154
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,26.68,INF_COMP_INDX,AFY,2002,2001,0,2002-03-31,PT,3.2156368221942
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,4.17,INF_CRD_OIL,AFY,2002,2001,0,2002-03-31,PT,-1.25
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,10.17,INF_ELECTY,AFY,2002,2001,0,2002-03-31,PT,3.17357512953368
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,2.0,INF_REF_PRD,AFY,2002,2001,0,2002-03-31,PT,3.71517027863777
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,5.13,INF_STL,AFY,2002,2001,0,2002-03-31,PT,3.56246864024084
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,1.99,INF_CEMENT,AFY,2003,2002,0,2003-03-31,PT,8.84718498659517
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,3.22,INF_COAL,AFY,2003,2002,0,2003-03-31,PT,4.57317073170732
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,26.68,INF_COMP_INDX,AFY,2003,2002,0,2003-03-31,PT,5.00916310323763
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,4.17,INF_CRD_OIL,AFY,2003,2002,0,2003-03-31,PT,3.45991561181435
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,10.17,INF_ELECTY,AFY,2003,2002,0,2003-03-31,PT,3.13873195229127
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,2.0,INF_REF_PRD,AFY,2003,2002,0,2003-03-31,PT,4.92537313432836
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,5.13,INF_STL,AFY,2003,2002,0,2003-03-31,PT,7.31589147286822
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,1.99,INF_CEMENT,AFY,2004,2003,0,2004-03-31,PT,6.05911330049261
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,3.22,INF_COAL,AFY,2004,2003,0,2004-03-31,PT,5.10204081632653
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,26.68,INF_COMP_INDX,AFY,2004,2003,0,2004-03-31,PT,6.10820244328098
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,4.17,INF_CRD_OIL,AFY,2004,2003,0,2004-03-31,PT,0.73409461663948
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,10.17,INF_ELECTY,AFY,2004,2003,0,2004-03-31,PT,5.05173463177115
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,2.0,INF_REF_PRD,AFY,2004,2003,0,2004-03-31,PT,8.25035561877667
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,5.13,INF_STL,AFY,2004,2003,0,2004-03-31,PT,9.75169300225734
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,1.99,INF_CEMENT,AFY,2005,2004,0,2005-03-31,PT,6.59544821179749
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,3.22,INF_COAL,AFY,2005,2004,0,2005-03-31,PT,6.17198335644938
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,26.68,INF_COMP_INDX,AFY,2005,2004,0,2005-03-31,PT,5.81140350877193
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,4.17,INF_CRD_OIL,AFY,2005,2004,0,2005-03-31,PT,1.86234817813765
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,10.17,INF_ELECTY,AFY,2005,2004,0,2005-03-31,PT,5.2143684820394
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,2.0,INF_REF_PRD,AFY,2005,2004,0,2005-03-31,PT,4.29259745948314
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,5.13,INF_STL,AFY,2005,2004,0,2005-03-31,PT,8.39160839160839
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,1.99,INF_CEMENT,AFY,2006,2005,0,2006-03-31,PT,12.33115468409586
