DATAFLOW,AUDST,FREQ,IIP_SEC_RN,PRJ_STS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_MINES,PRJ_STATUS_DEL,1996,1995,0,1996-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_MINES,PRJ_STATUS_ON_SCH,1996,1995,0,1996-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_MINES,PRJ_STATUS_WT_DOC,1996,1995,0,1996-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_OTH,PRJ_STATUS_AHD,1996,1995,0,1996-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_OTH,PRJ_STATUS_DEL,1996,1995,0,1996-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_OTH,PRJ_STATUS_ON_SCH,1996,1995,0,1996-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_OTH,PRJ_STATUS_WT_DOC,1996,1995,0,1996-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_PETROLEUM,PRJ_STATUS_AHD,1996,1995,0,1996-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_PETROLEUM,PRJ_STATUS_DEL,1996,1995,0,1996-03-31,PN,10.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_PETROLEUM,PRJ_STATUS_ON_SCH,1996,1995,0,1996-03-31,PN,13.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_PETROLEUM,PRJ_STATUS_WT_DOC,1996,1995,0,1996-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_PETRO_CHEM,PRJ_STATUS_AHD,1996,1995,0,1996-03-31,PN,0.0
