DATAFLOW,AUDST,FREQ,INDS_PRI_CHAR_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,INT_PAID,1992,1991,0,1992-03-31,INR,188120000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,INV_CAP,1992,1991,0,1992-03-31,INR,2212340000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,MAN_DAYS_EMP,1992,1991,0,1992-03-31,PN,2557384000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,MAN_DAYS_WRK,1992,1991,0,1992-03-31,PN,1935646000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,MAT_CONSUMED,1992,1991,0,1992-03-31,PN,1854080000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NBR_EMP,1992,1991,0,1992-03-31,PS,8193590.0
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NBR_FACT,1992,1991,0,1992-03-31,PN,112286.0
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NBR_WRKRS,1992,1991,0,1992-03-31,PS,6269039.0
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NET_FIXD_CAPIT_FORMAT,1992,1991,0,1992-03-31,INR,192690000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NET_INCOME,1992,1991,0,1992-03-31,INR,348240000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NET_VALUE_ADDED,1992,1991,0,1992-03-31,INR,548270000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,OUT_STND_LNS,1992,1991,0,1992-03-31,INR,1101870000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,PFT,1992,1991,0,1992-03-31,INR,96350000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,PROD_BY_PROD,1992,1991,0,1992-03-31,PN,2796080000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,PRV_OTH_FNDS,1992,1991,0,1992-03-31,INR,23640000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,RENT_PAID,1992,1991,0,1992-03-31,INR,11910000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,TOTAL_PERSNS_ENGAGED,1992,1991,0,1992-03-31,PS,8319563.0
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,TOT_EMOLUMENTS,1992,1991,0,1992-03-31,INR,209700000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,TOT_INPUTS,1992,1991,0,1992-03-31,PN,2330280000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,TTL_ADN_STOCK,1992,1991,0,1992-03-31,PN,78340000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,VAL_OF_OUTPUT,1992,1991,0,1992-03-31,INR,2991960000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,WGS_TO_WRKRS,1992,1991,0,1992-03-31,INR,135830000000
