DATAFLOW,AUDST,BASE_PER,BASE_WEIGHT,CORE_INF_INDS_RN,FREQ,REPYEAREND,REPYEARSTART,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,26.68,OVR_ALL_INDX,AFY,2000,1999,2000-03-31,IX,150.9
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,1.99,INF_CEMENT,AFY,2001,2000,2001-03-31,IX,173.6
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,3.22,INF_COAL,AFY,2001,2000,2001-03-31,IX,125.9
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,4.17,INF_CRD_PETR,AFY,2001,2000,2001-03-31,IX,120.0
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,10.17,INF_ELECTY,AFY,2001,2000,2001-03-31,IX,154.4
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,5.13,INF_FN_STL,AFY,2001,2000,2001-03-31,IX,199.3
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,2.0,INF_PETR_REF_PRD,AFY,2001,2000,2001-03-31,IX,193.8
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,26.68,OVR_ALL_INDX,AFY,2001,2000,2001-03-31,IX,158.6
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,1.99,INF_CEMENT,AFY,2002,2001,2002-03-31,IX,186.5
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,3.22,INF_COAL,AFY,2002,2001,2002-03-31,IX,131.2
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,4.17,INF_CRD_PETR,AFY,2002,2001,2002-03-31,IX,118.5
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,10.17,INF_ELECTY,AFY,2002,2001,2002-03-31,IX,159.3
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,5.13,INF_FN_STL,AFY,2002,2001,2002-03-31,IX,206.4
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,2.0,INF_PETR_REF_PRD,AFY,2002,2001,2002-03-31,IX,201.0
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,26.68,OVR_ALL_INDX,AFY,2002,2001,2002-03-31,IX,163.7
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,1.99,INF_CEMENT,AFY,2003,2002,2003-03-31,IX,203.0
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,3.22,INF_COAL,AFY,2003,2002,2003-03-31,IX,137.2
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,4.17,INF_CRD_PETR,AFY,2003,2002,2003-03-31,IX,122.6
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,10.17,INF_ELECTY,AFY,2003,2002,2003-03-31,IX,164.3
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,5.13,INF_FN_STL,AFY,2003,2002,2003-03-31,IX,221.5
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,2.0,INF_PETR_REF_PRD,AFY,2003,2002,2003-03-31,IX,210.9
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,26.68,OVR_ALL_INDX,AFY,2003,2002,2003-03-31,IX,171.9
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,1.99,INF_CEMENT,AFY,2004,2003,2004-03-31,IX,215.3
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,3.22,INF_COAL,AFY,2004,2003,2004-03-31,IX,144.2
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,4.17,INF_CRD_PETR,AFY,2004,2003,2004-03-31,IX,123.5
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,10.17,INF_ELECTY,AFY,2004,2003,2004-03-31,IX,172.6
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,5.13,INF_FN_STL,AFY,2004,2003,2004-03-31,IX,243.1
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,2.0,INF_PETR_REF_PRD,AFY,2004,2003,2004-03-31,IX,228.3
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,26.68,OVR_ALL_INDX,AFY,2004,2003,2004-03-31,IX,182.4
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,1.99,INF_CEMENT,AFY,2005,2004,2005-03-31,IX,229.5
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,3.22,INF_COAL,AFY,2005,2004,2005-03-31,IX,153.1
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,4.17,INF_CRD_PETR,AFY,2005,2004,2005-03-31,IX,125.8
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,10.17,INF_ELECTY,AFY,2005,2004,2005-03-31,IX,181.6
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,5.13,INF_FN_STL,AFY,2005,2004,2005-03-31,IX,263.5
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,2.0,INF_PETR_REF_PRD,AFY,2005,2004,2005-03-31,IX,238.1
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,26.68,OVR_ALL_INDX,AFY,2005,2004,2005-03-31,IX,193.0
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,2.41,INF_CEMENT,AFY,2006,2005,2006-03-31,IX,112.3
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,4.38,INF_COAL,AFY,2006,2005,2006-03-31,IX,106.5544
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,5.22,INF_CRD_OIL,AFY,2006,2005,2006-03-31,IX,94.7
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,10.32,INF_ELECTY,AFY,2006,2005,2006-03-31,IX,105.1203
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,1.25,INF_FRTZ,AFY,2006,2005,2006-03-31,IX,100.6224
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,1.71,INF_NAT_GAS,AFY,2006,2005,2006-03-31,IX,101.3853
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,5.94,INF_REF_PRD,AFY,2006,2005,2006-03-31,IX,102.2
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,6.68,INF_STL,AFY,2006,2005,2006-03-31,IX,107.0163
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,37.9,OVR_ALL_INDX,AFY,2006,2005,2006-03-31,IX,103.8687
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,2.41,INF_CEMENT,AFY,2007,2006,2007-03-31,IX,122.6
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,4.38,INF_COAL,AFY,2007,2006,2007-03-31,IX,112.9
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,5.22,INF_CRD_OIL,AFY,2007,2006,2007-03-31,IX,100.0
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,10.32,INF_ELECTY,AFY,2007,2006,2007-03-31,IX,112.8
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,1.25,INF_FRTZ,AFY,2007,2006,2007-03-31,IX,103.8
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,1.71,INF_NAT_GAS,AFY,2007,2006,2007-03-31,IX,99.9
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,5.94,INF_REF_PRD,AFY,2007,2006,2007-03-31,IX,115.3
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,6.68,INF_STL,AFY,2007,2006,2007-03-31,IX,120.7
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,37.9,OVR_ALL_INDX,AFY,2007,2006,2007-03-31,IX,112.6
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,2.41,INF_CEMENT,AFY,2008,2007,2008-03-31,IX,132.5
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,4.38,INF_COAL,AFY,2008,2007,2008-03-31,IX,119.9
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,5.22,INF_CRD_OIL,AFY,2008,2007,2008-03-31,IX,100.4
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,10.32,INF_ELECTY,AFY,2008,2007,2008-03-31,IX,119.9
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,1.25,INF_FRTZ,AFY,2008,2007,2008-03-31,IX,95.5
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,1.71,INF_NAT_GAS,AFY,2008,2007,2008-03-31,IX,102.1
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,5.94,INF_REF_PRD,AFY,2008,2007,2008-03-31,IX,122.8
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,6.68,INF_STL,AFY,2008,2007,2008-03-31,IX,128.9
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,37.9,OVR_ALL_INDX,AFY,2008,2007,2008-03-31,IX,118.5
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,2.41,INF_CEMENT,AFY,2009,2008,2009-03-31,IX,142.1
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,4.38,INF_COAL,AFY,2009,2008,2009-03-31,IX,129.5
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,5.22,INF_CRD_OIL,AFY,2009,2008,2009-03-31,IX,98.6
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,10.32,INF_ELECTY,AFY,2009,2008,2009-03-31,IX,123.2
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,1.25,INF_FRTZ,AFY,2009,2008,2009-03-31,IX,91.8
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,1.71,INF_NAT_GAS,AFY,2009,2008,2009-03-31,IX,103.4
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,5.94,INF_REF_PRD,AFY,2009,2008,2009-03-31,IX,126.5
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,6.68,INF_STL,AFY,2009,2008,2009-03-31,IX,131.4
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,37.9,OVR_ALL_INDX,AFY,2009,2008,2009-03-31,IX,121.8
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,2.41,INF_CEMENT,AFY,2010,2009,2010-03-31,IX,157.1
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,4.38,INF_COAL,AFY,2010,2009,2010-03-31,IX,140.0
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,5.22,INF_CRD_OIL,AFY,2010,2009,2010-03-31,IX,99.1
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,10.32,INF_ELECTY,AFY,2010,2009,2010-03-31,IX,130.8
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,1.25,INF_FRTZ,AFY,2010,2009,2010-03-31,IX,103.4
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,1.71,INF_NAT_GAS,AFY,2010,2009,2010-03-31,IX,149.5
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,5.94,INF_REF_PRD,AFY,2010,2009,2010-03-31,IX,125.9
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,6.68,INF_STL,AFY,2010,2009,2010-03-31,IX,139.3
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,37.9,OVR_ALL_INDX,AFY,2010,2009,2010-03-31,IX,129.9
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,2.41,INF_CEMENT,AFY,2011,2010,2011-03-31,IX,164.2
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,4.38,INF_COAL,AFY,2011,2010,2011-03-31,IX,139.7
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,5.22,INF_CRD_OIL,AFY,2011,2010,2011-03-31,IX,111.0
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,10.32,INF_ELECTY,AFY,2011,2010,2011-03-31,IX,138.1
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,1.25,INF_FRTZ,AFY,2011,2010,2011-03-31,IX,103.4
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,1.71,INF_NAT_GAS,AFY,2011,2010,2011-03-31,IX,164.4
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,5.94,INF_REF_PRD,AFY,2011,2010,2011-03-31,IX,129.7
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,6.68,INF_STL,AFY,2011,2010,2011-03-31,IX,157.7
