DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_PETR_PRDS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,2002,2001,PETR_CRD_OIL,0,2002-03-31,TN,32025000
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,2002,2001,PETR_OIL_LUB,0,2002-03-31,TN,104343000
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,2001,2000,PETR_OIL_LUB,0,2001-03-31,TN,99578000
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,2001,2000,PETR_CRD_OIL,0,2001-03-31,TN,32450000
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,2000,1999,PETR_CRD_OIL,0,2000-03-31,TN,32000000
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,2000,1999,PETR_OIL_LUB,0,2000-03-31,TN,82936000
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,1999,1998,PETR_OIL_LUB,0,1999-03-31,TN,68409000
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,1999,1998,PETR_CRD_OIL,0,1999-03-31,TN,32760000
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,1998,1997,PETR_OIL_LUB,0,1998-03-31,TN,150412288.325
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,1998,1997,PETR_CRD_OIL,0,1998-03-31,TN,31866820
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,1997,1996,PETR_CRD_OIL,0,1997-03-31,TN,31966878
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,1997,1996,PETR_OIL_LUB,0,1997-03-31,TN,140618144.316
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,1996,1995,PETR_OIL_LUB,0,1996-03-31,TN,124618000.454
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,1996,1995,PETR_CRD_OIL,0,1996-03-31,TN,32200425
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,1995,1994,PETR_OIL_LUB,0,1995-03-31,TN,123277045
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,1995,1994,PETR_CRD_OIL,0,1995-03-31,TN,34138069
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,1994,1993,PETR_CRD_OIL,0,1994-03-31,TN,33371996
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,1994,1993,PETR_OIL_LUB,0,1994-03-31,TN,117640000
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,1993,1992,PETR_OIL_LUB,0,1993-03-31,TN,108674000
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,1993,1992,PETR_CRD_OIL,0,1993-03-31,TN,33076800
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,1992,1991,PETR_CRD_OIL,0,1992-03-31,TN,32025000
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,1992,1991,PETR_OIL_LUB,0,1992-03-31,TN,104343000
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,1991,1990,PETR_OIL_LUB,0,1991-03-31,TN,99578000
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,1991,1990,PETR_CRD_OIL,0,1991-03-31,TN,32450000
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,1990,1989,PETR_CRD_OIL,0,1990-03-31,TN,32000000
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,1990,1989,PETR_OIL_LUB,0,1990-03-31,TN,82936000
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,1989,1988,PETR_CRD_OIL,0,1989-03-31,TN,32760000
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,1989,1988,PETR_OIL_LUB,0,1989-03-31,TN,68409000
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,1988,1987,PETR_CRD_OIL,0,1988-03-31,TN,32000000
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,1988,1987,PETR_OIL_LUB,0,1988-03-31,TN,45000000
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,1987,1986,PETR_OIL_LUB,0,1987-03-31,TN,45000000
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,1987,1986,PETR_CRD_OIL,0,1987-03-31,TN,30000000
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,1986,1985,PETR_CRD_OIL,0,1986-03-31,TN,31000000
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,1986,1985,PETR_OIL_LUB,0,1986-03-31,TN,42000000
