DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_PETR_PRDS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2003,2002,PETR_OIL_LUB,0,2003-03-31,TN,7228000.0
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2002,2001,PETR_OIL_LUB,0,2002-03-31,TN,7009000.0
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2002,2001,PETR_CRD_OIL,0,2002-03-31,TN,78706000
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2001,2000,PETR_OIL_LUB,0,2001-03-31,TN,9267000.0
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2001,2000,PETR_CRD_OIL,0,2001-03-31,TN,74097000
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2000,1999,PETR_OIL_LUB,0,2000-03-31,TN,16607000
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2000,1999,PETR_CRD_OIL,0,2000-03-31,TN,57805000
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,1999,1998,PETR_CRD_OIL,0,1999-03-31,TN,39808000
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,1999,1998,PETR_OIL_LUB,0,1999-03-31,TN,23771000
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,1998,1997,PETR_CRD_OIL,0,1998-03-31,TN,121672000
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,1998,1997,PETR_OIL_LUB,0,1998-03-31,TN,22462000
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,1997,1996,PETR_OIL_LUB,0,1997-03-31,TN,17660000
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,1997,1996,PETR_CRD_OIL,0,1997-03-31,TN,111502000
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,1996,1995,PETR_CRD_OIL,0,1996-03-31,TN,99409000
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,1996,1995,PETR_OIL_LUB,0,1996-03-31,TN,13441000
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,1995,1994,PETR_CRD_OIL,0,1995-03-31,TN,95861000
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,1995,1994,PETR_OIL_LUB,0,1995-03-31,TN,8828000.0
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,1994,1993,PETR_CRD_OIL,0,1994-03-31,TN,90434000
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,1994,1993,PETR_OIL_LUB,0,1994-03-31,TN,8001000.0
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,1993,1992,PETR_CRD_OIL,0,1993-03-31,TN,81989000
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,1993,1992,PETR_OIL_LUB,0,1993-03-31,TN,7228000.0
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,1992,1991,PETR_OIL_LUB,0,1992-03-31,TN,7009000.0
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,1992,1991,PETR_CRD_OIL,0,1992-03-31,TN,78706000
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,1991,1990,PETR_OIL_LUB,0,1991-03-31,TN,9267000.0
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,1991,1990,PETR_CRD_OIL,0,1991-03-31,TN,74097000
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,1990,1989,PETR_CRD_OIL,0,1990-03-31,TN,57805000
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,1990,1989,PETR_OIL_LUB,0,1990-03-31,TN,16607000
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,1989,1988,PETR_CRD_OIL,0,1989-03-31,TN,39808000
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,1989,1988,PETR_OIL_LUB,0,1989-03-31,TN,23771000
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,1988,1987,PETR_OIL_LUB,0,1988-03-31,TN,6000000.0
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,1988,1987,PETR_CRD_OIL,0,1988-03-31,TN,18000000
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,1987,1986,PETR_CRD_OIL,0,1987-03-31,TN,18000000
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,1987,1986,PETR_OIL_LUB,0,1987-03-31,TN,4000000.0
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,1986,1985,PETR_CRD_OIL,0,1986-03-31,TN,14000000
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,1986,1985,PETR_OIL_LUB,0,1986-03-31,TN,3000000.0
