DATAFLOW,AUDST,FIN_ASS_RN,FREQ,PRC_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_NON_BNK_DEP,AFY,CURR_PRC,2020,2019,0,2020-03-31,INR,566770000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_CLM_GOV,AFY,CURR_PRC,2020,2019,0,2020-03-31,INR,2669630000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_PRV_PEN_FND,AFY,CURR_PRC,2020,2019,0,2020-03-31,INR,4527890000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_LIF_INS_FND,AFY,CURR_PRC,2020,2019,0,2020-03-31,INR,3385720000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_BNK_DEP,AFY,CURR_PRC,2020,2019,0,2020-03-31,INR,8279010000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_CURR,AFY,CURR_PRC,2020,2019,0,2020-03-31,INR,2826620000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_SHAR_DEBN,AFY,CURR_PRC,2020,2019,0,2020-03-31,INR,947420000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_TRD_DB_NET,AFY,CURR_PRC,2020,2019,0,2020-03-31,INR,42570000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_CHNG_FIN_ASS,AFY,CURR_PRC,2020,2019,0,2020-03-31,INR,23245630000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_LIF_INS_FND,AFY,CURR_PRC,2019,2018,0,2019-03-31,INR,3875120000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_PRV_PEN_FND,AFY,CURR_PRC,2019,2018,0,2019-03-31,INR,4043890000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_NON_BNK_DEP,AFY,CURR_PRC,2019,2018,0,2019-03-31,INR,332500000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_CURR,AFY,CURR_PRC,2019,2018,0,2019-03-31,INR,2778720000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_CLM_GOV,AFY,CURR_PRC,2019,2018,0,2019-03-31,INR,2063630000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_SHAR_DEBN,AFY,CURR_PRC,2019,2018,0,2019-03-31,INR,1729330000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_TRD_DB_NET,AFY,CURR_PRC,2019,2018,0,2019-03-31,INR,42090000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_BNK_DEP,AFY,CURR_PRC,2019,2018,0,2019-03-31,INR,7771630000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_CHNG_FIN_ASS,AFY,CURR_PRC,2019,2018,0,2019-03-31,INR,22636900000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_CLM_GOV,AFY,CURR_PRC,2018,2017,0,2018-03-31,INR,1556700000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_CURR,AFY,CURR_PRC,2018,2017,0,2018-03-31,INR,4847140000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_LIF_INS_FND,AFY,CURR_PRC,2018,2017,0,2018-03-31,INR,3439890000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_TRD_DB_NET,AFY,CURR_PRC,2018,2017,0,2018-03-31,INR,42010000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_CHNG_FIN_ASS,AFY,CURR_PRC,2018,2017,0,2018-03-31,INR,20564050000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_NON_BNK_DEP,AFY,CURR_PRC,2018,2017,0,2018-03-31,INR,-5680000000
