DATAFLOW,AUDST,BASE_PER,FREQ,PRC_TYP_RN,REPYEAREND,REPYEARSTART,STATE_CODE,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1986,1985,MAH,0,1986-03-31,INR,264665099999.99997
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1986,1985,MANI,0,1986-03-31,INR,3722500000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1986,1985,MEG,0,1986-03-31,INR,3415299999.9999995
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1986,1985,MIZO,0,1986-03-31,INR,1572500000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1986,1985,MP,0,1986-03-31,INR,120923700000.00002
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1986,1985,NAGA,0,1986-03-31,INR,2396300000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1986,1985,ORI,0,1986-03-31,INR,62257299999.99999
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1986,1985,PUN,0,1986-03-31,INR,83473100000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1986,1985,PY,0,1986-03-31,INR,3071800000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1986,1985,RAJA,0,1986-03-31,INR,76692500000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1986,1985,SIKK,0,1986-03-31,INR,1133000000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1986,1985,TN,0,1986-03-31,INR,136823300000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1986,1985,TRI,0,1986-03-31,INR,4738500000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1986,1985,UP,0,1986-03-31,INR,246691600000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1986,1985,WB,0,1986-03-31,INR,174154199999.99997
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1987,1986,ANN,0,1987-03-31,INR,660100000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1987,1986,ANP,0,1987-03-31,INR,90497400000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1987,1986,ARP,0,1987-03-31,INR,1646600000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1987,1986,ASM,0,1987-03-31,INR,29074000000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1987,1986,BIH,0,1987-03-31,INR,89502500000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1987,1986,DEL,0,1987-03-31,INR,37482900000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1987,1986,GOA,0,1987-03-31,INR,3543000000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1987,1986,GUJ,0,1987-03-31,INR,87203200000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1987,1986,HAR,0,1987-03-31,INR,41839200000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1987,1986,HP,0,1987-03-31,INR,8918800000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1987,1986,JNK,0,1987-03-31,INR,12458200000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1987,1986,KAR,0,1987-03-31,INR,73651300000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1987,1986,KER,0,1987-03-31,INR,39929700000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1987,1986,MAH,0,1987-03-31,INR,189685500000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1987,1986,MANI,0,1987-03-31,INR,2612500000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1987,1986,MEG,0,1987-03-31,INR,2176700000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1987,1986,MP,0,1987-03-31,INR,78086000000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1987,1986,NAGA,0,1987-03-31,INR,1712600000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1987,1986,ORI,0,1987-03-31,INR,41842000000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1987,1986,PUN,0,1987-03-31,INR,61314300000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1987,1986,PY,0,1987-03-31,INR,2167300000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1987,1986,RAJA,0,1987-03-31,INR,56847000000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1987,1986,SIKK,0,1987-03-31,INR,891700000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1987,1986,TN,0,1987-03-31,INR,93099400000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1987,1986,TRI,0,1987-03-31,INR,3068399999.9999995
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1987,1986,UP,0,1987-03-31,INR,177057100000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1987,1986,WB,0,1987-03-31,INR,120724599999.99998
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1987,1986,ANN,0,1987-03-31,INR,1101700000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1987,1986,ANP,0,1987-03-31,INR,142453100000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1987,1986,ARP,0,1987-03-31,INR,2800000000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1987,1986,ASM,0,1987-03-31,INR,56005100000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1987,1986,BIH,0,1987-03-31,INR,141823000000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1987,1986,DEL,0,1987-03-31,INR,56403800000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1987,1986,GOA,0,1987-03-31,INR,6078700000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1987,1986,GUJ,0,1987-03-31,INR,140215900000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1987,1986,HAR,0,1987-03-31,INR,60806200000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1987,1986,HP,0,1987-03-31,INR,13634200000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1987,1986,JNK,0,1987-03-31,INR,21340100000.000004
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1987,1986,KAR,0,1987-03-31,INR,117330600000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1987,1986,KER,0,1987-03-31,INR,73543700000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1987,1986,MAH,0,1987-03-31,INR,284309400000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1987,1986,MANI,0,1987-03-31,INR,4260400000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1987,1986,MEG,0,1987-03-31,INR,3862500000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1987,1986,MIZO,0,1987-03-31,INR,1941300000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1987,1986,MP,0,1987-03-31,INR,124907400000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1987,1986,NAGA,0,1987-03-31,INR,2677500000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1987,1986,ORI,0,1987-03-31,INR,67475900000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1987,1986,PUN,0,1987-03-31,INR,91737600000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1987,1986,PY,0,1987-03-31,INR,3460700000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1987,1986,RAJA,0,1987-03-31,INR,83406200000.00002
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1987,1986,SIKK,0,1987-03-31,INR,1347600000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1987,1986,TN,0,1987-03-31,INR,153050000000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1987,1986,TRI,0,1987-03-31,INR,5221300000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1987,1986,UP,0,1987-03-31,INR,272365200000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CURR_PRC,1987,1986,WB,0,1987-03-31,INR,189461900000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1988,1987,ANN,0,1988-03-31,INR,702400000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1988,1987,ANP,0,1988-03-31,INR,102740300000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1988,1987,ARP,0,1988-03-31,INR,1753000000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1988,1987,ASM,0,1988-03-31,INR,30366500000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1988,1987,BIH,0,1988-03-31,INR,84547600000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1988,1987,DEL,0,1988-03-31,INR,40789000000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1988,1987,GOA,0,1988-03-31,INR,3931300000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1988,1987,GUJ,0,1988-03-31,INR,77488200000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1988,1987,HAR,0,1988-03-31,INR,41100600000.00001
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1988,1987,HP,0,1988-03-31,INR,8938200000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1988,1987,JNK,0,1988-03-31,INR,11100000000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1988,1987,KAR,0,1988-03-31,INR,78829200000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1988,1987,KER,0,1988-03-31,INR,41656300000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1988,1987,MAH,0,1988-03-31,INR,202479800000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1988,1987,MANI,0,1988-03-31,INR,2816600000.0000005
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1988,1987,MEG,0,1988-03-31,INR,2372500000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1988,1987,MP,0,1988-03-31,INR,88756900000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1988,1987,NAGA,0,1988-03-31,INR,1917500000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1988,1987,ORI,0,1988-03-31,INR,40537400000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1988,1987,PUN,0,1988-03-31,INR,64498600000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1988,1987,PY,0,1988-03-31,INR,2185500000
