DATAFLOW,AUDST,BASE_PER,CLASS_EXP_RN,FREQ,MET_CALC_RN,PRC_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2004_05,CEXP_PFCE,AFY,MRKT_CST,CURR_PRC,1986,1985,0,1986-03-31,INR,2141540000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2004_05,CEXP_VAL,AFY,MRKT_CST,CURR_PRC,1986,1985,0,1986-03-31,INR,0.0
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_CHG_STOCK,AFY,MRKT_CST,CNST_PRC,1986,1985,0,1986-03-31,INR,484402278080.00006
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_CHG_STOCK,AFY,MRKT_CST,CURR_PRC,1986,1985,0,1986-03-31,INR,132102891490
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_DISCP,AFY,MRKT_CST,CNST_PRC,1986,1985,0,1986-03-31,INR,0.0
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_DISCP,AFY,MRKT_CST,CURR_PRC,1986,1985,0,1986-03-31,INR,0.0
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_EXP_GDS_SER,AFY,MRKT_CST,CNST_PRC,1986,1985,0,1986-03-31,INR,987459218630
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_EXP_GDS_SER,AFY,MRKT_CST,CURR_PRC,1986,1985,0,1986-03-31,INR,149510000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_GDP_MARK_CST,AFY,MRKT_CST,CNST_PRC,1986,1985,0,1986-03-31,INR,18832431267540
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_GDP_MARK_CST,AFY,MRKT_CST,CURR_PRC,1986,1985,0,1986-03-31,INR,2845340853900
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_GFCE,AFY,MRKT_CST,CNST_PRC,1986,1985,0,1986-03-31,INR,2086653740400
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_GFCE,AFY,MRKT_CST,CURR_PRC,1986,1985,0,1986-03-31,INR,311001236420
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_GFCF,AFY,MRKT_CST,CNST_PRC,1986,1985,0,1986-03-31,INR,3566958738269.9995
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_GFCF,AFY,MRKT_CST,CURR_PRC,1986,1985,0,1986-03-31,INR,620378138890
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_IMP_GDS_SER,AFY,MRKT_CST,CNST_PRC,1986,1985,0,1986-03-31,INR,1271925011640
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_IMP_GDS_SER,AFY,MRKT_CST,CURR_PRC,1986,1985,0,1986-03-31,INR,217540000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_PFCE,AFY,MRKT_CST,CNST_PRC,1986,1985,0,1986-03-31,INR,13558036270110
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_PFCE,AFY,MRKT_CST,CURR_PRC,1986,1985,0,1986-03-31,INR,2076498902449.9998
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_VAL,AFY,MRKT_CST,CNST_PRC,1986,1985,0,1986-03-31,INR,0.0
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_VAL,AFY,MRKT_CST,CURR_PRC,1986,1985,0,1986-03-31,INR,0.0
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_CHG_STOCK,AFY,MRKT_CST,CNST_PRC,1987,1986,0,1987-03-31,INR,172840000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_CHG_STOCK,AFY,MRKT_CST,CURR_PRC,1987,1986,0,1987-03-31,INR,66640000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_DISCP,AFY,MRKT_CST,CNST_PRC,1987,1986,0,1987-03-31,INR,-237270000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_DISCP,AFY,MRKT_CST,CURR_PRC,1987,1986,0,1987-03-31,INR,-78500000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_EXP_GDS_SER,AFY,MRKT_CST,CNST_PRC,1987,1986,0,1987-03-31,INR,557000000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_EXP_GDS_SER,AFY,MRKT_CST,CURR_PRC,1987,1986,0,1987-03-31,INR,165430000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_GDP_MARK_CST,AFY,MRKT_CST,CNST_PRC,1987,1986,0,1987-03-31,INR,9366710000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_GDP_MARK_CST,AFY,MRKT_CST,CURR_PRC,1987,1986,0,1987-03-31,INR,3148160000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_GFCE,AFY,MRKT_CST,CNST_PRC,1987,1986,0,1987-03-31,INR,1149690000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_GFCE,AFY,MRKT_CST,CURR_PRC,1987,1986,0,1987-03-31,INR,374960000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_GFCF,AFY,MRKT_CST,CNST_PRC,1987,1986,0,1987-03-31,INR,1855200000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_GFCF,AFY,MRKT_CST,CURR_PRC,1987,1986,0,1987-03-31,INR,658290000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_IMP_GDS_SER,AFY,MRKT_CST,CNST_PRC,1987,1986,0,1987-03-31,INR,723590000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_IMP_GDS_SER,AFY,MRKT_CST,CURR_PRC,1987,1986,0,1987-03-31,INR,223590000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_PFCE,AFY,MRKT_CST,CNST_PRC,1987,1986,0,1987-03-31,INR,6821160000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_PFCE,AFY,MRKT_CST,CURR_PRC,1987,1986,0,1987-03-31,INR,2265960000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2004_05,CEXP_CHG_STOCK,AFY,MRKT_CST,CNST_PRC,1987,1986,0,1987-03-31,INR,212030000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2004_05,CEXP_CHG_STOCK,AFY,MRKT_CST,CURR_PRC,1987,1986,0,1987-03-31,INR,65320000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2004_05,CEXP_DISCP,AFY,MRKT_CST,CNST_PRC,1987,1986,0,1987-03-31,INR,-485160000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2004_05,CEXP_DISCP,AFY,MRKT_CST,CURR_PRC,1987,1986,0,1987-03-31,INR,-257740000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2004_05,CEXP_EXP_GDS_SER,AFY,MRKT_CST,CNST_PRC,1987,1986,0,1987-03-31,INR,669340000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2004_05,CEXP_EXP_GDS_SER,AFY,MRKT_CST,CURR_PRC,1987,1986,0,1987-03-31,INR,165430000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2004_05,CEXP_GDP_MARK_CST,AFY,MRKT_CST,CNST_PRC,1987,1986,0,1987-03-31,INR,11673500000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2004_05,CEXP_GDP_MARK_CST,AFY,MRKT_CST,CURR_PRC,1987,1986,0,1987-03-31,INR,3239490000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2004_05,CEXP_GFCE,AFY,MRKT_CST,CNST_PRC,1987,1986,0,1987-03-31,INR,1476100000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2004_05,CEXP_GFCE,AFY,MRKT_CST,CURR_PRC,1987,1986,0,1987-03-31,INR,393220000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2004_05,CEXP_GFCF,AFY,MRKT_CST,CNST_PRC,1987,1986,0,1987-03-31,INR,2510200000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2004_05,CEXP_GFCF,AFY,MRKT_CST,CURR_PRC,1987,1986,0,1987-03-31,INR,694760000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2004_05,CEXP_IMP_GDS_SER,AFY,MRKT_CST,CNST_PRC,1987,1986,0,1987-03-31,INR,1015830000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2004_05,CEXP_IMP_GDS_SER,AFY,MRKT_CST,CURR_PRC,1987,1986,0,1987-03-31,INR,223590000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2004_05,CEXP_PFCE,AFY,MRKT_CST,CNST_PRC,1987,1986,0,1987-03-31,INR,8306820000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2004_05,CEXP_PFCE,AFY,MRKT_CST,CURR_PRC,1987,1986,0,1987-03-31,INR,2402090000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2004_05,CEXP_VAL,AFY,MRKT_CST,CURR_PRC,1987,1986,0,1987-03-31,INR,0.0
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_CHG_STOCK,AFY,MRKT_CST,CNST_PRC,1987,1986,0,1987-03-31,INR,376555425590
