DATAFLOW,AUDST,BASE_PER,CLASF_SEC_GDP_RN,DIFF_SEC_GDP_RN,FREQ,PRC_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_NON_FIN_CRP,AFY,N_A,2023,2022,0,2023-03-31,INR,29763748489973.5
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PRV_NON_FIN_CRP,AFY,N_A,2023,2022,0,2023-03-31,INR,26445073999077.4
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PRV_NON_FIN_CRP,AFY,N_A,2022,2021,0,2022-03-31,INR,24207185696068.7
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_NON_FIN_CRP_DEP_ENT,AFY,N_A,2022,2021,0,2022-03-31,INR,579401979932.22
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_SAV_GLD_SLV,AFY,N_A,2022,2021,0,2022-03-31,INR,613273096604.39
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_FIN_CRP_NON_DEP_ENT,AFY,N_A,2022,2021,0,2022-03-31,INR,3529959607529
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_FIN_CRP_DEP_ENT,AFY,N_A,2022,2021,0,2022-03-31,INR,65716000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_GROSS_SAV,AFY,N_A,2022,2021,0,2022-03-31,INR,73631025132604.7
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_NON_FIN_CRP,AFY,N_A,2022,2021,0,2022-03-31,INR,3124074419069.55
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_NON_FIN_CRP,AFY,N_A,2022,2021,0,2022-03-31,INR,27331260115138.3
