DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_EXT_DEBT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LETC_BUY_CRD,0,2004-06-30,USD,2470000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LETC_EXP_CRD_BILT,0,2004-06-30,INR,50680000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LETC_EXP_CRD_BILT,0,2004-06-30,USD,1105000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LETC_EXP_CRD_DEF,0,2004-06-30,INR,0.0
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LETC_EXP_CRD_DEF,0,2004-06-30,USD,0.0
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LETC_SUP_CRD,0,2004-06-30,INR,45470000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LETC_SUP_CRD,0,2004-06-30,USD,989000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LM_GOVT_BORW,0,2004-06-30,INR,1256540000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LM_GOVT_BORW,0,2004-06-30,USD,27394000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LM_NON_GOVT_BORW,0,2004-06-30,INR,115140000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LM_NON_GOVT_BORW,0,2004-06-30,USD,2509000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LTD_BILT,0,2004-06-30,INR,778650000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LTD_BILT,0,2004-06-30,USD,16971000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LTD_COMM_BORW,0,2004-06-30,INR,1026930000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LTD_COMM_BORW,0,2004-06-30,USD,22337000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LTD_EXP_TRD_CRD,0,2004-06-30,INR,209740000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LTD_EXP_TRD_CRD,0,2004-06-30,USD,4564000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LTD_IMF,0,2004-06-30,INR,0.0
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LTD_IMF,0,2004-06-30,USD,0.0
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LTD_MULT,0,2004-06-30,INR,4908760000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LTD_MULT,0,2004-06-30,USD,106875000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LTD_NRI_DEP,0,2004-06-30,INR,1415340000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LTD_RUP_DEB,0,2004-06-30,INR,106420000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LTD_RUP_DEB,0,2004-06-30,USD,2315000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LTD_TTL_MULT,0,2004-06-30,INR,1371680000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LTD_TTL_MULT,0,2004-06-30,USD,29903000000
