DATAFLOW,AUDST,EXT_DBT_IND_RN,FREQ,REPYEAREND,REPYEARSTART,TYP_EXT_DEBT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LB_NON_GOVT_BORW,0,1991-03-31,USD,2232000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LCB_COM_BNK_LN,0,1991-03-31,INR,132000000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LCB_COM_BNK_LN,0,1991-03-31,USD,6831000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LCB_LN_SEC_MUL_BIL_GUR,0,1991-03-31,INR,6870000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LCB_LN_SEC_MUL_BIL_GUR,0,1991-03-31,USD,356000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LCB_SEC_BORW,0,1991-03-31,INR,58400000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LCB_SEC_BORW,0,1991-03-31,USD,3022000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LCB_SEL_LIQ_LN,0,1991-03-31,INR,0.0
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LCB_SEL_LIQ_LN,0,1991-03-31,USD,0.0
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LETC_BUY_CRD,0,1991-03-31,INR,22300000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LETC_BUY_CRD,0,1991-03-31,USD,1154000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LETC_EXP_CRD_BILT,0,1991-03-31,INR,13900000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LETC_EXP_CRD_BILT,0,1991-03-31,USD,719000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LETC_EXP_CRD_DEF,0,1991-03-31,INR,38210000000
