DATAFLOW,AUDST,CAT_BOP_IND,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:BOP_INDI_RN(1.0),N_A,FI_TO_GDP,AFY,1990,1989,0,1990-03-31,PT,0.1
RBI:BOP_INDI_RN(1.0),N_A,IMP_TO_GDP,AFY,1990,1989,0,1990-03-31,PT,8.23267
RBI:BOP_INDI_RN(1.0),N_A,NET_TO_GDP,AFY,1990,1989,0,1990-03-31,PT,0.52326
RBI:BOP_INDI_RN(1.0),N_A,PYMTS_TO_GDP,AFY,1990,1989,0,1990-03-31,PT,2.00552
RBI:BOP_INDI_RN(1.0),N_A,RCPTS_TO_GDP,AFY,1990,1989,0,1990-03-31,PT,2.52878
RBI:BOP_INDI_RN(1.0),N_A,TERM_IMP_RES,AFY,1990,1989,0,1990-03-31,PT,1.9
RBI:BOP_INDI_RN(1.0),N_A,CAD_TO_GDP,AFY,1991,1990,0,1991-03-31,PT,-3.01482
RBI:BOP_INDI_RN(1.0),N_A,CURR_RCPTS_TO_CURR_PYMTS,AFY,1991,1990,0,1991-03-31,PT,72.82502
RBI:BOP_INDI_RN(1.0),N_A,CURR_RCPTS_TO_GDP,AFY,1991,1990,0,1991-03-31,PT,8.07927
RBI:BOP_INDI_RN(1.0),N_A,EXT_TO_GDP,AFY,1991,1990,0,1991-03-31,PT,5.75462
RBI:BOP_INDI_RN(1.0),N_A,FI_TO_EXP,AFY,1991,1990,0,1991-03-31,PT,0.55745
RBI:BOP_INDI_RN(1.0),N_A,FI_TO_GDP,AFY,1991,1990,0,1991-03-31,PT,0.03208
RBI:BOP_INDI_RN(1.0),N_A,IMP_TO_GDP,AFY,1991,1990,0,1991-03-31,PT,8.69407
RBI:BOP_INDI_RN(1.0),N_A,NET_TO_GDP,AFY,1991,1990,0,1991-03-31,PT,-0.07537
RBI:BOP_INDI_RN(1.0),N_A,PYMTS_TO_GDP,AFY,1991,1990,0,1991-03-31,PT,2.40002
RBI:BOP_INDI_RN(1.0),N_A,RCPTS_TO_GDP,AFY,1991,1990,0,1991-03-31,PT,2.32465
RBI:BOP_INDI_RN(1.0),N_A,TERM_IMP_RES,AFY,1991,1990,0,1991-03-31,PT,2.5079
RBI:BOP_INDI_RN(1.0),N_A,CAD_TO_GDP,AFY,1992,1991,0,1992-03-31,PT,-0.43533
RBI:BOP_INDI_RN(1.0),N_A,CURR_RCPTS_TO_CURR_PYMTS,AFY,1992,1991,0,1992-03-31,PT,95.93035
RBI:BOP_INDI_RN(1.0),N_A,CURR_RCPTS_TO_GDP,AFY,1992,1991,0,1992-03-31,PT,10.26161
RBI:BOP_INDI_RN(1.0),N_A,EXT_TO_GDP,AFY,1992,1991,0,1992-03-31,PT,6.75016
RBI:BOP_INDI_RN(1.0),N_A,FI_TO_EXP,AFY,1992,1991,0,1992-03-31,PT,0.72813
RBI:BOP_INDI_RN(1.0),N_A,FI_TO_GDP,AFY,1992,1991,0,1992-03-31,PT,0.04915
RBI:BOP_INDI_RN(1.0),N_A,IMP_TO_GDP,AFY,1992,1991,0,1992-03-31,PT,7.78416
RBI:BOP_INDI_RN(1.0),N_A,NET_TO_GDP,AFY,1992,1991,0,1992-03-31,PT,0.59867
RBI:BOP_INDI_RN(1.0),N_A,PYMTS_TO_GDP,AFY,1992,1991,0,1992-03-31,PT,2.91278
RBI:BOP_INDI_RN(1.0),N_A,RCPTS_TO_GDP,AFY,1992,1991,0,1992-03-31,PT,3.51144
RBI:BOP_INDI_RN(1.0),N_A,TERM_IMP_RES,AFY,1992,1991,0,1992-03-31,PT,5.25256
