DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_OF_COM_TRD,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_OIL1,0,2025-09-01,USD,4714887071
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_NON_OIL,0,2025-09-01,INR,4863396348405
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_NON_OIL1,0,2025-09-01,INR,2774905911943
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,TERM_TRD_IMP,0,2025-09-01,INR,6102461103193
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_NON_OIL1,0,2025-09-01,USD,31417846959
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,TERM_TRD_IMP,0,2025-08-01,INR,5423826489294
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_OIL1,0,2025-08-01,USD,4169703300
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_OIL1,0,2025-08-01,INR,364925761401
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_NON_OIL1,0,2025-08-01,INR,2678106749270
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_NON_OIL1,0,2025-08-01,USD,30600499364
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,TERM_TRD_EXP,0,2025-08-01,INR,3043032510671
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_OIL,0,2025-08-01,INR,1160619780881
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_OIL,0,2025-08-01,USD,13261437383
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,TERM_TRD_IMP,0,2025-08-01,USD,61973556310
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,TERM_TRD_EXP,0,2025-08-01,USD,34770202664
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_NON_OIL,0,2025-08-01,USD,48712118927
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_NON_OIL,0,2025-08-01,INR,4263206708413
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,TERM_TRD_IMP,0,2025-07-01,USD,64881356702
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_NON_OIL,0,2025-07-01,USD,49314743507
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,TERM_TRD_IMP,0,2025-07-01,INR,5587232084788
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_NON_OIL1,0,2025-07-01,USD,32889920618
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_OIL1,0,2025-07-01,USD,4127652135
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_OIL,0,2025-07-01,INR,1340512667530
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_NON_OIL,0,2025-07-01,INR,4246719417258
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,TERM_TRD_EXP,0,2025-07-01,INR,3187753449856
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,TERM_TRD_EXP,0,2025-07-01,USD,37017572753
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_OIL1,0,2025-07-01,INR,355451112012
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_OIL,0,2025-07-01,USD,15566613195
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_NON_OIL1,0,2025-07-01,INR,2832302337844
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,TERM_TRD_IMP,0,2025-06-01,INR,4645552444350
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,TERM_TRD_EXP,0,2025-06-01,USD,34969567069
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_OIL,0,2025-06-01,INR,1185196248394
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_OIL,0,2025-06-01,USD,13796849114
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_NON_OIL1,0,2025-06-01,USD,30514480493
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_NON_OIL,0,2025-06-01,USD,40281946820
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,TERM_TRD_EXP,0,2025-06-01,INR,3004004713677
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,TERM_TRD_IMP,0,2025-06-01,USD,54078795934
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_OIL1,0,2025-06-01,USD,4455086576
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_OIL1,0,2025-06-01,INR,382707082697
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_NON_OIL1,0,2025-06-01,INR,2621297630980
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_NON_OIL,0,2025-06-01,INR,3460356195956
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_OIL,0,2025-05-01,USD,14745951177
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_NON_OIL1,0,2025-05-01,USD,32865395562
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_OIL1,0,2025-05-01,USD,5436791330
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_NON_OIL,0,2025-05-01,USD,46108754041
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_OIL,0,2025-05-01,INR,1256203156430
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,TERM_TRD_EXP,0,2025-05-01,USD,38302186892
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,TERM_TRD_IMP,0,2025-05-01,USD,60854705218
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_NON_OIL1,0,2025-05-01,INR,2799793190196
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_OIL1,0,2025-05-01,INR,463158623390
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,TERM_TRD_EXP,0,2025-05-01,INR,3262951813586
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,TERM_TRD_IMP,0,2025-05-01,INR,5184194075054
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_NON_OIL,0,2025-05-01,INR,3927990918624
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_OIL,0,2025-04-01,INR,1771243020490
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,TERM_TRD_EXP,0,2025-04-01,INR,3275555952562
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_NON_OIL1,0,2025-04-01,USD,31159164310
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_NON_OIL,0,2025-04-01,INR,3822846366653
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_OIL,0,2025-04-01,USD,20701474752
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,TERM_TRD_IMP,0,2025-04-01,INR,5594089387143
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,TERM_TRD_IMP,0,2025-04-01,USD,65381146776
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_OIL1,0,2025-04-01,INR,609540463729
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_OIL1,0,2025-04-01,USD,7124028920
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,TERM_TRD_EXP,0,2025-04-01,USD,38283193230
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_NON_OIL1,0,2025-04-01,INR,2666015488833
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_NON_OIL,0,2025-04-01,USD,44679672024
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2025,2024,COMM_OIL,0,2025-03-01,INR,1646844439890
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2025,2024,TERM_TRD_IMP,0,2025-03-01,INR,5502112568489
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2025,2024,TERM_TRD_IMP,0,2025-03-01,USD,63507140264
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2025,2024,COMM_OIL1,0,2025-03-01,INR,424109041998
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2025,2024,COMM_OIL1,0,2025-03-01,USD,4895201992
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2025,2024,TERM_TRD_EXP,0,2025-03-01,INR,3642907256293
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2025,2024,COMM_NON_OIL,0,2025-03-01,INR,3855268128599
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2025,2024,TERM_TRD_EXP,0,2025-03-01,USD,42047598945
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2025,2024,COMM_NON_OIL1,0,2025-03-01,INR,3218798214295
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2025,2024,COMM_NON_OIL,0,2025-03-01,USD,44498735844
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2025,2024,COMM_NON_OIL1,0,2025-03-01,USD,37152396953
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2025,2024,COMM_OIL,0,2025-03-01,USD,19008404420
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2025,2024,COMM_NON_OIL,0,2025-02-01,USD,39071404221
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2025,2024,TERM_TRD_IMP,0,2025-02-01,INR,4436632167587
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2025,2024,COMM_OIL,0,2025-02-01,INR,1035278881884
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2025,2024,COMM_OIL1,0,2025-02-01,USD,5718787482
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2025,2024,TERM_TRD_EXP,0,2025-02-01,USD,36910921551
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2025,2024,COMM_OIL,0,2025-02-01,USD,11892266494
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2025,2024,COMM_NON_OIL1,0,2025-02-01,INR,2715424994176
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2025,2024,COMM_NON_OIL,0,2025-02-01,INR,3401353285703
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2025,2024,COMM_NON_OIL1,0,2025-02-01,USD,31192134069
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2025,2024,TERM_TRD_IMP,0,2025-02-01,USD,50963670715
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2025,2024,COMM_OIL1,0,2025-02-01,INR,497847899781
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2025,2024,TERM_TRD_EXP,0,2025-02-01,INR,3213272893957
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2025,2024,COMM_NON_OIL1,0,2025-01-01,INR,2834773069918
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2025,2024,TERM_TRD_EXP,0,2025-01-01,USD,36338507803
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2025,2024,COMM_NON_OIL,0,2025-01-01,INR,3967388516074
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2025,2024,COMM_OIL,0,2025-01-01,USD,13440000001
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2025,2024,TERM_TRD_IMP,0,2025-01-01,USD,59430335825
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2025,2024,COMM_NON_OIL,0,2025-01-01,USD,45990335824
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2025,2024,COMM_OIL1,0,2025-01-01,USD,3477555148
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2025,2024,COMM_OIL1,0,2025-01-01,INR,299993729044
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2025,2024,TERM_TRD_EXP,0,2025-01-01,INR,3134766798962
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2025,2024,TERM_TRD_IMP,0,2025-01-01,INR,5126799524888
