DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_OF_COM_TRD,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1988,1987,COMM_OIL1,0,1988-03-31,INR,6488000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1988,1987,COMM_OIL1,0,1988-03-31,USD,500400000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1988,1987,COMM_OIL2,0,1988-03-31,INR,-33941000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1988,1987,COMM_OIL2,0,1988-03-31,USD,-2617700000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1988,1987,TERM_TRD_EXP,0,1988-03-31,INR,156737000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1988,1987,TERM_TRD_EXP,0,1988-03-31,USD,12088500000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1988,1987,TERM_TRD_IMP,0,1988-03-31,INR,222437000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1988,1987,TERM_TRD_IMP,0,1988-03-31,USD,17155700000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1988,1987,TERM_TTL_TRD_BAL,0,1988-03-31,INR,-65700000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1988,1987,TERM_TTL_TRD_BAL,0,1988-03-31,USD,-5067200000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1989,1988,COMM_NON_OIL,0,1989-03-31,INR,238776000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1989,1988,COMM_NON_OIL,0,1989-03-31,USD,16488200000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1989,1988,COMM_NON_OIL1,0,1989-03-31,INR,197265000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1989,1988,COMM_NON_OIL1,0,1989-03-31,USD,13621700000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1989,1988,COMM_NON_OIL2,0,1989-03-31,INR,-41511000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1989,1988,COMM_NON_OIL2,0,1989-03-31,USD,-2866500000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1989,1988,COMM_OIL,0,1989-03-31,INR,43576000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1989,1988,COMM_OIL,0,1989-03-31,USD,3009000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1989,1988,COMM_OIL1,0,1989-03-31,INR,5050000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1989,1988,COMM_OIL1,0,1989-03-31,USD,348700000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1989,1988,COMM_OIL2,0,1989-03-31,INR,-38526000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1989,1988,COMM_OIL2,0,1989-03-31,USD,-2660300000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1989,1988,TERM_TRD_EXP,0,1989-03-31,INR,202315000000
