DATAFLOW,AUDST,FREQ,IO_BOP_RN,REPYEAREND,REPYEARSTART,TRANC_TYP_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BC_OTH,1991,1990,TRANC_NET,0,1991-03-31,INR,-3980000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BC_OTH,1991,1990,TRANC_NET,0,1991-03-31,USD,-222000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BNK_CAP,1991,1990,TRANC_CRD,0,1991-03-31,INR,181330000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BNK_CAP,1991,1990,TRANC_CRD,0,1991-03-31,USD,10106000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BNK_CAP,1991,1990,TRANC_DEB,0,1991-03-31,INR,169080000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BNK_CAP,1991,1990,TRANC_DEB,0,1991-03-31,USD,9424000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BNK_CAP,1991,1990,TRANC_NET,0,1991-03-31,INR,12250000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BNK_CAP,1991,1990,TRANC_NET,0,1991-03-31,USD,682000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_FI_FDI,1991,1990,TRANC_CRD,0,1991-03-31,INR,2020000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_FI_FDI,1991,1990,TRANC_CRD,0,1991-03-31,USD,113000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_FI_FDI,1991,1990,TRANC_DEB,0,1991-03-31,INR,190000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_FI_FDI,1991,1990,TRANC_DEB,0,1991-03-31,USD,10000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_FI_FDI,1991,1990,TRANC_NET,0,1991-03-31,INR,1830000000
