DATAFLOW,AUDST,COMD_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_MEDC_PHARMA,AFY,2025,2024,0,2025-03-31,USD,8937299502
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_GYE_MTRL,AFY,2025,2024,0,2025-03-31,INR,360727585304
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_IRN_STL,AFY,2025,2024,0,2025-03-31,USD,22640280525
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_CHEM_MATR_PROD,AFY,2025,2024,0,2025-03-31,INR,1086204353181
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_MACH_ELEC_NON,AFY,2025,2024,0,2025-03-31,USD,53539249730
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_ELEC_GDS,AFY,2025,2024,0,2025-03-31,USD,98723416215
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_SULPH,AFY,2025,2024,0,2025-03-31,INR,27668775577
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_VEG_OIL,AFY,2025,2024,0,2025-03-31,USD,17333144260
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_FRT_VEG,AFY,2025,2024,0,2025-03-31,INR,276683242026
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_MET_ORES,AFY,2025,2024,0,2025-03-31,USD,11100135178
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_COAL_COKE,AFY,2025,2024,0,2025-03-31,USD,31093132113
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_PUL,AFY,2025,2024,0,2025-03-31,INR,464276041875
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_OTH_IMP_COMMD,AFY,2025,2024,0,2025-03-31,INR,3038271258321
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_WOOD_ORD,AFY,2025,2024,0,2025-03-31,INR,589611263810
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_TRANS_EQP,AFY,2025,2024,0,2025-03-31,INR,2803911719182
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_FRT_VEG,AFY,2025,2024,0,2025-03-31,USD,3268187615
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_PLP_PPR,AFY,2025,2024,0,2025-03-31,USD,2014081489
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_MACH_ELEC_NON,AFY,2025,2024,0,2025-03-31,INR,4529739359225
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_MEDC_PHARMA,AFY,2025,2024,0,2025-03-31,INR,755990170700
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_SILV,AFY,2025,2024,0,2025-03-31,INR,409289610507.99994
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_ORG_INORG_CHEM,AFY,2025,2024,0,2025-03-31,USD,28417475065
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_LEATH,AFY,2025,2024,0,2025-03-31,INR,82951301694
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_OTH_IMP_COMMD,AFY,2025,2024,0,2025-03-31,USD,35887650513
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_CHEM_MATR_PROD,AFY,2025,2024,0,2025-03-31,USD,12819249750
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_IRN_STL,AFY,2025,2024,0,2025-03-31,INR,1914478376436
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_PUL,AFY,2024,2023,0,2024-03-31,USD,3746784768
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_MACH_ELEC_NON,AFY,2024,2023,0,2024-03-31,USD,48870477263
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_PEARL,AFY,2024,2023,0,2024-03-31,USD,23831510216
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_NEWSPRINT,AFY,2024,2023,0,2024-03-31,INR,35214600319
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_TERM_TTL_IMP,AFY,2024,2023,0,2024-03-31,USD,678214773941
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_MACH_ELEC_NON,AFY,2024,2023,0,2024-03-31,INR,4046042737671
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_LEATH,AFY,2024,2023,0,2024-03-31,INR,75566190423
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_COAL_COKE,AFY,2024,2023,0,2024-03-31,USD,38881931072
