DATAFLOW,AUDST,COMD_RN,COUNTRYCODE,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_OIL_ML,N_A,AFY,2024,2023,0,2024-03-31,USD,1713984957
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_RIC,N_A,AFY,2024,2023,0,2024-03-31,USD,10416710126
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_CARPET,N_A,AFY,2024,2023,0,2024-03-31,USD,1395149089
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_LEATH,N_A,AFY,2024,2023,0,2024-03-31,USD,4282531101
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_CASHEW,N_A,AFY,2024,2023,0,2024-03-31,INR,20420342524
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_ORG_INORG_CHEM,N_A,AFY,2024,2023,0,2024-03-31,INR,1415491185390
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_ORG_INORG_CHEM,N_A,AFY,2024,2023,0,2024-03-31,USD,29381506909
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_CASHEW,N_A,AFY,2024,2023,0,2024-03-31,USD,339203773
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_CTTN_YRN,N_A,AFY,2024,2023,0,2024-03-31,USD,11683504702
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_DRGS_PHARCTCLS,N_A,AFY,2024,2023,0,2024-03-31,USD,27851696537
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_DRGS_PHARCTCLS,N_A,AFY,2024,2023,0,2024-03-31,INR,1712091657904
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_CARPET,N_A,AFY,2024,2023,0,2024-03-31,INR,100738605685
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_ENG_GDS,N_A,AFY,2024,2023,0,2024-03-31,USD,109300952072
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_TOC,N_A,AFY,2024,2023,0,2024-03-31,USD,1449540341
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_GEMS,N_A,AFY,2024,2023,0,2024-03-31,INR,2553418696370
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_CFF,N_A,AFY,2024,2023,0,2024-03-31,INR,73473347873
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_JTE_MFG_FLR_COVRNG,N_A,AFY,2024,2023,0,2024-03-31,INR,19457987458
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_RMG_TEXTLS,N_A,AFY,2024,2023,0,2024-03-31,INR,987103378783
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_TEA,N_A,AFY,2024,2023,0,2024-03-31,USD,826066284
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_SPI,N_A,AFY,2024,2023,0,2024-03-31,USD,4248560845
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_MAR_PRD,N_A,AFY,2024,2023,0,2024-03-31,USD,7372004775
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_CTTN_YRN_HL,N_A,AFY,2024,2023,0,2024-03-31,INR,671093445766
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_TOC,N_A,AFY,2024,2023,0,2024-03-31,INR,91448247144
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_ENG_GDS,N_A,AFY,2024,2023,0,2024-03-31,INR,5536121686050
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_IRN_ORE,N_A,AFY,2024,2023,0,2024-03-31,USD,3913855519
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_IRN_ORE,N_A,AFY,2024,2023,0,2024-03-31,INR,303995285570
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_LEATH,N_A,AFY,2024,2023,0,2024-03-31,INR,263952136114
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_SPI,N_A,AFY,2024,2023,0,2024-03-31,INR,180865599005
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_GEMS,N_A,AFY,2024,2023,0,2024-03-31,USD,32706940183
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_TEA,N_A,AFY,2024,2023,0,2024-03-31,INR,52385301290
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_OIL_ML,N_A,AFY,2024,2023,0,2024-03-31,INR,104662137615
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_RMG_TEXTLS,N_A,AFY,2024,2023,0,2024-03-31,USD,14211128919
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_CFF,N_A,AFY,2024,2023,0,2024-03-31,USD,1286279621
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_MAR_PRD,N_A,AFY,2024,2023,0,2024-03-31,INR,475898202488
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_RIC,N_A,AFY,2024,2023,0,2024-03-31,INR,626974425622
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_JTE_MFG_FLR_COVRNG,N_A,AFY,2024,2023,0,2024-03-31,USD,338852973
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_DRGS_PHARCTCLS,N_A,AFY,2023,2022,0,2023-03-31,INR,1487058887982
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_SPI,N_A,AFY,2023,2022,0,2023-03-31,USD,3785363686
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_CFF,N_A,AFY,2023,2022,0,2023-03-31,USD,1146183218
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_LEATH,N_A,AFY,2023,2022,0,2023-03-31,USD,4752446041
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_GEMS,N_A,AFY,2023,2022,0,2023-03-31,INR,2837675951290
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_TEA,N_A,AFY,2023,2022,0,2023-03-31,INR,52859334407
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_RMG_TEXTLS,N_A,AFY,2023,2022,0,2023-03-31,INR,1070415356573
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_JTE_MFG_FLR_COVRNG,N_A,AFY,2023,2022,0,2023-03-31,INR,26230027601
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_ENG_GDS,N_A,AFY,2023,2022,0,2023-03-31,USD,107041007454
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_OIL_ML,N_A,AFY,2023,2022,0,2023-03-31,USD,1601715873
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_CARPET,N_A,AFY,2023,2022,0,2023-03-31,USD,1366109432
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_ENG_GDS,N_A,AFY,2023,2022,0,2023-03-31,INR,5325400918630
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_TOC,N_A,AFY,2023,2022,0,2023-03-31,INR,78335535001
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_CTTN_YRN,N_A,AFY,2023,2022,0,2023-03-31,USD,10948468827
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_OIL_ML,N_A,AFY,2023,2022,0,2023-03-31,INR,107956932147
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_JTE_MFG_FLR_COVRNG,N_A,AFY,2023,2022,0,2023-03-31,USD,438430205
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_CASHEW,N_A,AFY,2023,2022,0,2023-03-31,INR,22574433657
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_CARPET,N_A,AFY,2023,2022,0,2023-03-31,INR,95929078321
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_MAR_PRD,N_A,AFY,2023,2022,0,2023-03-31,USD,8077976477
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_TEA,N_A,AFY,2023,2022,0,2023-03-31,USD,817595511
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_MAR_PRD,N_A,AFY,2023,2022,0,2023-03-31,INR,492635879281
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_SPI,N_A,AFY,2023,2022,0,2023-03-31,INR,152838843100
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_CFF,N_A,AFY,2023,2022,0,2023-03-31,INR,63556215557
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_ORG_INORG_CHEM,N_A,AFY,2023,2022,0,2023-03-31,INR,1433266603958
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_RMG_TEXTLS,N_A,AFY,2023,2022,0,2023-03-31,USD,15888264760
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_GEMS,N_A,AFY,2023,2022,0,2023-03-31,USD,37956989079
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_RIC,N_A,AFY,2023,2022,0,2023-03-31,USD,11144366156
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_ORG_INORG_CHEM,N_A,AFY,2023,2022,0,2023-03-31,USD,30342473362
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_IRN_ORE,N_A,AFY,2023,2022,0,2023-03-31,USD,1797524683
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_DRGS_PHARCTCLS,N_A,AFY,2023,2022,0,2023-03-31,USD,25392994387
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_RIC,N_A,AFY,2023,2022,0,2023-03-31,INR,646632025706
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_IRN_ORE,N_A,AFY,2023,2022,0,2023-03-31,INR,124706266356
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_CASHEW,N_A,AFY,2023,2022,0,2023-03-31,USD,356311458
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_LEATH,N_A,AFY,2023,2022,0,2023-03-31,INR,295868346114
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_TOC,N_A,AFY,2023,2022,0,2023-03-31,USD,1213382601
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_CTTN_YRN_HL,N_A,AFY,2023,2022,0,2023-03-31,INR,637908187776
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_RIC,N_A,AFY,2022,2021,0,2022-03-31,INR,721156385969
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_OIL_ML,N_A,AFY,2022,2021,0,2022-03-31,USD,1031943224
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_ENG_GDS,N_A,AFY,2022,2021,0,2022-03-31,USD,112163385296
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_CASHEW,N_A,AFY,2022,2021,0,2022-03-31,USD,453079980
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_CARPET,N_A,AFY,2022,2021,0,2022-03-31,INR,133392709804
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_TEA,N_A,AFY,2022,2021,0,2022-03-31,USD,751065877
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_IRN_ORE,N_A,AFY,2022,2021,0,2022-03-31,USD,3248230391
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_RIC,N_A,AFY,2022,2021,0,2022-03-31,USD,9671120051
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_TOC,N_A,AFY,2022,2021,0,2022-03-31,INR,68815206127
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_ORG_INORG_CHEM,N_A,AFY,2022,2021,0,2022-03-31,USD,29364781821
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_LEATH,N_A,AFY,2022,2021,0,2022-03-31,INR,326698760889
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_OIL_ML,N_A,AFY,2022,2021,0,2022-03-31,INR,76953081553
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_ORG_INORG_CHEM,N_A,AFY,2022,2021,0,2022-03-31,INR,2189069208090
