DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_OF_COM_TRD,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_IMP,0,2001-07-01,USD,4923000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TTL_TRD_BAL,0,2001-07-01,INR,-70230000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TTL_TRD_BAL,0,2001-07-01,USD,-1490000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_EXP,0,2001-08-01,INR,171860000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_EXP,0,2001-08-01,USD,3647000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_IMP,0,2001-08-01,INR,206050000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_IMP,0,2001-08-01,USD,4372000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TTL_TRD_BAL,0,2001-08-01,INR,-34189999999.999996
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TTL_TRD_BAL,0,2001-08-01,USD,-726000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_EXP,0,2001-09-01,INR,176370000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_EXP,0,2001-09-01,USD,3702000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_IMP,0,2001-09-01,INR,185910000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_IMP,0,2001-09-01,USD,3902000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TTL_TRD_BAL,0,2001-09-01,INR,-9530000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TTL_TRD_BAL,0,2001-09-01,USD,-200000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_EXP,0,2001-10-01,INR,178530000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_EXP,0,2001-10-01,USD,3718000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_IMP,0,2001-10-01,INR,196530000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_IMP,0,2001-10-01,USD,4093000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TTL_TRD_BAL,0,2001-10-01,INR,-18000000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TTL_TRD_BAL,0,2001-10-01,USD,-375000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_EXP,0,2001-11-01,INR,171650000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_EXP,0,2001-11-01,USD,3576000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_IMP,0,2001-11-01,INR,199560000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_IMP,0,2001-11-01,USD,4158000000
