DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_GEXP_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CCS_EXP_RN(1.0),N_A,AFY,1991,1990,GE12,0,1991-03-31,INR,493490000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1991,1990,GE2,0,1991-03-31,INR,910880000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1991,1990,GE21,0,1991-03-31,INR,633700000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1991,1990,GE22,0,1991-03-31,INR,226000000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1991,1990,GE23,0,1991-03-31,INR,51180000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1991,1990,GE3,0,1991-03-31,INR,1635200000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1991,1990,GE31,0,1991-03-31,INR,977240000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1991,1990,GE32,0,1991-03-31,INR,643600000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1991,1990,GE33,0,1991-03-31,INR,14360000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1992,1991,GE1,0,1992-03-31,INR,1144830000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1992,1991,GE11,0,1992-03-31,INR,593130000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1992,1991,GE12,0,1992-03-31,INR,551700000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1992,1991,GE2,0,1992-03-31,INR,1079290000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1992,1991,GE21,0,1992-03-31,INR,745880000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1992,1991,GE22,0,1992-03-31,INR,271430000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1992,1991,GE23,0,1992-03-31,INR,61980000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1992,1991,GE3,0,1992-03-31,INR,1859050000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1992,1991,GE31,0,1992-03-31,INR,1093720000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1992,1991,GE32,0,1992-03-31,INR,723190000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1992,1991,GE33,0,1992-03-31,INR,42140000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1993,1992,GE1,0,1993-03-31,INR,1260630000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1993,1992,GE11,0,1993-03-31,INR,654790000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1993,1992,GE12,0,1993-03-31,INR,605840000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1993,1992,GE2,0,1993-03-31,INR,1193350000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1993,1992,GE21,0,1993-03-31,INR,805670000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1993,1992,GE22,0,1993-03-31,INR,321040000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1993,1992,GE23,0,1993-03-31,INR,66640000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1993,1992,GE3,0,1993-03-31,INR,2030430000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1993,1992,GE31,0,1993-03-31,INR,1182020000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1993,1992,GE32,0,1993-03-31,INR,827950000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1993,1992,GE33,0,1993-03-31,INR,20460000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1994,1993,GE1,0,1994-03-31,INR,1460500000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1994,1993,GE11,0,1994-03-31,INR,724640000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1994,1993,GE12,0,1994-03-31,INR,735860000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1994,1993,GE2,0,1994-03-31,INR,1346490000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1994,1993,GE21,0,1994-03-31,INR,887910000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1994,1993,GE22,0,1994-03-31,INR,378590000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1994,1993,GE23,0,1994-03-31,INR,72410000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1994,1993,GE3,0,1994-03-31,INR,2326500000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1994,1993,GE31,0,1994-03-31,INR,1290420000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1994,1993,GE32,0,1994-03-31,INR,1002610000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1994,1993,GE33,0,1994-03-31,INR,33470000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1995,1994,GE1,0,1995-03-31,INR,1652050000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1995,1994,GE11,0,1995-03-31,INR,828030000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1995,1994,GE12,0,1995-03-31,INR,824020000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1995,1994,GE2,0,1995-03-31,INR,1615540000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1995,1994,GE21,0,1995-03-31,INR,1026290000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1995,1994,GE22,0,1995-03-31,INR,489640000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1995,1994,GE23,0,1995-03-31,INR,76500000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1995,1994,GE3,0,1995-03-31,INR,2728740000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1995,1994,GE31,0,1995-03-31,INR,1503670000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1995,1994,GE32,0,1995-03-31,INR,1193220000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1995,1994,GE33,0,1995-03-31,INR,31850000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1996,1995,GE1,0,1996-03-31,INR,1830590000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1996,1995,GE11,0,1996-03-31,INR,844270000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1996,1995,GE12,0,1996-03-31,INR,986320000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1996,1995,GE2,0,1996-03-31,INR,1775840000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1996,1995,GE21,0,1996-03-31,INR,1128880000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1996,1995,GE22,0,1996-03-31,INR,545440000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1996,1995,GE23,0,1996-03-31,INR,73850000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1996,1995,GE3,0,1996-03-31,INR,3035820000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1996,1995,GE31,0,1996-03-31,INR,1653610000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1996,1995,GE32,0,1996-03-31,INR,1352740000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1996,1995,GE33,0,1996-03-31,INR,29470000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1997,1996,GE1,0,1997-03-31,INR,2064140000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1997,1996,GE11,0,1997-03-31,INR,941970000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1997,1996,GE12,0,1997-03-31,INR,1122170000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1997,1996,GE2,0,1997-03-31,INR,2027690000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1997,1996,GE21,0,1997-03-31,INR,1293640000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1997,1996,GE22,0,1997-03-31,INR,613530000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1997,1996,GE23,0,1997-03-31,INR,86660000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1997,1996,GE3,0,1997-03-31,INR,3435480000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1997,1996,GE31,0,1997-03-31,INR,1853680000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1997,1996,GE32,0,1997-03-31,INR,1549000000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1997,1996,GE33,0,1997-03-31,INR,32800000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1998,1997,GE1,0,1998-03-31,INR,2388140000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1998,1997,GE11,0,1998-03-31,INR,1109940000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1998,1997,GE12,0,1998-03-31,INR,1278200000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1998,1997,GE2,0,1998-03-31,INR,2281350000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1998,1997,GE21,0,1998-03-31,INR,1422660000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1998,1997,GE22,0,1998-03-31,INR,706520000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1998,1997,GE23,0,1998-03-31,INR,110990000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1998,1997,GE3,0,1998-03-31,INR,3853020000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1998,1997,GE31,0,1998-03-31,INR,2013990000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1998,1997,GE32,0,1998-03-31,INR,1788170000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1998,1997,GE33,0,1998-03-31,INR,50860000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1999,1998,GE1,0,1999-03-31,INR,2875550000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1999,1998,GE11,0,1999-03-31,INR,1372570000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1999,1998,GE12,0,1999-03-31,INR,1502980000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1999,1998,GE2,0,1999-03-31,INR,2663610000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1999,1998,GE21,0,1999-03-31,INR,1612000000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1999,1998,GE22,0,1999-03-31,INR,851740000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1999,1998,GE23,0,1999-03-31,INR,153830000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1999,1998,GE3,0,1999-03-31,INR,4639450000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1999,1998,GE31,0,1999-03-31,INR,2397200000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1999,1998,GE32,0,1999-03-31,INR,2156620000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1999,1998,GE33,0,1999-03-31,INR,85630000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2000,1999,GE1,0,2000-03-31,INR,3070790000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2000,1999,GE11,0,2000-03-31,INR,1291510000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2000,1999,GE12,0,2000-03-31,INR,1779280000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2000,1999,GE2,0,2000-03-31,INR,3138890000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2000,1999,GE21,0,2000-03-31,INR,1835400000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2000,1999,GE22,0,2000-03-31,INR,1084520000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2000,1999,GE23,0,2000-03-31,INR,163860000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2000,1999,GE3,0,2000-03-31,INR,5404230000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2000,1999,GE31,0,2000-03-31,INR,2744830000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2000,1999,GE32,0,2000-03-31,INR,2571420000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2000,1999,GE33,0,2000-03-31,INR,87980000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2001,2000,GE1,0,2001-03-31,INR,3368560000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2001,2000,GE11,0,2001-03-31,INR,1393860000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2001,2000,GE12,0,2001-03-31,INR,1974700000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2001,2000,GE2,0,2001-03-31,INR,3471980000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2001,2000,GE21,0,2001-03-31,INR,2056710000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2001,2000,GE22,0,2001-03-31,INR,1168230000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2001,2000,GE23,0,2001-03-31,INR,177680000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2001,2000,GE3,0,2001-03-31,INR,5955950000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2001,2000,GE31,0,2001-03-31,INR,3085460000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2001,2000,GE32,0,2001-03-31,INR,2777600000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2001,2000,GE33,0,2001-03-31,INR,92890000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2002,2001,GE1,0,2002-03-31,INR,3748200000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2002,2001,GE11,0,2002-03-31,INR,1593640000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2002,2001,GE12,0,2002-03-31,INR,2154560000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2002,2001,GE2,0,2002-03-31,INR,3773120000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2002,2001,GE21,0,2002-03-31,INR,2110860000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2002,2001,GE22,0,2002-03-31,INR,1135050000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2002,2001,GE23,0,2002-03-31,INR,225360000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2002,2001,GE3,0,2002-03-31,INR,6529670000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2002,2001,GE31,0,2002-03-31,INR,3322240000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2002,2001,GE32,0,2002-03-31,INR,3078640000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2002,2001,GE33,0,2002-03-31,INR,128790000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2003,2002,GE1,0,2003-03-31,INR,4269460000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2003,2002,GE11,0,2003-03-31,INR,1841970000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2003,2002,GE12,0,2003-03-31,INR,2427490000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2003,2002,GE2,0,2003-03-31,INR,4204620000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2003,2002,GE21,0,2003-03-31,INR,2217990000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2003,2002,GE22,0,2003-03-31,INR,1495540000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2003,2002,GE23,0,2003-03-31,INR,401470000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2003,2002,GE3,0,2003-03-31,INR,7049040000000
