DATAFLOW,AUDST,BAL_SHT_ITMS_RN,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_GFA_TA_FFOE,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,17144000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_GFA_TA_FFOE,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,13626000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_GFA_TA_LAND,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,17184000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_GFA_TA_LAND,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,33398000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_GFA_TA_OTH,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,13875000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_GFA_TA_OTH,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,17986000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_GFA_TA_PLM,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,444568000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_GFA_TA_PLM,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,608359000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_LTLA,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,89764000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_LTLA,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,56475000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_LTLA_CA,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,971000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_LTLA_CA,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,-2082000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_LTLA_OTH,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,76680000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_LTLA_OTH,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,31739000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_LTLA_SD,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,10674000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_LTLA_SD,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,25741000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_LTLA_TRP,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,1439000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_LTLA_TRP,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,1077000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_NCI,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,251915000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_NCI,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,201280000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_NCI_QI_DB,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,3286000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_NCI_QI_DB,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,-5598000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_NCI_QI_EIS,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,243797000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_NCI_QI_EIS,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,190187000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_NCI_QI_GTS,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,546000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_NCI_QI_GTS,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,69000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_NCI_QI_MF,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,7333000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_NCI_QI_MF,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,11037000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_NCI_QI_OTH,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,-3293000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_NCI_QI_OTH,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,5407000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_ONCA,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,-4002000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_ONCA,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,12999000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_PROP,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,246000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_PROP,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,178000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,TTL_AST,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,1370524000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,TTL_AST,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,1353380000000
