DATAFLOW,AUDST,COMP_COUNT,COUNTRYCODE,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,TYP_FIN_RT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_TO_PREV,2013,2012,AUTR_INV_SAL,0,2013-03-31,PT,23.7
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_TO_PREV,2013,2012,AUTR_TR_SAL,0,2013-03-31,PT,14.0
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_TO_PREV,2013,2012,CSR_DEB_EQT,0,2013-03-31,PT,16.9
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_TO_PREV,2013,2012,CSR_NFA_TNA,0,2013-03-31,PT,30.4
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_TO_PREV,2013,2012,CSR_NW_TNA,0,2013-03-31,PT,48.4
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_TO_PREV,2013,2012,CSR_STBB_INV,0,2013-03-31,PT,21.0
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_TO_PREV,2013,2012,CSR_TB_EQT,0,2013-03-31,PT,34.3
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_TO_PREV,2013,2012,ER_CRM_TE,0,2013-03-31,PT,60.5
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_TO_PREV,2013,2012,ER_ICR,0,2013-03-31,PT,11.9
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_TO_PREV,2013,2012,ER_RTE_TE,0,2013-03-31,PT,9.0
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_TO_PREV,2013,2012,LR_CA_CL,0,2013-03-31,PT,1.6
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_TO_PREV,2013,2012,LR_CA_TNA,0,2013-03-31,PT,63.7
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_TO_PREV,2013,2012,LR_QA_CL,0,2013-03-31,PT,58.3
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_TO_PREV,2013,2012,LR_TP_CA,0,2013-03-31,PT,35.8
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_TO_PREV,2013,2012,PPAR_DIV_NW,0,2013-03-31,PT,2.2
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_TO_PREV,2013,2012,PPAR_EBD_SAL,0,2013-03-31,PT,10.2
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_TO_PREV,2013,2012,PPAR_GP_SAL,0,2013-03-31,PT,10.8
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_TO_PREV,2013,2012,PPAR_GP_TNA,0,2013-03-31,PT,11.2
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_TO_PREV,2013,2012,PPAR_OD_TO_OPC,0,2013-03-31,PT,14.5
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_TO_PREV,2013,2012,PPAR_PAT_SAL,0,2013-03-31,PT,6.6
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_TO_PREV,2013,2012,PPAR_PAT_TNW,0,2013-03-31,PT,14.2
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_TO_PREV,2013,2012,PPAR_PR_PAT,0,2013-03-31,PT,84.4
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_TO_PREV,2013,2012,PPAR_TP_PBT,0,2013-03-31,PT,30.7
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_YR,2013,2012,AUTR_EXP_SAL,0,2013-03-31,PT,26.0
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_YR,2013,2012,AUTR_GVA_GFA,0,2013-03-31,PT,43.7
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_YR,2013,2012,AUTR_INV_SAL,0,2013-03-31,PT,23.3
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_YR,2013,2012,AUTR_SAL_GFA,0,2013-03-31,PT,256.4
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_YR,2013,2012,AUTR_SAL_TNA,0,2013-03-31,PT,112.0
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_YR,2013,2012,AUTR_TR_SAL,0,2013-03-31,PT,15.0
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_YR,2013,2012,CSR_DEB_EQT,0,2013-03-31,PT,22.9
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_YR,2013,2012,CSR_NFA_TNA,0,2013-03-31,PT,29.8
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_YR,2013,2012,CSR_NW_TNA,0,2013-03-31,PT,43.3
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_YR,2013,2012,CSR_STBB_INV,0,2013-03-31,PT,28.5
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_YR,2013,2012,CSR_TB_EQT,0,2013-03-31,PT,53.9
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_YR,2013,2012,ER_CRM_TE,0,2013-03-31,PT,62.1
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_YR,2013,2012,ER_ICR,0,2013-03-31,PT,5.3
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_YR,2013,2012,ER_IP_TE,0,2013-03-31,PT,1.2
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_YR,2013,2012,ER_RTE_TE,0,2013-03-31,PT,8.9
