DATAFLOW,AUDST,COMP_COUNT,FREQ,GRWT_RT_RATIOS_RN,IND_TYP_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_GFA,PUB,PREV_YR,2013,2012,0,2013-03-31,PT,13.48054455
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_GRS_SAV,PRV,CURR_YR,2013,2012,0,2013-03-31,PT,11.181285042212
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_GRS_SAV,PRV,PREV_YR,2013,2012,0,2013-03-31,PT,-6.080903863613
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_GRS_SAV,PUB,CURR_YR,2013,2012,0,2013-03-31,PT,8.59405578636
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_GRS_SAV,PUB,PREV_YR,2013,2012,0,2013-03-31,PT,-6.820634818
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_GVA,PRV,CURR_YR,2013,2012,0,2013-03-31,PT,18.832608273989
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_GVA,PRV,PREV_YR,2013,2012,0,2013-03-31,PT,22.621016150588
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_GVA,PUB,CURR_YR,2013,2012,0,2013-03-31,PT,11.030782637238
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_GVA,PUB,PREV_YR,2013,2012,0,2013-03-31,PT,6.355973053
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_INT_EXP,PRV,CURR_YR,2013,2012,0,2013-03-31,PT,10.460394623963
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_INT_EXP,PRV,PREV_YR,2013,2012,0,2013-03-31,PT,48.618784530387
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_INT_EXP,PUB,CURR_YR,2013,2012,0,2013-03-31,PT,32.083815878693
