DATAFLOW,AUDST,FREQ,GRWT_RT_RATIOS_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_NON_CUR_ASST,PREV_YR,2013,2012,0,2013-03-31,PT,15.1
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_NON_OP_SD,CURR_YR,2013,2012,0,2013-03-31,PT,-237.1
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_NON_OP_SD,PREV_YR,2013,2012,0,2013-03-31,PT,-298.2
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_NVA,CURR_YR,2013,2012,0,2013-03-31,PT,9.9
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_NVA,PREV_YR,2013,2012,0,2013-03-31,PT,6.6
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_OP_EXP,CURR_YR,2013,2012,0,2013-03-31,PT,14.9
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_OP_EXP,PREV_YR,2013,2012,0,2013-03-31,PT,19.1
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_PAT,CURR_YR,2013,2012,0,2013-03-31,PT,4.2
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_PAT,PREV_YR,2013,2012,0,2013-03-31,PT,-16.2
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_PBT,CURR_YR,2013,2012,0,2013-03-31,PT,5.7
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_PBT,PREV_YR,2013,2012,0,2013-03-31,PT,-11.0
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_PBT_NON_OP_SD,CURR_YR,2013,2012,0,2013-03-31,PT,-3.7
