DATAFLOW,AUDST,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,TYP_FIN_RT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2014,2013,ER_ICR,0,2014-03-31,PT,3.2
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2014,2013,ER_IP_TE,0,2014-03-31,PT,3.7
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2014,2013,ER_RTE_TE,0,2014-03-31,PT,9.2
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2014,2013,LR_CA_CL,0,2014-03-31,PT,1.1
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2014,2013,LR_CA_TNA,0,2014-03-31,PT,38.5
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2014,2013,LR_QA_CL,0,2014-03-31,PT,52.3
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2014,2013,LR_TP_CA,0,2014-03-31,PT,32.3
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2014,2013,PPAR_DIV_NW,0,2014-03-31,PT,4.6
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2014,2013,PPAR_EBD_SAL,0,2014-03-31,PT,13.6
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2014,2013,PPAR_GP_SAL,0,2014-03-31,PT,11.2
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2014,2013,PPAR_GP_TNA,0,2014-03-31,PT,9.0
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2014,2013,PPAR_OD_TO_OPC,0,2014-03-31,PT,46.3
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2014,2013,PPAR_PAT_SAL,0,2014-03-31,PT,5.5
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2014,2013,PPAR_PAT_TNW,0,2014-03-31,PT,10.1
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2014,2013,PPAR_PR_PAT,0,2014-03-31,PT,59.6
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2014,2013,PPAR_TP_PBT,0,2014-03-31,PT,25.7
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2014,2013,SUFR_ESF_TSF,0,2014-03-31,PT,66.8
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2014,2013,SUFR_GCF_TUF,0,2014-03-31,PT,55.7
